3eafc554a099cba16dbdc69736fd3884379b4b51e1526a121b0578322e1f4a73,a031cf062fc7153e7e9cb471158e51809485a257b2e926a0135205b6c9eb5280,a5a9c5e8bcbe0ddbce3c6b642ab1c91b6276e739d92422628d7f00d81683dc57
"299910101","0","1"
"299910102","0","2"
"299910201","0","3"
"299910301","0","4"
"299910401","0","5"
"299910402","0","6"
"299910701","0","7"
"299910702","0.05","8"
"299910703","0","9"
"299910704","0.05","10"
"299911201","0","11"
"299911202","0.05","12"
"299911203","0","13"
"299911204","0.05","14"
"299911701","0","15"
"299911702","0","16"
"299911703","0","17"
"299911801","0","18"
"299911901","0","19"
"299911902","0.05","20"
"299911903","0","21"
"299911904","0.05","22"
"299911905","0","23"
"299911906","0.05","24"
"299912001","0","25"
"299912002","0.05","26"
"299912003","0","27"
"299912004","0.05","28"
"299912005","0","29"
"299912006","0.05","30"
"299912101","0","31"
"299912102","0","32"
"299912201","0","33"
"299912202","0","34"
"299912301","0","35"
"299912401","0","36"
"299912402","0","37"
"299912501","0","38"
"299912502","0.05","39"
"299912503","0","40"
"299912504","0.05","41"
"299912601","0","42"
"299912602","0.05","43"
"299912603","0","44"
"299912604","0.05","45"
"299912701","0","46"
"299912702","0.05","47"
"299912703","0","48"
"299912704","0.05","49"
"299912801","0","50"
"299912802","0.05","51"
"299912803","0","52"
"299912804","0.05","53"
"299912805","0","54"
"299912806","0.05","55"
"299913301","0","56"
"299913302","0.05","57"
"299913303","0","58"
"299913304","0.05","59"
"299913305","0","60"
"299913306","0.05","61"
"299913801","0","62"
"299913802","0.05","63"
"299913803","0","64"
"299913804","0.05","65"
"299913805","0","66"
"299913806","0.05","67"
"299913901","0","68"
"299914001","0","69"
"299914002","0.05","70"
"299914003","0","71"
"299914004","0.05","72"
"299914101","0","73"
"299917901","0","74"
"299918001","0","75"
"299918002","9","76"
"299918101","0","77"
"299918201","0","78"
"299918202","0","79"
"299918301","0","80"
"299918302","0","81"
"299918401","0","82"
"299918501","0","83"
"299918502","0.05","84"
"299918503","0.05","85"
"299918504","0.1","86"
"299918505","0.1","87"
"299918506","0.15","88"
"299918507","0.15","89"
"299918508","0.2","90"
"299918509","0.2","91"
"299918510","0.25","92"
"299918901","0","93"
"299919101","0","94"
"299919102","0","95"
"299919103","0","96"
"299919104","0","97"
