d53eeb47bc747b501afa273238d8b99ac7481b0dbb0b06bab18ddfa8b45285e9,936c318fb19c8061aa372dd8ef9cfb45ec62db4d4fd13a10d8088757dcbcb357,8f96cf6509301e30f1525f4b285b65224015ae534710b6c2b02d5cbae25c8ad7,0942c8974b44eaf5e2f4acdea225b769bbeb4f3e3567529eaf756268baeb60c8,7dd06d0b57b52c5936bea0f1a3911dd98f54cc59e1824f57da862be8a88450d7,a2212c75b9b4c7937705fea301aee863e19f662679a5e7a09abd3e17fb3e2541,1c01a282f3480771ea896f23b45413ec67aa5a9e6395478c2d13aa606d0d15ee,7e82158b86cfae1e1be9a1f6fde5970ca39ff3d5c6f51446cfc2c027be3eff12,1ce905314c01132ca2750f3f081570d82819da2e0051cd16b9c2d5904a345c4d,0c3f571d484f5d30527d9e82dd601fdd79d5a888e813696d10836dd60c3f24c3,aa85ac65eb9ac9d74236ce4e7960ffdc742142ca883e984c07d7ffe8482280fb,c66396578443b873f96066603f228e00179dedaef8f90754d60511e99e26fefc,f3f7cbf4abbc1e70e6a0f78e9362028a0b3fb54022dd62563c0267b10dd6fd2a,116a681aa3d74f7cad72d09158b632cdbd78bc2a2e5c62e9035e5518b52b9633,872887c06e9c441f8ec39e3159769f645bd773bcc6d88d3ff85858bfff003501,473346ecbecfabe798832df3e20222d32716d52afdcb9065a13f1e425d2fc02b,001d60d28938617e25618fd2bea417f5e8837518cb0dc3be36df2a727578b913,3ec7ea743ad2bd0fc163c6313f6dc5c0bb9a08cd50683bac8fdf12def0c81fa6,86d4277234267ed391b3223b7edb1097446847369de79c2a2739fddf5a97b45c,522b67b4461b4cb214dacd9f5f960f4d758aadd901aff357cc574379bee514bc,9af4bd37f77c5f323b4ae9ff0df6891f0a65229d97e15bb6e03f7ca0a981e92b
"NONE","0","BeachJumpOverTrap","AccelBoardA","NONE","1000","0","NONE","2500","1000","0","SummerEnemyC","0","NONE","0","SummerEnemyA","1800","3100","600","SpeedTerritoryA","NONE"
"NONE","0","AccelBoardA","AccelBoardA","NONE","800","0","NONE","2000","1001","0","SpeedTerritoryA","0","NONE","0","SummerEnemyB","1300","3000","500","WaterMelon","NONE"
"NONE","0","BeachTrap_NoCall","SummerEnemyA_NoColl","NONE","1000","0","NONE","1600","1002","0","SpeedTerritoryA_NoColl","0","NONE","0","Balloon","1300","2000","400","EnemyB_NoColl","NONE"
"NONE","0","AccelBoardA","AccelBoardA","NONE","1500","0","NONE","3000","1003","0","EnemyB","0","NONE","0","BeachJumpOverTrap","2300","3300","700","BeachJumpOverTrap","NONE"
"NONE","0","NONE","SummerEnemyA","NONE","1300","0","NONE","2700","1004","0","BeachJumpOverTrap","0","NONE","0","BeachJumpOverTrap","1900","0","800","SpeedTerritoryA","NONE"
"NONE","0","SummerEnemyB","SummerJumpOverEnemyC","NONE","1500","0","NONE","2600","1005","0","SpeedTerritoryA","0","NONE","0","BeachJumpBoard","2000","3300","300","AccelBoardA","NONE"
"BeachTrap","0","AccelBoardA","BeachTrap","NONE","1300","3700","NONE","2500","1006","0","BeachTrap","0","NONE","0","SummerEnemyA","1800","3000","700","BeachJumpOverTrap","NONE"
"NONE","0","BeachJumpOverTrap","SummerEnemyB","NONE","1300","0","NONE","2400","1007","0","BeachJumpOverTrap","0","NONE","0","AccelBoardA","1800","3100","500","SummerEnemyB","NONE"
"SummerEnemyB","0","BeachJumpOverTrap","BeachJumpBoard","NONE","1100","3700","NONE","2700","1008","0","SummerEnemyB","0","NONE","0","AccelBoardA","2300","3400","500","AccelBoardA","NONE"
"SpeedTerritoryA","0","BeachJumpOverTrap","BeachTrap_NoCall","NONE","1000","3700","NONE","2900","1009","0","SummerEnemyA_NoColl","0","NONE","0","Balloon","2000","3300","400","BeachJumpOverTrap","NONE"
