c0265d679314dffb1042706c838fb0cc07871039d9f8e68b162983ecad1bf660,0c7af01a156c72ba08c3cea09ab0d97bc9f9cbdcd8960fc01f7379657711fdd8,0238034febea442485361c02a43280fa167fa28ff57c4dcb2af1f1106c5553d5,c6beb4bad3a340e8fbe22beb80965b72c8532ea0ed515510cd7897478ebf9b5e,6e634775a563218ba7dbfb83dd5990417135d162e252ae0a8931cb4533cd8390,f6ba9211fe26c59321e377c1d4d384ffaddd8caf5860c89cdf160ddfebbd774b,ef45e768ff9ff4b4f61d531eb834349b5d573f4f23026462b4dadb0b53bd8231,3813397cc18fd649009156e6e739b1dc34202da42def7702ed6ecb7f1cb8bb81,5c07604f7f8160e00d743120e4436751f1a21f7c1d44fd2bd64546dc306220c9,34f1570eef6a63438c192af06777d417170bc9b5c0ee125d6936975fc28f787f
"2019/02/15 14:59:59","0","0","0","0","0","0","0","2018/01/01 15:00:00","10001"
"2019/02/28 11:59:59","1001","1","0","1001","1001","0","1","2019/02/15 15:00:00","10002"
"2020/02/15 14:59:59","0","1","0","0","1001","0","1","2019/02/28 12:00:00","10003"
"2020/02/29 11:59:59","1002","1","0","1002","1001","1002","1","2020/02/15 15:00:00","10004"
"2020/02/29 11:59:59","1002","2","2015009","1002","1002","1002","2","2020/02/15 15:00:00","10005"
"2020/08/15 14:59:59","0","1","0","0","1001","0","1","2020/02/29 12:00:00","10006"
"2020/08/15 14:59:59","0","2","2015009","0","1002","0","2","2020/02/29 12:00:00","10007"
"2020/08/31 11:59:59","0","1","0","0","1001","1003","1","2020/08/15 15:00:00","10008"
"2020/08/31 11:59:59","0","2","2015009","0","1002","1003","2","2020/08/15 15:00:00","10009"
"2021/02/15 14:59:59","0","1","0","0","1001","0","1","2020/08/31 12:00:00","10010"
"2021/02/15 14:59:59","0","2","2015009","0","1002","0","2","2020/08/31 12:00:00","10011"
"2021/02/28 11:59:59","1003","1","0","1003","1001","1004","1","2021/02/15 15:00:00","10012"
"2021/02/28 11:59:59","1003","2","2015009","1003","1002","1004","2","2021/02/15 15:00:00","10013"
"2021/08/15 14:59:59","0","1","0","0","1001","0","1","2021/02/28 12:00:00","10014"
"2021/08/15 14:59:59","0","2","2015009","0","1002","0","2","2021/02/28 12:00:00","10015"
"2021/08/31 11:59:59","0","1","0","0","1001","1005","1","2021/08/15 15:00:00","10016"
"2021/08/31 11:59:59","0","2","2015009","0","1002","1005","2","2021/08/15 15:00:00","10017"
"2030/02/15 14:59:59","0","1","0","0","1001","0","1","2021/08/31 12:00:00","10018"
"2030/02/15 14:59:59","0","2","2015009","0","1002","0","2","2021/08/31 12:00:00","10019"
"2022/02/28 11:59:59","1004","1","0","1004","1001","1006","1","2022/02/15 15:00:00","10020"
"2022/02/28 11:59:59","1004","2","2015009","1004","1002","1006","2","2022/02/15 15:00:00","10021"
"2022/08/15 14:59:59","0","1","0","0","1001","0","1","2022/02/28 12:00:00","10022"
"2022/08/15 14:59:59","0","2","2015009","0","1002","0","2","2022/02/28 12:00:00","10023"
"2022/08/31 11:59:59","0","1","0","0","1001","1007","1","2022/08/15 15:00:00","10024"
"2022/08/31 11:59:59","0","2","2015009","0","1002","1007","2","2022/08/15 15:00:00","10025"
"2023/02/15 14:59:59","0","1","0","0","1001","0","1","2022/08/31 12:00:00","10026"
"2023/02/15 14:59:59","0","2","2015009","0","1002","0","2","2022/08/31 12:00:00","10027"
"2023/02/28 11:59:59","1005","1","0","1005","1001","1008","1","2023/02/15 15:00:00","10028"
"2023/02/28 11:59:59","1005","2","2015009","1005","1002","1008","2","2023/02/15 15:00:00","10029"
"2023/08/15 14:59:59","0","1","0","0","1001","0","1","2023/02/28 12:00:00","10030"
