7e7366f4576dbf85e208992fd96fb57e4c8a263d5d2ee43d31181a9f4a979085,e323004464e36da50666da54fcb2d6b7ec6c14fb7443ab6338898908253e1a03,195d27282e3360dad393ab406096f57a95dbd552318d4ab5b2c2d19437a17e52,ff215dfe1fe0b13b247b0708e1f3218821ff05bc4f2e2b23e978774b7982c8eb,6e4dc38de1ad98bf791fb26af99f19d5161c1c178821b399c0906f632651dce6,828c2dec8287191d68b6aa19c65651d68996e205fef5eb8c3293e98716eabb44,7b20991a4b6c5783a2815955bf96bbfa2a4eb307915626ae8e4fbd72c39b299d,0faefc07481ae360a3e2bb5029b7cf861eb5dec39b3219967e0f7eab91a287e6,357639257e4680f59b3a551c2db0755c9bac056c0d55b9ca45ed8e810431e114,af66f7e0447bb73888beefcd3ee814bfd8e33eed786f85a0314d3922519ad03a,7006cfd249a19d3396d9d7f0d1d3bc1c285cbea18672cc9e1711c41d67a1b8ec
"12001","1","-250","12","0","30","talk_sad","5","2.2","1","52"
"12002","1","0","12","0","1","","6","0","1","1"
"12003","0","0","12","0","50","black","5","1","0","29"
"12004","1","0","12","0","1","","6","0","0","1"
"12005","","","12","","","","91","","0",""
"12006","1","1","12","0","1","","6","0.2","1","1"
"12007","1","1","12","0","1","","6","0.2","0","1"
"12008","-20","2","12","","0.3","","2","","1","-250"
"12009","0","2","12","","0.3","","2","","0","0"
"12010","0","","12","","","","93","","0.6",""
"12011","vo_asb_0121","","12","","0","","21","","vo_asb","0"
"12012","思えば手土産すらも、\n持参できず仕舞いでした……","1","12","0","1","0","11","0","1","10"
"12013","","","12","","0","","91","","0","0"
"12014","guts2_talk_shy","","12","","","","3","0.2","1","1"
"12015","vo_asb_0122","","12","","0","","21","","vo_asb","0"
"12016","次に伺う時は必ず……！","1","12","0","1","0","11","0","1","10"
"12017","","","12","","0","","91","","0","0"
"12018","sad_talk_surprise","","12","","","","3","0.2","1","1"
"12019","vo_asb_0123","","12","","0","","21","","vo_asb","0"
"12020","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","1","12","0","1","0","11","0","1","10"
"12021","","","12","","0","","91","","0","0"
"12022","surprise_talk_dere","","12","","","","3","0.3","1","1"
"12023","vo_asb_0124","","12","","0","","21","","vo_asb","0"
"12024","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","1","12","0","1","0","11","0","1","10"
"12025","","","12","","0","","91","","0","0"
"12026","sad_talk_riri_in","1","12","0","sad_idle_red_riri","","3","0.4","1","0"
"12027","vo_asb_0125","","12","","0","","21","","vo_asb","0"
"12028","……一緒に……手土産を……\n……ぽっ。","1","12","0","1","0","11","0","1","10"
"12029","","","12","","0","","91","","0","0"
"12030","","","12","","","","101","","12031",""
"12031","1","0","12","0","1","","6","0.3","1","1"
"12032","1","0","12","0","1","","6","0.3","0","1"
"12033","-120","1","12","","0.3","","2","","1","-250"
"12034","-100","1","12","","0.3","","2","","0","0"
"12035","0","","12","","","","22","","0",""
"12036","0","","12","","","","93","","0.4",""
"13001","1","-230","13","0","20","riri_idle_look_shy","5","2.2","1","17"
"13002","2","-255","13","0","-140","clear_idle_look_shy","5","2.2","2","19"
"13003","3","-245","13","1","270","idle_look_precia","5","2.2","3","18"
"13004","1","0","13","0","1","","6","0","1","1"
"13005","1","0","13","0","1","","6","0","2","1"
"13006","1","0","13","0","1","","6","0","3","1"
