4481f7d40322f764108292850b9794ff5dc50efe752cb8ac58e3984c1fe06514,dfe322c7c23373704e473315ab7738a65698d2088a4af69e289ae2bbb9bb29f4,3c838048a132122b34dcd9c2f391cd1266fa98a9b556b7f86203496b953af909,2ed0f1598478e94c1420ad2e521e55414203c86f3c8147b147bda5212d3e8b87,6af992d6ca020f0a3654d46479153f857e07e27e7454be55de052df102baff87
"3001","0","803100201","3","1"
"3001","0","803100202","3","2"
"3001","0","803100203","3","3"
"3002","0","803100204","3","1"
"3002","0","803100205","3","2"
"3002","0","803100206","3","3"
"3003","0","803100207","3","1"
"3003","0","803100208","3","2"
"3003","0","803100209","3","3"
"3004","0","803100210","3","1"
"3004","0","803100211","3","2"
"3004","0","803100212","3","3"
"3005","0","803100213","3","1"
"3005","0","803100214","3","2"
"3005","0","803100215","3","3"
"3006","0","803100216","3","1"
"3006","0","803100217","3","2"
"3006","0","803100218","3","3"
"3007","0","803100219","3","1"
"3007","0","803100220","3","2"
"3007","0","803100221","3","3"
