7dccb32bfb88bcdcc1f803eb8cfaad34d913c883c4399215b4e743194d17b9f8,59d65582e692208702744727cddd45541151d41a4e163d1a249ee687a87d9ae9,1752ea7b40120b922ae5a8878df71a7fb5e66536193b3b6e35917a972aea54ff,b009a8884d919c19b9e347bf9dfe3485c74c78f55640d452f3104c563d0ff8fa,63570fc78eeb36186caff5a345536f856f3695f87b5f6d4032c154df7c56ed9c,f2e957f9c1abab3fe782415d7f7f44ced0d76073a36f1e17a37e21d9b9fdbf42,c1381090faad3d7179260f19ba10b09dac9275d0879f475d146e6b298b831956,60b64f46bc06571ef401b60ecdefaa508e84343bc3aae0070dd45ad8259afb76,568daa5edb34361bde02868f6a6bd1f2a9e850a7bbd6bc2def5eac062aa0972f,39da43194cb87e2c847f08dd6181013c550b616579c2e5f78ef3068181b38d8c,b9ecebb0825c9abd442ed224ab6c9b49acaeaf0661c9f98890430740dd54e839,eeb8396f559f5d45696d9ed4b9bbebd1dc2b645dabe838da558863c63acacbb1,915763169398192bdc828f7d66ce44cbd359d9aed720cf4849fe668716438adf,871372a972dc15f5493ad52140dacb8eb44e31ad6812d9c938ea3038a1943cad,b930820247182f3770709819b227301ec5a784e418f4ce6318b6525a7e242e98
"1001001","800100101","？？？","100584","-30","2","-75","90","100584","bgm_M220","bgm_M220","350","0","100000","1"
"1001002","800100102","？？？","100584","-30","2","-75","90","100584","bgm_M220","bgm_M220","350","0","100000","1"
"1001003","800100103","？？？","100584","-30","2","-75","90","100584","bgm_M220","bgm_M220","350","0","100000","1"
"1001004","800100101","？？？","100584","-30","2","-75","90","100584","bgm_M221","bgm_M221","350","0","100000","1"
"1001005","800100102","？？？","100584","-30","2","-75","90","100584","bgm_M221","bgm_M221","350","0","100000","1"
"1001006","800100103","？？？","100584","-30","2","-75","90","100584","bgm_M221","bgm_M221","350","0","100000","1"
"1002001","800100201","？？？","100584","-30","2","-75","90","100584","bgm_M220","bgm_M220","350","0","100000","1"
"1002002","800100202","？？？","100584","-30","2","-75","90","100584","bgm_M220","bgm_M220","350","0","100000","1"
"1002003","800100203","？？？","100584","-30","2","-75","90","100584","bgm_M220","bgm_M220","350","0","100000","1"
"1002004","800100201","？？？","100584","-30","2","-75","90","100584","bgm_M221","bgm_M221","350","0","100000","1"
"1002005","800100202","？？？","100584","-30","2","-75","90","100584","bgm_M221","bgm_M221","350","0","100000","1"
"1002006","800100203","？？？","100584","-30","2","-75","90","100584","bgm_M221","bgm_M221","350","0","100000","1"
