e41c13a937d25097afc97735608d7a8de328eb275672fc16fb37ae0bcea123ef,f5404089769a4cf5405e0fa6752060c76a6c9e018332709d071b388016de7c52,c2eb4ce480eace1cc68354289db47718138f7f68fe925cb5f3d37305d16e008a,7a645a7136fddf095225d9835940ba2c29fa04f519f69831133a5b2d7f89b911
"1020301","10203","2025/03/31 12:00:00","104001"
"1020302","10203","2025/03/31 12:00:00","126401"
"1020303","10203","2025/04/15 15:00:00","134701"
"1020304","10203","2025/03/31 12:00:00","126501"
"1020305","10203","2025/03/31 12:00:00","127801"
"1020401","10204","2025/05/15 15:00:00","132501"
"1020402","10204","2025/05/03 19:00:00","132301"
"1020403","10204","2025/04/30 12:00:00","100901"
"1020404","10204","2025/04/30 12:00:00","102701"
"1020405","10204","2025/04/30 12:00:00","101301"
"1020406","10204","2025/04/30 12:00:00","105101"
"1020407","10204","2025/04/30 12:00:00","105601"
