3bad7a71288ddcf423f57e986b46dfb1b5349e54fca8a63a1d2afbe15fb6fc47,3789f9be27ee327fee6934c36f23cc9c8fcb06020ec25b85fc047144aa42e0f5,c08f7481c45e7c58207039d84ce601036429e5a67c6a1c54abf67b494a2a742b,62547f3f37c3e3ce03808c2c90b162040155beb4a24e5aea27788d357716a5bc,e4d1dea4c8ac68ba664fc78a068e731948a81125e261d4c4a1ae14851f8799f4,e6c51a36913a1acbe7d8edd35bf40a2eaa86622b88bd477f8780ec26c320892f,f831fbbcbad6254c8fcdab0063942aa722cde04fa14311efee7ddc0e716b48fd,022408dd2c20202dcd2602346c9ecd43c3f57e690513cf696249180880ec28a5,7cd3ea84957ec7bfc686138a99aa7934916b4d22450e90dabe39c87a5fc5d0a8,01e3d23e45081f239f9c993dcf5ec6853669d2dccec943b5029602979d4b6415,db99e40f0b6359184466d4597effd18ea9ab8222f0a69ca132fffdb99e413540,4f64e57291bdd1e99d69711bb51bbc5b544ddf05c88e930985a93b441278ee38,1ff85e0092cd60360edda739fefd84bfcece0c77a7f973e4c952ba3ad85051b7,bf5611099dc0f2518ddb785430bcba93a3a872bf8531b6fbb1186babc5417c05,e974ead093b9b52d21dde8472e2596dfcfe03e2f564b7a27d843637b1137eb23
"7","キャル","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","106001","1","1","-363","たまには\n協力するのもいいんじゃない？\nあたしも手を貸してあげる","7001"
"7","コッコロ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","105901","1","1","-363","多くの方と協力して\n戦えるようです\n主さまなら、さぞ\nご活躍なさることでしょう","7002"
"7","ペコリーヌ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","105801","1","1","-363","たくさんの人と一緒に\n協力バトルです！\nがんばりましょう☆","7003"
"10","ペコリーヌ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","105801","1","1","-363","ジュエルを食べ物…\nいえ、貴重品と交換できます！","10001"
"10","キャル","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","106001","1","1","-363","ジュエルはよく考えて\n使うことね\n無駄遣い厳禁！","10002"
"10","コッコロ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","105901","1","1","-363","主さまのジュエルで\n貴重な品々を購入できます\nですが、無駄遣いは\n『めっ』でございますよ","10003"
"10","シェフィ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","2","0","0","2104010","106401","1","1","-363","ジュエルがあれば\n貴重品と交換できるみたい\n大事に使いましょうね","10004"
"12","ペコリーヌ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","105801","1","1","-416.5","特定の条件を達成すると\n報酬がもらえますよ！\nがんばりましょう♪　","12001"
"13","キャル","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","106001","1","1","-363","思い出が詰まってるって\nいろいろあったけど\n振り返るのもいいんじゃない？","13001"
"13","コッコロ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","105901","1","1","-363","主さまとの楽しい日々…\nこちらで何度でも\n思い返しましょう♪","13002"
"13","シェフィ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","2","0","0","2104010","106401","1","1","-363","みんなとの大切な思い出が\nたくさん詰まってるのね\n一緒に振り返って、\n心に刻みたいわ","13003"
"13","ペコリーヌ","2015/12/17 15:00:00","2030/12/17 14:59:59","0","1","0","0","0","105801","1","1","-363","女の子との思い出が\nたくさん見られますよ！\nヒューヒュー♪\nモテモテですねー☆","13004"
