e77ffe0a49956cc3478a7a53acb4907a3c3178df80987dbdf0bf5b50381efbfb,f3993e26411d4f0c2ba28015e00360993d65d3ce4db4fcf1a0c8c34fefacb035,cac169ebe99ce475f0943bb3dca9a822ab964026de5df1b4cba478077fc688b9
"138401","135801","2"
"138401","135801","3"
"138401","135801","4"
"138401","135801","5"
"138401","135801","6"
"138401","135801","7"
"138401","135801","8"
"138501","136001","2"
"138501","136001","3"
"138501","136001","4"
"138501","136001","5"
"138501","136001","6"
"138501","136001","7"
"138501","136001","8"
"142201","140101","2"
"142201","140101","3"
"142201","140101","4"
"142201","140101","5"
"142201","140101","6"
"142201","140101","7"
"142201","140101","8"
"142301","140201","2"
"142301","140201","3"
"142301","140201","4"
"142301","140201","5"
"142301","140201","6"
"142301","140201","7"
"142301","140201","8"
"118401","180701","2"
"118301","180701","3"
"118401","180701","4"
"118401","180701","5"
"118301","180701","6"
"118401","180701","7"
"118301","180701","8"
"141701","138901","2"
"141701","138901","3"
"141701","138901","4"
"141701","138901","5"
"141701","138901","6"
"141701","138901","7"
"141701","138901","8"
"141801","139001","2"
"141801","139001","3"
"141801","139001","4"
"141801","139001","5"
"141801","139001","6"
"141801","139001","7"
"141801","139001","8"
"170101","105701","9"
"170101","105701","10"
"170101","105701","11"
"170101","105701","12"
"120401","180801","2"
"120501","180801","3"
"120601","180801","4"
"120501","180801","5"
"120601","180801","6"
"120501","180801","7"
"120401","180801","8"
"121701","180901","2"
"121801","180901","3"
"121701","180901","4"
"121801","180901","5"
"121701","180901","6"
"121801","180901","7"
"121801","180901","8"
"124401","181001","2"
"124301","181001","3"
"124401","181001","4"
"124401","181001","5"
"124301","181001","6"
"124401","181001","7"
"124301","181001","8"
"128201","181101","2"
"128101","181101","3"
"128201","181101","4"
"128201","181101","5"
"128101","181101","6"
"128201","181101","7"
"128101","181101","8"
