4d39914288e0a1a2e63efa51b2a2835717f8bd45caff23e1632a2460a3b6a3c4,79a79405817cdbd31a2f04c13b8c9b8ed2a1072cf23342f62c405b83164acd5b,8215dc52e11f1c352c17f0aa136fc3a8c7ad5c1782fdcd688cf372de9342acdf,5f3fcd71532ae4fee012072ca95b7e124fbc2e74ca86b63d1a36c19ef5fe027d,80fbb56a28d0cb854076f0a1d148ad88a1ec0c6fd2f9dd80c70af7577a4de3d5,7db8b19c3e49f6a34138584a588b867579135ed14360bd9abcc1752a3a54b492,ead0f6999a64663d27eea81ec5b43cee6b177daad9795c2f2815d5a421a64bbe,f51465341dbf02b59b4f21553ea5bf9a0b451ec45eadc2538d16f66ca182fcf5,f5be549b4755ccdaedf33772bee660864762ca20b06ebed6c2165357bb18c5c2,69aec0c591b78dfacc136d5475fc06ce2cca2e7fcdd5c0402b6606be89e403ab,f9f2509ca184ea8a7fba0da140a9d1ac09151e5bb38ab4d53202d7fd44732a66,2a15a94924b769e629b2888d0f1106d05d4c18f2c1a82f97bba24633208843e9,efef0dbd150bc7e3203f81287e37a51555a2907d8602e0ecabb4d18160831ab4,fa0a2feec9fad3afbde371dd853fe9c7a7a3929a75c3b1b3891b6236902b03ab,95c13a72ec45884b36324f0199ec901b3217e99e49a4513967dcad978b818981,6023ab2ba89b8d4c47456401a52d9a14bc45c82831eaf5f815e887b412f2e027,d9f1fa505426349883d71ec4c3c9787aada6a54afec0b1a7c883b8a05742d993,8df1fd54929d1a47f03b859d5561e9e023463997942afb8abe82c04d2c89c8a2,58dc2fe0fe01c4becbb4a2492af1646c4b20961a640ebab8f6644289e8a57073
"10","0","75","0","1","0","0","0","0","65","2","0","0","0","1","100101","16","0","0"
"30","0","125","0","2","0","0","0","0","185","3","0","0","0","3","100101","68","0","0"
"60","0","260","0","4","0","0","0","0","420","4","0","0","0","7","100101","158","0","3"
"100","0","420","0","7","0","0","0","0","810","5","0","0","0","12","100101","293","0","7"
"130","0","630","0","11","0","3","0","0","1340","6","0","0","0","17","100101","486","0","11"
"155","0","1235","0","15","0","6","0","0","1660","7","0","0","0","26","100101","731","0","17"
"180","0","1795","0","15","10","9","0","0","2290","8","0","9","0","35","100101","1030","0","24"
"205","5","1795","0","16","40","9","0","0","2540","9","0","23","0","46","100101","1459","0","27"
"205","10","1795","0","16","100","9","0","0","2740","10","0","37","0","51","100101","1941","10","35"
"205","15","1795","0","16","158","9","0","0","3100","11","3","37","0","55","100101","2439","20","44"
"205","15","2045","0","18","198","9","0","0","3470","12","36","37","0","66","100101","2871","20","46"
"230","15","2045","0","18","251","9","0","0","3720","13","56","37","0","79","100101","3345","20","54"
"255","15","2045","0","20","328","9","0","0","3880","14","56","37","0","97","100101","3840","20","68"
"255","15","2045","0","20","448","9","0","0","3880","15","56","37","0","111","100101","4412","20","82"
"255","15","2045","0","20","586","9","0","0","3880","16","59","37","0","124","100101","5015","20","94"
"255","15","2045","0","20","711","9","0","0","3930","17","62","37","0","142","100101","5656","20","103"
"255","15","2045","0","20","856","9","0","0","3980","18","62","37","0","157","100101","6351","20","119"
"255","15","2045","0","20","984","9","0","0","4075","19","62","37","0","173","100101","7154","20","135"
"255","15","2045","0","20","1065","9","0","0","4270","20","62","37","0","203","100101","8017","20","147"
"255","15","2045","0","20","1160","9","0","0","4580","21","62","37","0","232","100101","8971","20","157"
"255","15","2045","0","20","1262","9","0","0","4790","22","62","37","0","259","100101","10078","20","176"
"255","15","2045","0","20","1343","9","0","0","4880","23","62","37","0","287","100101","11352","20","199"
"255","15","2045","0","20","1416","9","0","0","4970","24","62","37","0","308","100101","12783","20","221"
"255","15","2045","0","20","1471","9","0","0","5230","25","62","37","0","331","100101","14334","20","247"
"255","15","2045","0","20","1495","9","0","0","6835","26","62","37","0","359","100101","15835","20","280"
"255","15","2045","0","20","1513","9","0","0","8440","27","62","37","0","387","100101","17449","20","313"
"255","15","2045","0","20","1538","9","0","0","9225","28","62","37","0","400","100101","19454","20","326"
"255","15","2045","0","20","1571","9","0","0","10010","29","62","37","0","415","100101","21599","20","341"
"255","15","2045","0","20","1614","9","0","0","10270","30","62","37","0","440","100101","23844","20","366"
"255","15","2045","0","20","1657","9","0","0","10795","31","62","37","0","450","100101","26318","20","376"
"255","15","2045","0","20","1690","9","0","0","11845","32","62","37","0","450","100101","28948","20","376"
"255","15","2045","0","20","1729","9","0","0","12370","33","62","37","0","461","100101","31669","20","387"
"255","15","2045","0","20","1775","9","0","0","12370","34","62","37","0","483","100101","34498","20","409"
"255","15","2045","0","20","1821","9","0","0","12370","35","62","37","0","505","100101","37455","20","431"
"255","15","2045","0","20","1867","9","0","0","12370","36","62","37","0","528","100101","40512","20","454"
"255","15","2045","0","20","1913","9","0","0","12370","37","62","37","0","552","100101","43669","20","478"
"0","0","75","0","0","0","0","0","23","55","2","0","0","0","1","100201","0","0","2"
"0","0","125","0","0","0","0","0","81","150","3","0","0","0","1","100201","0","0","8"
"5","0","175","0","0","0","0","0","172","325","4","0","0","0","4","100201","0","10","17"
"15","0","175","0","0","0","0","0","349","505","5","0","0","0","4","100201","0","10","33"
"15","0","175","0","0","0","0","0","522","1035","6","0","0","0","12","100201","0","25","52"
"85","0","175","0","0","0","0","0","790","1395","7","0","0","0","14","100201","0","30","66"
"85","0","175","0","0","0","0","0","1089","1675","8","0","4","0","19","100201","0","75","88"
"100","5","175","0","0","0","0","6","1389","2130","9","0","9","0","25","100201","0","110","109"
"135","10","395","0","0","0","0","30","1758","2490","10","0","14","0","28","100201","0","115","126"
"151","10","735","0","0","0","0","53","2159","2910","11","0","14","0","35","100201","0","129","145"
"177","12","955","0","0","0","0","63","2471","3430","12","0","17","0","56","100201","0","138","171"
"199","14","1175","0","0","0","0","63","2705","3810","13","0","20","0","94","100201","0","140","209"
"199","16","1295","0","0","0","0","71","2982","3990","14","0","20","0","133","100201","0","146","251"
"199","18","1395","0","0","0","0","81","3310","4130","15","0","20","0","168","100201","0","151","293"
"199","18","1495","0","0","0","0","81","3658","4330","16","0","20","0","208","100201","0","157","336"
"214","18","1495","0","3","0","0","81","4008","4510","17","0","20","0","250","100201","0","158","384"
"229","18","1495","0","6","0","0","81","4353","4915","18","0","20","0","295","100201","0","158","441"
"229","18","1590","0","6","0","0","81","4719","5560","19","0","20","0","349","100201","0","158","506"
"229","18","1685","0","6","0","0","93","5176","6145","20","0","20","0","406","100201","0","158","568"
"229","18","1685","0","6","0","0","93","5618","6765","21","0","20","0","472","100201","0","158","646"
"229","18","1685","0","6","0","0","93","6142","8080","22","0","20","0","541","100201","0","158","725"
"229","18","1685","0","6","0","0","93","6707","9855","23","0","20","0","619","100201","0","158","810"
"229","18","1685","0","6","0","0","93","7347","11380","24","0","20","0","704","100201","0","158","901"
"229","18","1685","0","6","0","0","103","8212","12675","25","0","20","0","784","100201","0","158","987"
"229","18","1685","0","6","0","0","118","9328","13965","26","0","20","0","853","100201","0","158","1062"
"229","18","1685","0","6","0","0","128","10563","15535","27","0","20","0","920","100201","0","158","1132"
"229","18","1685","0","6","0","0","138","11885","17300","28","0","20","0","990","100201","0","158","1203"
"229","18","1685","0","6","0","0","148","13290","19295","29","0","20","0","1066","100201","0","158","1279"
"229","18","1685","0","6","0","0","158","14765","21525","30","0","20","0","1147","100201","0","158","1360"
"229","18","1685","0","6","0","0","168","16312","23915","31","0","20","0","1230","100201","0","158","1443"
"229","18","1685","0","6","0","0","178","17930","26460","32","0","20","0","1315","100201","0","158","1528"
"229","18","1685","0","6","0","0","188","19645","29250","33","0","20","0","1402","100201","0","158","1615"
"229","18","1685","0","6","0","0","198","21457","32450","34","0","20","0","1491","100201","0","158","1704"
"229","18","1685","0","6","0","0","208","23342","36060","35","0","20","0","1581","100201","0","158","1794"
"229","18","1685","0","6","0","0","218","25290","40010","36","0","20","0","1672","100201","0","158","1885"
"229","18","1685","0","6","0","0","228","27300","44205","37","0","20","0","1765","100201","0","158","1978"
"0","0","75","0","0","0","0","0","0","95","2","0","0","0","2","100301","22","0","0"
"0","0","125","0","0","0","0","0","0","310","3","0","0","0","6","100301","71","0","2"
"10","0","155","0","0","0","0","0","0","685","4","0","0","0","11","100301","176","0","4"
"20","0","155","0","0","0","0","0","0","1435","5","0","0","0","20","100301","289","5","11"
"35","0","245","0","0","0","0","0","0","2300","6","0","0","0","31","100301","499","5","13"
"35","0","715","0","0","0","0","0","0","3270","7","0","0","0","43","100301","746","5","15"
"50","0","715","0","0","0","3","0","0","4025","8","0","0","0","57","100301","1040","5","23"
"65","0","1115","0","0","20","7","0","0","4630","9","0","9","0","71","100301","1353","5","31"
"65","0","1115","0","5","50","12","0","0","4990","10","0","18","0","80","100301","1729","30","40"
"65","0","1115","0","7","88","17","0","0","5410","11","13","18","0","88","100301","2147","40","49"
"65","0","1115","0","7","130","17","0","0","6180","12","29","21","0","98","100301","2581","40","56"
"98","0","1115","0","7","163","17","0","0","6670","13","42","24","0","112","100301","3026","40","66"
"131","0","1115","0","7","214","17","0","0","7050","14","42","24","0","123","100301","3571","40","76"
"131","0","1115","0","7","280","17","0","0","7420","15","42","24","0","142","100301","4098","40","91"
"143","0","1115","0","7","370","17","0","0","7560","16","45","24","0","156","100301","4716","40","99"
"143","0","1115","0","7","467","17","0","0","7750","17","48","24","0","170","100301","5390","40","105"
"143","0","1115","0","7","591","17","0","0","8015","18","48","24","0","179","100301","6136","40","114"
"143","0","1115","0","7","730","17","0","0","8340","19","48","24","0","191","100301","6947","40","126"
"143","0","1115","0","7","849","17","0","0","8665","20","48","24","0","213","100301","7816","40","138"
"143","0","1115","0","7","980","17","0","0","8950","21","48","24","0","233","100301","8795","40","149"
"143","0","1115","0","7","1098","17","0","0","9165","22","48","24","0","249","100301","9978","40","162"
"143","0","1115","0","7","1169","17","0","0","9510","23","48","24","0","273","100301","11268","40","181"
"143","0","1115","0","7","1230","17","0","0","10190","24","48","24","0","296","100301","12629","40","203"
"143","0","1115","0","7","1293","17","0","0","10710","25","48","24","0","310","100301","14227","40","222"
"143","0","1115","0","7","1332","17","0","0","11535","26","48","24","0","316","100301","16038","40","231"
"143","0","1115","0","7","1356","17","0","0","12780","27","48","24","0","321","100301","17934","40","238"
"143","0","1115","0","7","1380","17","0","0","14025","28","48","24","0","326","100301","19958","40","245"
"143","0","1115","0","7","1405","17","0","0","15210","29","48","24","0","341","100301","22063","40","260"
"143","0","1115","0","7","1431","17","0","0","16130","30","48","24","0","371","100301","24192","40","290"
"143","0","1115","0","7","1457","17","0","0","17315","31","48","24","0","386","100301","26550","40","305"
"143","0","1115","0","7","1483","17","0","0","18865","32","48","24","0","386","100301","29128","40","305"
