6d14ca09fa6d3b6714333a3725b3be83521d52e59f00224761bc68e206a249a5,8fe03a5b1c7f7069809062b69b61be88d799cc5e5e582d17171425d388582c94,865d7236679dad1a83f007865d6b6e492c59c626d8f5cb38e782494ce4eca060,6d0247aff7d69b29568f2df9aaa5fdeec63ee1ce0d3da6bd608789b582981e6d
"180701","4","1001","1"
"180701","4","1002","2"
"180701","4","1003","3"
"180701","4","1004","4"
"180701","4","1005","5"
"180701","2","1014","6"
"180701","2","1015","7"
"180701","2","1016","8"
"180701","2","1017","9"
"180701","2","1010","10"
"180701","2","1011","11"
"180701","2","1012","12"
"180701","2","1013","13"
"180801","6","1001","14"
"180801","6","1002","15"
"180801","6","1003","16"
"180801","6","1004","17"
"180801","6","1005","18"
"180801","3","1014","19"
"180801","3","1015","20"
"180801","3","1016","21"
"180801","4","1017","22"
"180801","3","1010","23"
"180801","3","1011","24"
"180801","3","1012","25"
"180801","3","1013","26"
"180801","3","1009","27"
"180901","4","1001","28"
"180901","4","1002","29"
"180901","4","1003","30"
"180901","4","1004","31"
"180901","4","1005","32"
"180901","2","1014","33"
"180901","2","1015","34"
"180901","2","1016","35"
"180901","4","1017","36"
"180901","2","1010","37"
"180901","2","1011","38"
"180901","2","1012","39"
"180901","2","1013","40"
"181001","4","1001","41"
"181001","4","1002","42"
"181001","4","1003","43"
"181001","4","1004","44"
"181001","4","1005","45"
"181001","2","1009","46"
"181001","2","1010","47"
"181001","2","1011","48"
"181001","2","1012","49"
"181001","2","1013","50"
"181001","2","1014","51"
"181001","2","1015","52"
"181001","2","1016","53"
"181001","2","1017","54"
"181101","4","1001","55"
"181101","4","1002","56"
"181101","4","1003","57"
"181101","4","1004","58"
"181101","4","1005","59"
"181101","2","1009","60"
"181101","2","1010","61"
"181101","2","1012","62"
"181101","2","1013","63"
"181101","2","1014","64"
"181101","2","1015","65"
"181101","2","1016","66"
"181101","2","1017","67"
