9b028aa6976f0df0fcfc57f0fbfb1d5b20956696e861142d410ef386fdaf6997,41370c1e7a3fd5e6e136dd62d229ceabd75b1227866006e43d8dbb7d7069bf3e,bb2013245d428445d92bcc390e42538672519e42effc3bb9c30a8e691c3aacd6,761e3605780ca21f7e36a0a76e02533fa03f70e6efabb35b112992b92f886e24,29e4d0e543e65585fbcc89c4aa8c0da67ec59df8b162b2a4176369f194cc630c,58ae694ed034593ef0c53ea6faf912fd62f6c06570017fcc5703d5b6fc1b40f6,ee361b4575ea6b60d1344fe7377aff435a686ecae5aedb21f48ec84f554b3fcd,070c7a721dd4786e8e2cf8ce9d93f5fd03894cbafa9a31bc236e1bdefc1bf418,c061799162b1124f420eab5399cfcf08340c1ca551ad3225152c585357c69ada,6d02488bbf5e0e187b5fa12e15210ae0b03b63ca031b77b410819f348892d2c1,1042bec48081d4ce09e9c4903ae8c54dc2c50675fb688b045a5c0dabff67d64e
"25021","25012","8","10","2","282001001","31","2","8","91002","1"
"25021","25012","8","10","2","282001002","31","2","8","91002","2"
"25021","25012","8","10","2","282001003","32","2","8","91002","3"
"25021","25012","8","10","2","282001004","32","2","8","91002","4"
"25021","25012","8","10","2","282001005","33","2","8","91002","5"
"25021","25012","9","10","2","282001006","33","2","8","91002","6"
"25021","25012","9","10","2","282001007","34","2","8","91002","7"
"25021","25012","9","10","2","282001008","35","2","8","91002","8"
"25021","25012","9","10","2","282001009","35","2","8","91002","9"
"25021","25012","10","30","2","282001010","37","2","8","91002","10"
"25021","25012","10","10","2","282001011","41","2","8","91002","11"
"25021","25012","11","10","2","282001012","43","2","8","91002","12"
"25021","25012","11","10","2","282001013","46","2","8","91002","13"
"25021","25012","12","10","2","282001014","48","2","8","91002","14"
"25021","25012","12","10","2","282001015","50","2","8","91002","15"
"25021","25012","13","10","2","282001016","53","2","8","91002","16"
"25021","25012","14","10","2","282001017","55","2","8","91002","17"
"25021","25012","14","10","2","282001018","58","2","8","91002","18"
"25021","25012","15","10","2","282001019","60","2","8","91002","19"
"25021","25012","15","30","2","282001020","62","2","8","91002","20"
"25021","25012","16","10","2","282001021","68","2","8","91002","21"
"25021","25012","16","10","2","282001022","70","2","8","91002","22"
"25021","25012","16","10","2","282001023","72","2","8","91002","23"
"25021","25012","17","10","2","282001024","75","2","8","91002","24"
"25021","25012","18","10","2","282001025","77","2","8","91002","25"
"25021","25012","18","10","2","282001026","79","2","8","91002","26"
"25021","25012","19","10","2","282001027","82","2","8","91002","27"
"25021","25012","19","10","2","282001028","84","2","8","91002","28"
"25021","25012","19","10","2","282001029","86","2","8","91002","29"
"25021","25012","20","30","2","282001030","89","2","8","91002","30"
"25021","25012","20","10","2","282001031","94","2","8","91002","31"
"25021","25012","21","10","2","282001032","96","2","8","91002","32"
"25021","25012","21","10","2","282001033","99","2","8","91002","33"
"25021","25012","22","10","2","282001034","101","2","8","91002","34"
"25021","25012","22","10","2","282001035","103","2","8","91002","35"
"25021","25012","23","10","2","282001036","106","2","8","91002","36"
"25021","25012","23","10","2","282001037","108","2","8","91002","37"
"25021","25012","24","10","2","282001038","111","2","8","91002","38"
"25021","25012","25","10","2","282001039","113","2","8","91002","39"
"25021","25012","25","30","2","282001040","115","2","8","91002","40"
"25021","25012","26","10","2","282001041","121","2","8","91002","41"
"25021","25012","27","10","2","282001042","123","2","8","91002","42"
"25021","25012","28","10","2","282001043","125","2","8","91002","43"
"25021","25012","28","10","2","282001044","128","2","8","91002","44"
"25021","25012","29","10","2","282001045","130","2","8","91002","45"
"25021","25012","30","10","2","282001046","132","2","8","91002","46"
"25021","25012","30","10","2","282001047","135","2","8","91002","47"
"25021","25012","31","10","2","282001048","137","2","8","91002","48"
"25021","25012","31","10","2","282001049","139","2","8","91002","49"
"25021","25012","31","30","2","282001050","142","2","8","91002","50"
"25021","25012","32","10","2","282001051","144","2","8","91002","51"
"25021","25012","32","10","2","282001052","146","2","8","91002","52"
"25021","25012","32","10","2","282001053","149","2","8","91002","53"
"25021","25012","33","10","2","282001054","152","2","8","91002","54"
"25021","25012","33","10","2","282001055","155","2","8","91002","55"
"25021","25012","33","10","2","282001056","157","2","8","91002","56"
"25021","25012","34","10","2","282001057","160","2","8","91002","57"
"25021","25012","34","10","2","282001058","163","2","8","91002","58"
"25021","25012","34","10","2","282001059","166","2","8","91002","59"
"25021","25012","35","30","2","282001060","169","2","8","91002","60"
"25021","25012","35","10","2","282001061","171","2","8","91002","61"
"25021","25012","35","10","2","282001062","174","2","8","91002","62"
"25021","25012","36","10","2","282001063","177","2","8","91002","63"
"25021","25012","36","10","2","282001064","180","2","8","91002","64"
"25021","25012","36","10","2","282001065","182","2","8","91002","65"
"25021","25012","37","10","2","282001066","185","2","8","91002","66"
"25021","25012","37","10","2","282001067","187","2","8","91002","67"
"25021","25012","37","10","2","282001068","190","2","8","91002","68"
"25021","25012","38","10","2","282001069","193","2","8","91002","69"
"25021","25012","38","30","2","282001070","196","2","8","91002","70"
