7296d396c937ab725c9b87b0445e45ae17d22897c219e3087e03822a316cf384,7fd26c50de7c2e97a8486dca6aec0e509c30c364a04304b9ea34a3cf92423fb4,688ba2b67d21cc393224d5b97951ae40f43cecb2502565b8bab1ca1df3a0db8c,996269e2acb5fcc898421f964a3d5019e2d43ea90c5b450434cfe46450f3f644,b29a6bcdb61be9e690ac593733e5b6c1d55e5d391154ec74ed919c982d5a6c07,fda7cf50d05dad9dc9f95f4153d30ba62d25aa64704b4442bcaa23239bdb4a8b,6aac0ec6633c27e546df7af8f74d990f01dc759e355fc618aaa3bd3aa153291d,b10a4047ac18bda3a332ea3cf372239dd194c99495ee8d7fc0070a122a80b7bd,e27f6871ac3e8030eae8effad7d0d09600f8b8d80344eefa27360852af0cea76,ca82652c4031c218ddfcc9251aca5ef191c6147521f32056437dcf04e60f8e22,b31d6f6de10911b51c874e6429e8d3bd04bc2e2878590d9386f949fc8ab9fc7f
"1","1.35","110931","-209.3","110","-421","101","1","11010001","nyx_idle_normal","0"
"1","1.35","104831","-182.5","110","121.8","101","1","11010002","nyx_idle_normal","0"
"1","1.35","104631","-182.5","110","227.7","101","1","11010003","nyx_idle_normal","0"
"1","1.35","103231","-182.5","110","340.3","101","1","11010004","nyx_talk_normal","1"
"1","1.35","103431","-182.5","110","449.6","101","1","11010005","nyx_idle_normal","1"
"2","1.35","2","-209.3","120","-421","101","5","11010006","NoItem","0"
"1","1","1","1","0","0","101","31","11010007","",""
"15","0","3","1","-300","0","101","31","11010008","",""
"15","0","4","1.5","-300","0","101","31","11010009","",""
"bgm_M347","","bgm_M347","","","","101","25","11010010","",""
"2","","","","","","101","93","11010011","",""
"2","0.2","nyx_101_chieru_01","1","0","nyx_101_chieru_loop","101","3","11010012","",""
"110931","0.2","nyx_101_chieru_01","1","0","nyx_101_chieru_loop","101","3","11010013","",""
"110931","","ちぇる～ん♪\n最初はとにかく\nインパクト！","","10","","101","11","11010014","",""
"0.4","","","","","","101","93","11010015","",""
"3","","0","","","","101","32","11010016","",""
"3","","1","","","","101","32","11010017","",""
"11010014","","","","","","101","91","11010018","",""
"110931","","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","","10","","101","11","11010019","",""
"1","","","","","","101","93","11010020","",""
"103231","0.2","nyx_idle_joy1","","1","","101","3","11010021","",""
"104631","0.2","nyx_cmn_05","","1","","101","3","11010022","",""
"11010019","","","","","","101","91","11010023","",""
"2","0.2","nyx_101_chieru_01","1","0","nyx_101_chieru_loop","101","3","11010024","",""
"110931","0.2","nyx_101_chieru_01","1","0","nyx_101_chieru_loop","101","3","11010025","",""
"110931","","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","","7","","101","11","11010026","",""
"0.4","","","","","","101","93","11010027","",""
"3","","0","","","","101","32","11010028","",""
"3","","1","","","","101","32","11010029","",""
"0.6","","","","","","101","93","11010030","",""
