118c3b6d40bd3c9e63ddf71333301041527eb2d78045f549466c5c5cd339ceb6,338322ddcafc18af484735dadaf812ad295194f9ed2d1ec27188a63a7935db89,bee6e7f774296c5d851095e617c2eb6dc0ef217d67a0455d835312cc951c21d7,25b65a498541398bb7d92d7c0a5814b1282232766cafdd1ec3669a8a9b42cc51,61f866f1b93bc9f28b3a4130289f2e541c1bd65036602ee105d23935eecc125a,6e9822fa90a8b8e57f90ac69a0dfe315b96c78f3bc36c86b0021a74bd38c0388,a5927ce7d51fa46d35aaa34c4f8cf5a2cf47db80bef007003feb8685bdea790b,54e1e158e43916d9db921e57b0582e63abab2ba73491c764fe4bcf39c195719a,b08ff5d33372d1147b061040e22e50f74ccf8c6bcb9cae4afdf4787b6feebfe6,4f861c1b612232fc4b6992e89aa094eaa42907e5bbe75562a871ee8b9ae16c39,e810697b581e4dcab927d92a04285b76437ed73ec2a214b48902dad4d2384df0
"1","1","1","1013","0","1","1","3","難易度1以上で1回クリアしよう","1","2"
"2","1","2","1013","0","1","2","5","難易度2以上で1回クリアしよう","2","2"
"3","1","3","1013","0","1","3","5","難易度3以上で1回クリアしよう","3","2"
"4","1","4","1013","0","1","4","5","難易度4以上で1回クリアしよう","4","2"
"5","1","5","1013","0","1","5","5","難易度5で1回クリアしよう","5","2"
"6","10","0","1013","0","1","6","0","迷宮遺物を累計10個集めよう","6","3"
"7","50","0","1013","0","1","7","0","迷宮遺物を累計50個集めよう","7","3"
"8","100","0","1013","0","1","8","0","迷宮遺物を累計100個集めよう","8","3"
"9","10","0","1013","0","1","9","0","キャラを累計で10人勧誘しよう","9","4"
"10","50","0","1013","0","1","10","0","キャラを累計で50人勧誘しよう","10","4"
"11","100","0","1013","0","1","11","0","キャラを累計で100人勧誘しよう","11","4"
"12","150","0","1013","0","1","12","0","キャラを累計で150人勧誘しよう","12","4"
"13","1","0","1013","0","1","13","0","アルファ強化でノードを1個解放しよう","13","5"
"14","5","0","1013","0","1","14","0","アルファ強化でノードを5個解放しよう","14","5"
"15","10","0","1013","0","1","15","0","アルファ強化でノードを10個解放しよう","15","5"
"16","15","0","1013","0","1","16","0","アルファ強化でノードを15個解放しよう","16","5"
"17","20","0","1013","0","1","17","0","アルファ強化でノードを20個解放しよう","17","5"
"18","25","0","1013","0","1","18","0","アルファ強化でノードを25個解放しよう","18","5"
"19","30","0","1013","0","1","19","0","アルファ強化でノードを30個解放しよう","19","5"
"20","40","0","1013","0","1","20","0","アルファ強化でノードを40個解放しよう","20","5"
"21","3","2","1013","0","1","21","5","難易度2以上で3回クリアしよう（スキップを除く）","21","2"
"22","5","2","1013","0","1","22","5","難易度2以上で5回クリアしよう（スキップを除く）","22","2"
"23","10","2","1013","0","1","23","5","難易度2以上で10回クリアしよう（スキップを除く）","23","2"
"24","12","2","1013","0","1","24","5","難易度2以上で12回クリアしよう（スキップを除く）","24","2"
"25","14","2","1013","0","1","25","5","難易度2以上で14回クリアしよう（スキップを除く）","25","2"
"26","16","2","1013","0","1","26","5","難易度2以上で16回クリアしよう（スキップを除く）","26","2"
"27","18","2","1013","0","1","27","5","難易度2以上で18回クリアしよう（スキップを除く）","27","2"
"28","20","2","1013","0","1","28","5","難易度2以上で20回クリアしよう（スキップを除く）","28","2"
"29","1","0","1013","0","1","29","20","キャラを20人以上勧誘した状態でクリアしよう","29","6"
"30","1","0","1013","0","1","30","25","キャラを25人以上勧誘した状態でクリアしよう","30","6"
"31","1","0","1013","0","1","31","30","キャラを30人以上勧誘した状態でクリアしよう","31","6"
