1420e78a99cd5aaaa4acdf017d4b755f09d7722810e8c1eb47f510acf865e119,d1def0679323457e845b1c95712a7bb9193b39c5c0ce944124c861c873a33071,6541df1d2569062ddd672b46fc00c1e0d0fee434d396a0df4c2a26f4d7ea7bd6,59f94f6768c5ee4ca250f96dc00fc2635cce99780b5058fb6f55f82d378ded20,3e5a25d37d8504287db2c685fee33f2ff950f273a265b6b2f8ef810dcc1cbced
"135","1","1","1","300"
"425","2","1","1","-100"
"-100","3","2","1","125"
"375","4","2","1","-415"
"25","5","3","1","-50"
"-25","6","3","1","-300"
"-195","7","4","1","-335"
"105","8","4","1","-415"
"135","9","5","1","-160"
"345","10","6","1","-40"
"-230","11","7","1","90"
"230","12","8","1","-420"
"30","13","9","1","250"
"280","14","10","1","-245"
"-150","15","11","1","-110"
