95255949c60cb0ec235f8c0ef37e8d9f06af4f0afbb90217884b3d5c35691f6c,bfc42ffcb331ebcc1a23f1cb3acfbd71fc8f1aa4b38568380e86bc61b918ad20,d6e8c4b3d5aa43b8daecd3f7d8fa80d73b746ffd074776cbcc61b23e33d29515,2e1e6b975a7c28fe46a4066d9f51bded777c581a0aa82652258c575907298964,17f2d8bac290f8cc605bf22eb97736e1feb4e4cf07724620af44f4e7222ba2f9,0ee07657fbf91271231f0e46ef23f5359238c8fb96bb33d5fc048959dd3cebb9,9f6c3e9b6872ed0ea332b9a4c7830c83d5c1a2f4a18c58e02cf16305f61f8744,51fa7805f8e09be262eb4c804aee4764758049d99104d6c8ed8bb99ee49c2299
"start_000-start_001,start_002/start_003-boss_emote_064-start_004","","srt_inori_idle","srt_dragon_in,srt_dragon_idle","srt_kaya_idle","GAME_START","","0"
"","まずはオレの番だな！","srt_inori_idle","srt_dragon_idle","srt_kaya_idle","ENEMY_FIRST","","2"
"","「{0}」か\n「{1}」で始まるのは…","srt_inori_idle","srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN1","","2"
"","「{0}」か\nうーん、「{1}」で始まる言葉ねえ…","srt_inori_idle","srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN2","","2"
"","「{0}」か\nオッケー、次は「{1}」だな","srt_inori_idle","srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN3","","2"
"sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","","","","srt_kaya_help","ENEMY_HELP","srt_homare_help","0"
"","","","","srt_kaya_flash","ENEMY_FLASH","","0"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","「{0}」だ！","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT1","","2"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","「{0}」だな！","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT2","","2"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","「{0}」だぜ！","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT3","","2"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","「{0}」ってのはどうだ！","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT_GREAT1","","2"
"sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","へっへーん！「{0}」だ！","srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT_GREAT2","","2"
"","","","","","ENEMY_SELECT_WAIT","","-1"
"out_071","カヤぴぃ、「ん」がついてるですよ……","","","srt_kaya_shock","ENEMY_SELECT_N","","1"
"","「{0}」ですか\n次は「{1}」で始まる言葉ですね","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN1","","1"
"","「{0}」ですか\nうーん、「{1}」で始まる言葉は…","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN2","","1"
"","なるほど「{0}」ですね\nふむふむ、「{1}」で始まる言葉は…","srt_inori_thinking","srt_dragon_thinking","srt_kaya_waiting","PLAYER_TURN3","","1"
"sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","","","","","PLAYER_CUTIN_GREAT","","1"
"sugoyomi_cutin_050,sugoyomi_cutin_052","","","","","PLAYER_CUTIN_PRICONNE","","1"
"correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","「{0}」です！","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT1","","1"
"correct_030-correct_031,correct_035-correct_036","「{0}」ですね！","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT2","","1"
"correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","「{0}」なんてどうです！","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT_GREAT1","","1"
"correct_030-correct_031,correct_035-correct_036","ふふ～ん♪「{0}」です！","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT_GREAT2","","1"
"correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","ふっふっふ、ずばり\n「{0}」です！","srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle","srt_kaya_react_1,srt_kaya_waiting","PLAYER_SELECT_PRECONNE1","","1"
"correct_030-correct_031,correct_035-correct_036","ひらめいたです！\n「{0}」ですね！","srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle","srt_kaya_react_2,srt_kaya_waiting","PLAYER_SELECT_PRECONNE2","","1"
"","","","","","PLAYER_SELECT_WAIT","","-1"
