d9eb2b1b1b285f0b41ec3b9478c89d3f8eef5d2c2657d2391ea917578cba4ebf,8d569c00816375da411359b364d533d74a8d3c3ecb36c81403fc946f72643ddf,c4d619f04221c8cb4c8aa7a2a6faab9b091aaf8006583b7f244183afdf3e937d,7d8b06b1c232155a43d2af7a1d36b5f2e103bea29e9262376354523560140424,c9f4190be296f366272831442fee3eafe38c7d51a98805385631819467d9aa8e,01784c0e3ffd10c8e1a651ba000a871b6d770eb96bc387147e0afbef8cce4b24,bff41451fb8cfbf9a9633b6aa82096b29453ec17ea103fa80e9b1f11db0f3231,dd8dfd8c0598d6ba48dd822f31206ee23db910847b13a8390a8f869a10745784,ff44fc20b562d3958e6c45043b9bc46a7da1e61d967c4a0e7deecbb9b6b68f20,1d258b38d0eb43a4a14024b472c48369c8fba8a7b50f8c993b33354e9dfb4a75,68154e56b7a9cefbca0e1aa28c54eecf068bbe28ba920da117b861e2b14a1c77,dfd2971f2b00425b06e26791187315f97d3372194053b7c45bbc751de4ea17ea
"ランダムEXPポーションBOX","2","2015/12/17 15:00:00","6","0","0","ランダムなEXPポーションが獲得できる。","2030/08/01 14:59:59","1","20000","0","0"
"ミニEXPポーション","1","2015/12/17 15:00:00","1","0","80","キャラのLv強化に使用すると、キャラEXPが60加算される。","2030/08/01 14:59:59","999999","20001","0","60"
"EXPポーション","2","2015/12/17 15:00:00","1","0","400","キャラのLv強化に使用すると、キャラEXPが300加算される。","2030/08/01 14:59:59","999999","20002","0","300"
"EXPハイポーション","3","2015/12/17 15:00:00","1","0","2000","キャラのLv強化に使用すると、キャラEXPが1500加算される。","2030/08/01 14:59:59","999999","20003","0","1500"
"EXPメガポーション","4","2015/12/17 15:00:00","1","0","10000","キャラのLv強化に使用すると、キャラEXPが7500加算される。","2030/08/01 14:59:59","999999","20004","0","7500"
"EXPギガポーション","5","2015/12/17 15:00:00","1","0","50000","キャラのLv強化に使用すると、キャラEXPが37500加算される。","2030/08/01 14:59:59","999999","20005","0","37500"
"ユカリ（クリスマス）専用スフィア / Lv180","1","2020/11/30 12:00:00","21","0","0","ユカリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2030/08/01 14:59:59","999","21001","0","1"
"ムイミ（ニューイヤー）専用スフィア / Lv180","1","2020/12/31 12:00:00","21","0","0","ムイミ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2030/08/01 14:59:59","999","21002","0","2"
"ユイ（儀装束）専用スフィア / Lv180","1","2021/01/31 12:00:00","21","0","0","ユイ（儀装束）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2030/08/01 14:59:59","999","21003","0","3"
"リマ（シンデレラ）専用スフィア / Lv180","1","2021/02/28 12:00:00","21","0","0","リマ（シンデレラ）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2030/08/01 14:59:59","999","21004","0","5"
"タマキ（作業服）専用スフィア / Lv180","1","2021/05/31 12:00:00","21","0","0","タマキ（作業服）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2030/08/01 14:59:59","999","21005","0","6"
"ツムギ（サマー）専用スフィア / Lv180","1","2021/07/31 12:00:00","21","0","0","ツムギ（サマー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2030/08/01 14:59:59","999","21006","0","7"
