8bb22ef194b366783c457d4b0ffb88da59f4bcbbcabfc4dca63ac38509436d35,ac4655a83dc1a9e2c2de5306b5ede746a547c31e299068e13f10967a94443f67,2039aa5715c5cf950ee85f520467521d91e451a19b3fe088d1fbbe1a173d8b63,4a7a769151db23a5c9b41a705642e6bc70d7784477b75264947754d5a73e9b6d,3209fa28a4c40d87160b6e2865f4278070963b289ba57c9de6dc37f12f59da3a,425785c6be4837dd69c5b487d297176291d74446f34a5e6d5703b2679160bad4,1d7b2907b9c49e6fabd0d648a614be286ea960508ec5a86ad1af5f1b71e81c9f,d4292347321c786e74d042f68385d887e9d3d458040fe7d4248c01cb8f4df53c,f2eb0b00d5d2f335e851900f255432a8b2a3b6cd5dad740f17ad26eee14c4ab3
"500000","32000101","7008","1010","32000101","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1002","1","1"
"750000","32000102","7008","1010","32000102","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","1002","2","1"
"1000000","32000103","7008","1010","32000103","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","1002","3","1"
"500000","32000104","7008","1010","32000104","全プレイヤーでフレイヤを合計500,000回倒そう","1003","4","1"
"750000","32000105","7008","1010","32000105","全プレイヤーでフレイヤを合計750,000回倒そう","1003","5","1"
"1000000","32000106","7008","1010","32000106","全プレイヤーでフレイヤを合計1,000,000回倒そう","1003","6","1"
"1000000","32000107","7008","1010","32000107","全プレイヤーでアラクネを合計1,000,000回倒そう","1004","7","0"
"1500000","32000108","7008","1010","32000108","全プレイヤーでアラクネを合計1,500,000回倒そう","1004","8","0"
"2000000","32000109","7008","1010","32000109","全プレイヤーでアラクネを合計2,000,000回倒そう","1004","9","0"
"1","32000110","7007","1009","32000110","宝石蜘蛛の群れに1回挑戦しよう","1001","10","1"
"1","32000111","7007","1009","32000111","バンディ・シスターズを1回倒そう","1002","11","1"
"1","32000112","7007","1009","32000112","フレイヤを1回倒そう","1003","12","1"
"1","32000113","7007","1009","32000113","アラクネを1回倒そう","1004","13","0"
