62d2807b75aae47e4a76f5f1c689b94555702a9c1deaeead4f1560ec4e54057f,7ba1715132d4842ce184969bbe79636df0b43b12705c487e11148b60b1b08848,a3dfda054b94a4ed2c09ef8a9f52fe7b045124c1232544f5e1740e18b41778f9,c9a310c770130c56aea3171aed826ef0248265708ac26176a452f63dd0dc984a,ed7647306e2a84c176138a7c1141cfaa82e587067c4b451a0d60d7d66e7b8873,92db765c6b73df01aea9505016ad439a4ac80a7627ead393e914766323f3f3c5,925e61f37bd38d8e0bb8e8285cd0f65ffb4f8418e8be14817b2b0bb5363bdc9d,fb69166bf76474f1f58e2950128cc67cc86f528a525e20e6928ca31d60917841,5820fa0977652241c80ff3a7166a0ac44ea730d807a13460ab8da4294da743c6,6d538a668275f66e544fc1480401c5ae1287c15d1f0b88de2c9d7e9c79d6e3bd,d5ed2ee68f0c4500e3133b0ad715e12f01848e116305de9c921fe3a93813717f
"1","0","1","-496","1.3","-157","1","105831","01_uek_cmn_idol_def_N","1010001","100"
"1","0","1","-355","1.3","-178","1","105931","01_uek_cmn_idol_def_N","1010002","110"
"1","1","1","410","1.3","-124","1","112631","01_uek_cmn_idol_def_N","1010003","100"
"1","1","1","389","1.3","-258","1","112531","01_uek_cmn_idol_def_N","1010004","110"
"1","0","1","-415","1.3","-234","1","106031","01_uek_cmn_idol_def_N","1010005","120"
"1","1","1","262","1.3","-235","1","112431","01_uek_cmn_idol_def_N","1010006","120"
"1","0.2","3","01_uek_cmn_pose03","0","1","105831","01_uek_01_peko","","1010007","0"
"1","0.2","3","01_uek_talk_normal","0","1","105931","01_uek_01_kokkoro","","1010008","0"
"1","0.2","3","01_uek_cmn_pose02","0","1","106031","01_uek_01_kyaru","","1010009","0"
"1","0.2","3","01_uek_cmn_pose03","0","1","112631","01_uek_01_mio","","1010010","0"
"1","0.2","3","01_uek_cmn_pose02","0","1","112531","01_uek_01_rin","","1010011","0"
"1","0.2","3","01_uek_cmn_pose01","0","1","112431","01_uek_01_uduki","","1010012","0"
"1","","93","","","","3","","","1010013",""
"1","","3","","0.2","0","112631","01_uek_cmn_pose03","","1010014","1"
"1","","3","","0.2","0","112431","01_uek_cmn_pose01","","1010015","1"
"1","","3","","0.2","0","105831","01_uek_cmn_pose03","","1010016","1"
"1","0.1","3","01_uek_cmn_idol_def_N","0.2","1","105931","01_uek_talk_normal","","1010017","0"
"1","0.1","3","01_uek_cmn_idol_def_N","0.2","1","106031","01_uek_cmn_pose02","","1010018","0"
"1","0.1","3","01_uek_cmn_idol_def_N","0.2","1","112531","01_uek_cmn_pose02","","1010019","0"
"1","","11","","","","105831","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","","1010020","10"
"1","","91","","","","0","","","1010021",""
"1","","11","","","","105931","うえきちゃんが\nどこまで続くのか\n分からないほどです","","1010022","10"
"1","","91","","","","0","","","1010023",""
"1","","11","","","","112631","こういうのってさ\n上がどうなってるか\n見てみたいよね！","","1010024","10"
"1","","91","","","","0","","","1010025",""
"1","","11","","","","112531","確かにね…それに\nこうなった理由も\n分かるかも","","1010026","10"
