d6d89d09a1a646bd9f0f1775e4d11068a836c2dc5b106147785aea3a76ea51f9,89b2ab61eedd32adf98299e6a6a8fcd9def79d2985b51998c1776b6ca13b2799,8e6b508b55fa9e0baccd3b5630f0f23a6540c5a73192c85d2ff0228714fcb87c,07d8fe3759f6f507b22e8501ca728fa6556c58069e980db78ea21caacdb35ed9,87000a32137c3cd35b38cf302874ec6520378c0432ae37a435b3895f7d43464c,457c8c3201e64457d06cb96562161d2bd94672388131331d7be297357112f66a,789ddb83c2c0687a37034a6e6631577300383e181ec478d7b8da637b21d85b5f,40e8f0329b451563f274bfbe3fbd5bcf725bdc861e73b2dab1a9549b7f8b7022,23c81d05c43cf7928b8e44c14a6502539bd80bdaf08cae109fac4b0419a9b102,a7adb20b215eb13295c93b14610e4339e0abc935464fecd5b28912287a161972,f7700ef0d0ebd24d12972ff98aadb62d4073c8a4dd1cedb2de11b670a013ad87
"5","2","10","dsb_idle_normal","1","-165","70","1010801","0","1010801001","-345"
"5","2","4","dsb_idle_worry","2","165","70","1010801","1","1010801002","-345"
"5","2","10","dsb_lago","99","-215","70","1010801","0","1010801003","-350"
"31","1","1","","1","0","0","1010801","","1010801004","1"
"31","1","3","","3","0","0","1010801","","1010801005","1"
"31","1","4","","4","0","0","1010801","","1010801006","1"
"31","1","14","","10","0","0","1010801","","1010801007","1"
"31","1","24","","20","0","0","1010801","","1010801008","1"
"31","1","34","","30","-168","155","1010801","","1010801009","1"
"31","1","34","","31","-168","-155","1010801","","1010801010","1"
"31","1","42","","32","-175","-222","1010801","","1010801011","1"
"31","0","40","","40","0","0","1010801","","1010801012","1"
"13","","1","","170","","","1010801","","1010801013",""
"13","","2","","170","","","1010801","","1010801014",""
"91","","0","","","","","1010801","","1010801015",""
"23","","se_10044200","","se_10044200_cmn_amb","","1","1010801","","1010801016",""
"23","","se_10044200","","se_10044200_cmn_steam","","0","1010801","","1010801017",""
"93","","6","","0","","","1010801","","1010801018",""
"23","","se_10044200","","se_10044200_hotspring_04","","1","1010801","","1010801019",""
"93","","1.5","","0","","","1010801","","1010801020",""
"3","0.5","2","","dsb_talk_anger_Ex8","","1","1010801","","1010801021",""
"21","","vo_dsb_1010801","","vo_dsb_1001","0","0","1010801","","1010801022",""
"11","0","2","0.2","あ、あづいです～っ！！\nここのお湯の温度はおかしいですよ……\nどうなってるですか、ボス！？","1","10","1010801","0","1010801023","1"
"91","","0","","","","","1010801","","1010801024",""
"3","0.5","2","","dsb_idle_worry","","1","1010801","","1010801025",""
"3","0.5","1","","dsb_talk_worry_Ex3","","1","1010801","","1010801026",""
"21","","vo_dsb_1010801","","vo_dsb_1002","0","0","1010801","","1010801027",""
"11","0","1","0.2","今はボスじゃなくて\n若女将って呼んでほしいな～？","1","10","1010801","0","1010801028","1"
"91","","0","","","","","1010801","","1010801029",""
"3","0.5","1","","dsb_idle_normal","","1","1010801","","1010801030",""
