9f2f620f305deca95b3cdae8679ba8493fd4017c6b988fd1417ddb84d5ce9e3b,700a8fde04bb97dfd4b8bd77d36715b62ec2074c196caded61fa3ff2b38af379,db8f52f10f11494d8be23df6e166a9670fdf6026b31c835d1cec360fb7e705cd,6c69687a2da3b3f6c1cda6cb4bca8ed57b5b961af7b6da0096d595e377ae044c,2343f5be65198b3352b2986a82d019635115bbc9f3558332829fbfb17ff643d4,dc549fd8f3f3cd8d262a64f06a3ac223e41871064f8e83a9a48ab2c620eddc3d,e1ff61501d22408d725b31c13bb282f80dab3bae7f52068e1da5dc98fb495f55,3e0244a7e837d98de4a9e5422c333a6833c9b9149b2a9ab350cbbf18b9ca677f,6ed645adc65bf0b248b5b2a398c71b3cb2447d1a720b744326640487003b6e95,1f9252f064071503cfa9800a2ddcfce1105deaf274d084c2cee831fce4ac1367,7ba0e6e375316228a7ab229a61968d6cbe0e54449da37a405ff09f05a07fa8d3
"1","1","pt","0","0","1001","0","10011105","0","2","10011"
"2","1","m","0","0","1002","0","10015103","1","2","10015"
"3","1","pt","0","0","1003","5021700","10021108","0","2","10021"
"4","1","pt","0","0","1004","5027700","5027007","0","3","10027"
"5","1","pt","0","0","1005","5040700","10040105","0","2","10040"
"6","1","pt","1","5046006","1006","0","5046006","0","1","10046"
"7","1","pt","3","5072006","1007","0","5072006","0","3","10072"
"8","0","pt","3","5080000","1008","5080700","5080007","0","3","10080"
"9","0","pt","0","0","1009","9004201","0","0","0","0"
"10","1","pt","3","5096007","1010","5096700","5096007","0","1","10096"
"11","1","pt","3","5126000","1012","0","10126107","0","2","10126"
"12","1","pt","1","5142000","1013","5142700","5142007","0","3","10142"
"13","1","pt","1","5156000","1014","5156700","5156007","0","3","10156"
