29ce02a68ada7ed027037d192c8672fe981f6cd871f1ffba70c0c85ba3e9a903,684d495879bbe267216353f11d04a7d3cedff8158aab7bc0adb7618d9e82c2a3,5cc1a44b28e7b1b820255ce467be348983b05d5780e7565af9a50e8c177501f5,d9a7b037e1e96f8b3561d13f385eb01e91ac879a40b0e48607ec68e7eb648ac2,df40a779b6979174151290f27839eb3b5b87dac3b8261f3b6395a664870d5109,c8dbd796bef08181f609f23eddfaa442ec281c2f6fabef9e733c530f601daa1f,8ff730e9b631a3a7ff86377b95dcc350c91631caefc8630ff75e62c47d54e32a
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","10","72004021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20004","107601"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","12","72005021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20005","108001"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","15","72007021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20007","108201"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","17","72009021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20009","108501"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","19","72010021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20010","108901"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","21","72011021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20011","109001"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","22","72013021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20013","109301"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","23","72015021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20015","110101"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","24","72016021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20016","110501"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","25","72018021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20018","111201"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","26","72020021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20020","111601"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","27","72021021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20021","112101"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","28","72022021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20022","112301"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","29","72025021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20025","113001"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","30","72026021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20026","113201"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","31","72027021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20027","113501"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","32","72029021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20029","114101"
