9d6afd95f7b128e12ae0a5875aea7c299ffe29a624eb0b09dfd9436b1e2aea79,132a0e6a8889d2bef3941d32e375e30f65376c8fb74ef9e3f99e57e588cbb830,63de7a7e888765f783a8afe14fa3b802af0ebb8d3f99339e854068abd1e6b18b,1d462149d049dd05902397c8dae220c53a25f12e700a3cf1bb280537fe226613,7021f8015431529e65ecc5670798d11687ed9bd0ea3b85d7e0dec92eef3efc58,84b6bfee655ec965166b44ebc3674b253ad9dc9a916877d7302da3e334266b45,6faf4491b11f7c610cbf3d86da2566a731c30315504f073ec5a04c7e63c79eb7,c528cdbe2ebf1d8616618130b1cbc8f303b8678d9b179113d2fbdcb43dc7f884,947e926d3ec89a4cefcc4a8e0a5a285999332efe7e9284e39ecb2d3f13dd2049,5f0f1dd0b3429bf393d42ca4d201f02ba55460ec382ff88fecfede2285ad370a,06aae9053400e7f1e55729419ed39b9e3b960a2a33b6978313ac3d1d848f3db1,217216f24a11610c51c5dd61220a9b5b514fbf4b4139b2b24c10f90e92d9c861,aee5f802b1faf246e75fe61a1d0a77bdd5018c1b99c8f7ec855f04078bec9a63,b0866f20d475f704ddc94286cb973ae71f143dba33ff00fa203cb1164c0c29fc,275321c10d8b75e93085604e5aed9bc73abd7e0ac0761de6c7fe407bf614af85,941876df7880e83dc222e3fbcffc36d0956a707a731cc5b8dfd7a9c37ebe4596,0b219e82f34a5cf72a7d7c18553f28f9cea9055ddbb58aa99f2be7be3c927eab,d04dce61bbdbcba06f2371801dd1acd3b20318bc3798ace14893f2aa572de937,3a09ddd62a16cd5a045e9f7e9fb62329648ab0a27fd0fb9a9f859a71ed02a9ce
"610132501","0","0","5","","1","-60","0","3","0","1","3","0","5.5","610132007","1","12","289","10132"
"610132502","0","70","5","","1","-60","0","0","0","2","1","0","1.5","610132008","1","0","289","10132"
"0","0","0","5","","1","-60","0","0","0","3","1","0","1.5","610132009","1","0","289","10132"
"0","0","55","5","","1","-50","0","3","0","1","1","0","5.5","610134007","1.85","0","292","10134"
"610134502","0","0","5","","1","-50","0","0","0","2","3","0","1.5","610134008","1.85","30","292","10134"
"0","0","0","5","","1","-50","0","0","0","3","1","0","1.5","610134009","1.85","0","292","10134"
"610136501","0","0","5","","1","0","0","3","600","1","2","0","5.5","610136007","1.1","0","295","10136"
"0","0","84","5","","1","-50","0","0","0","2","1","0","1.5","610136008","1.5","0","295","10136"
"0","0","0","5","","1","-50","0","0","0","3","1","0","1.5","610136009","1.5","0","295","10136"
"0","0","75","5","","1","0","0","0","0","1","1","0","5.5","610137007","0.85","0","295","10137"
"0","0","50","5","","1","0","0","0","0","2","1","0","1.5","610137008","0.85","0","295","10137"
"0","0","0","5","","1","0","0","0","0","3","1","0","1.5","610137009","0.85","0","295","10137"
"0","0","77","5","","1","0","0","3","0","1","1","0","5.5","610140007","1.4","0","298","10140"
"0","0","52","5","","1","0","0","0","0","2","1","0","1.5","610140008","1.4","0","298","10140"
"0","0","0","5","","1","0","0","0","0","3","1","0","1.5","610140009","1.4","0","298","10140"
"0","0","76","5","","1","-33","0","3","0","1","1","0","5.5","610142007","1.45","0","301","10142"
"610142502","0","0","5","","1","-40","0","3","600","2","2","0","1.5","610142008","1.23","0","301","10142"
"0","0","0","5","","1","-33","0","0","0","3","1","0","1.5","610142009","1.45","0","301","10142"
"0","0","65","5","","1","-33","0","3","0","1","1","0","5.5","610144007","1","0","304","10144"
"610144502","0","0","5","","1","-40","0","3","600","2","2","0","1.5","610144008","0.85","0","304","10144"
"0","0","0","5","","1","-33","0","0","0","3","1","0","1.5","610144009","1","0","304","10144"
"610146501","0","0","5","","1","-45","0","3","600","1","2","0","5.5","610146007","0.87","0","307","10146"
"0","0","58","5","","1","-45","0","0","0","2","1","0","1.5","610146008","1.18","0","307","10146"
"0","0","0","5","","1","-45","0","0","0","3","1","0","1.5","610146009","1.18","0","307","10146"
"610148501","0","0","5","","1","-50","0","3","600","1","2","0","5.5","610148007","1.4","0","310","10148"
"0","0","68","5","","1","-50","0","0","0","2","1","0","1.5","610148008","1.7","0","310","10148"
