e3e8ea5887f9d15186a188b3822a021e08b516f8bc36dd71264d3222d296cc2b,fda95f022cd37b1547df4952c17ed6fb63411b6d137dc48d30982a1247bc9820,a2e2708704211d96565a002db2084ad74838c62b4ad8e1474e963b674f764dc7,8906b09916f261a15ea0e0d2c942a610818722f2bb19b084e5b414c1febc06d9,03aa8695937f56351ce207114dd07c633867df1e304ee207a20c347805f140ff,eebcdd1ea2261d00794b46347ee5e28df05d78757a0df371bb2a80bed194ea21,c48fbda622e3df7a12ec3b682e27f02c783d53949a70a81a23287b5040ab4d51,3de58feb1513e66b30e2ccb471d624008a7238f44253b49e3b797198ec32d869,a6b1fd40176ab2de36e395aef23415f42219c01a0dbc1542041d3e36fe3a4af5,8f31f97f5b4cf3ee2841b4012f5e0773547e4476e6c4d771325991a5cf504e95,7f7a9674f0c6ac2a80b5066ba38006fd498ca9ed3b898fbaacd3c6a415f69b27
"101001","-420","0","cgg_idle_normal","1","100","160","1","5","101","-230"
"101002","375","1","cgg_idle_def","105811","100","1.6","1","1","101","-230"
"101003","490","1","cgg_idle_def","106011","101","1.6","1","1","101","-230"
"101004","1","0","","1","1","0.1","1","6","101","1"
"101005","1","0","","1","1","0.1","105811","6","101","1"
"101006","1","0","","1","1","0.1","106011","6","101","1"
"101007","","","","0","","","0.2","93","101",""
"101008","0","","","vo_minigame_1007_top_talk_1_001","0","","vo_minigame_1007","21","101",""
"101009","0","0","0","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","7","0","105811","11","101","0"
"101010","","","","cgg_idle_surprise1","1","0.2","1","3","101",""
"101011","cgg_talk_surprise_kira","0","","cgg_surprise_kira","0","0.2","105811","3","101","1"
"101012","","","","0","","","2.1","93","101",""
"101013","","","","cgg_idle_surprise3","1","0.2","1","3","101",""
"101014","","","","cgg_talk_joy1","1","0.2","105811","3","101",""
"101015","","","","","","","101009","91","101",""
"101016","","","","cgg_idle_def","1","0.2","105811","3","101",""
"101017","0","","","vo_minigame_1007_top_talk_1_002","0","","vo_minigame_1007","21","101",""
"101018","0","0","0","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","6","0","106011","11","101","0"
"101019","","","","cgg_idle_reaction1","1","0.2","1","3","101",""
"101020","","","","cgg_talk_surprise1","1","0.2","106011","3","101",""
"101021","","","","0","","","2.1","93","101",""
"101022","","","","cgg_idle_nod","1","0.2","1","3","101",""
"101023","","","","cgg_talk_bitter","1","0.2","106011","3","101",""
"101024","","","","","","","101018","91","101",""
"101025","","","","0","","","0.5","93","101",""
"101026","","","","cgg_idle_normal","1","0.2","1","3","101",""
"101027","","","","cgg_idle_def","1","0.2","106011","3","101",""
"101028","","","","cgg_idle_joy2","1","0.2","105811","3","101",""
"101029","","","","10","1.4","0.2","105811","12","101",""
"101030","","","","0","","","3","93","101",""
"101031","","","","cgg_idle_def","1","0.2","105811","3","101",""
"101032","","","","cgg_talk_surprise_dere","1","0.2","106011","3","101",""
"101033","","","","8","1.4","0.2","106011","12","101",""
"101034","","","","0","","","3","93","101",""
"101035","","","","cgg_idle_def","1","0.2","106011","3","101",""
"101036","cgg_idle_surprise1","0","","cgg_surprise1","0","0.2","1","3","101","1"
"101037","","","","4","1.4","0.2","1","12","101",""
"101038","","","","0","","","3","93","101",""
"101039","","","","0","","","101026","101","101",""
"101040","","","","0.5","","","0","22","101",""
"101041","1","0","","1","1","0.1","1","6","101","0"
"101042","1","0","","1","1","0.1","105811","6","101","0"
"101043","1","0","","1","1","0.1","106011","6","101","0"
"101044","","","","0","","","0.1","93","101",""
"101045","","","","cgg_idle_normal","1","0","1","3","101",""
"101046","","","","cgg_idle_def","1","0","105811","3","101",""
"101047","","","","cgg_idle_def","1","0","106011","3","101",""
"102001","-420","0","cgg_idle_normal","1","100","160","1","5","102","-230"
"102002","375","1","cgg_idle_def","105911","100","1.6","1","1","102","-230"
"102003","490","1","cgg_idle_def","106411","101","1.6","1","1","102","-230"
"102004","1","0","","1","1","0.1","1","6","102","1"
"102005","1","0","","1","1","0.1","105911","6","102","1"
"102006","1","0","","1","1","0.1","106411","6","102","1"
"102007","","","","0","","","0.2","93","102",""
"102008","0","","","vo_minigame_1007_top_talk_2_003","0","","vo_minigame_1007","21","102",""
"102009","0","0","0","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","5","0","105911","11","102","0"
"102010","","","","cgg_idle_surprise1","1","0.2","1","3","102",""
"102011","","","","cgg_lookup","0","0.2","105911","3","102",""
"102012","","","","0","","","2.6","93","102",""
"102013","","","","cgg_talk_wish_surprise","1","0.2","105911","3","102",""
"102014","","","","","","","102009","91","102",""
"102015","","","","cgg_idle_def","1","0.4","105911","3","102",""
"102016","0","","","vo_minigame_1007_top_talk_2_004","0","","vo_minigame_1007","21","102",""
"102017","0","0","0","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","5","0","106411","11","102","0"
"102018","","","","cgg_idle_reaction1","1","0.2","1","3","102",""
"102019","","","","cgg_talk_surprise1","1","0.2","106411","3","102",""
"102020","","","","0","","","2.6","93","102",""
"102021","cgg_idle_nod","0","","cgg_talk_nod","0","0.2","1","3","102","1"
"102022","","","","cgg_talk_joy3_blink","1","0.2","106411","3","102",""
"102023","","","","0","","","3.2","93","102",""
"102024","","","","cgg_idle_reaction5","1","0.2","1","3","102",""
"102025","","","","cgg_talk_normal","1","0.2","106411","3","102",""
"102026","","","","","","","102017","91","102",""
"102027","","","","0","","","0.5","93","102",""
"102028","","","","cgg_idle_def","1","0.2","106411","3","102",""
"102029","","","","cgg_idle_normal","1","0.2","1","3","102",""
"102030","","","","cgg_talk_joy3_blink","1","0.2","105911","3","102",""
"102031","","","","10","1.4","0.2","105911","12","102",""
"102032","","","","0","","","3","93","102",""
"102033","","","","cgg_idle_def","1","0.2","105911","3","102",""
"102034","","","","cgg_talk_joy1","1","0.2","106411","3","102",""
"102035","","","","11","1.4","0.2","106411","12","102",""
"102036","","","","0","","","3","93","102",""
"102037","","","","cgg_idle_def","1","0.2","106411","3","102",""
"102038","","","","cgg_idle_surprise3","1","0.2","1","3","102",""
"102039","","","","6","1.4","0.2","1","12","102",""
"102040","","","","0","","","3","93","102",""
"102041","","","","0","","","102029","101","102",""
"102042","","","","0.5","","","0","22","102",""
"102043","1","0","","1","1","0.1","1","6","102","0"
"102044","1","0","","1","1","0.1","105911","6","102","0"
"102045","1","0","","1","1","0.1","106411","6","102","0"
"102046","","","","0","","","0.1","93","102",""
"102047","","","","cgg_idle_normal","1","0","1","3","102",""
"102048","","","","cgg_idle_def","1","0","105911","3","102",""
"102049","","","","cgg_idle_def","1","0","106411","3","102",""
"103001","-420","0","cgg_idle_normal","1","100","160","1","5","103","-230"
"103002","375","1","cgg_idle_def","100211","100","1.6","1","1","103","-230"
"103003","490","1","cgg_idle_def","100111","101","1.6","1","1","103","-230"
"103004","1","0","","1","1","0.1","1","6","103","1"
"103005","1","0","","1","1","0.1","100211","6","103","1"
"103006","1","0","","1","1","0.1","100111","6","103","1"
"103007","","","","0","","","0.2","93","103",""
"103008","0","","","vo_minigame_1007_top_talk_3_005","0","","vo_minigame_1007","21","103",""
"103009","0","0","0","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","6","0","100211","11","103","0"
"103010","","","","cgg_idle_surprise1","1","0.2","1","3","103",""
