2d99cd220afc2d348dfcdd4bbe8cfb72e2f687bc2d258d2dece1946056687890,68b7294f7937600a135757b09095a9b714cf8fd9a3639928e5a0cf081f392d22,c493e45533c123fe5681f5254611c32e1d6915cb394e4934f905d0815d9a1b1b,fc16f31822c38247add8062280a627855f3efd79e31dbcfc6d9c2b56820750c5
"-354","1.6","938","100101"
"-499","1.6","952","100201"
"-523","1.6","1014","100301"
"-488","1.6","894","100401"
"-628","1.6","980","100601"
"-573","1.6","983","100701"
"-544","1.6","1019","100801"
"-510","1.6","985","100901"
"-660","1.6","1115","101001"
"-415","1.6","1128","101101"
"-589","1.6","1042","101201"
"-501","1.6","1050","101601"
"-598","1.6","1038","101701"
"-356","1.6","985","101801"
"-494","1.6","1114","102001"
"-392","1.6","1003","102101"
"-407","1.6","1057","102201"
"-388","1.6","997","102501"
"-490","1.6","1090","102701"
"-554","1.6","987","102801"
"-526","1.6","976","102901"
"-879","1.6","994","103001"
"-560","1.6","1056","103101"
"-453","1.6","1018","103301"
"-345","1.6","1017","103401"
"-674","1.6","961","103801"
"-499","1.6","1095","104001"
"-521","1.6","955","104201"
"-581","1.6","1079","104301"
"-538","1.6","980","104501"
"-364","1.6","954","104601"
"-777","1.6","1107","104801"
"-795","1.6","973","104901"
"-492","1.6","1122","105001"
"-607","1.6","1035","105201"
"-490","1.6","885","105301"
