73aaa80658696f4c7546041a35763fd6caed496649297af4cc4005255b416d8b,e905116781727d25105c1a963bace932c5b77209a0ef7ed903a92a1277cbbbe6,3c7d011ba7ffb9db3766dd27a30de47eb07147f113488c668eb1dd29f98bdafa,4ef6cddeac3106ad0fec499bd9e98186b00883d268de1570fa07b7169a759dca
"1","4301511","1","18"
"1","4301512","2","18"
"1","4301513","3","18"
"1","4301514","4","18"
"1","4301515","5","18"
"1","26202","6","2"
"2","4302511","1","18"
"2","4302512","2","18"
"2","4302513","3","18"
"2","4302514","4","18"
"2","4302515","5","18"
"2","26202","6","2"
"3","4303511","1","18"
"3","4303512","2","18"
"3","4303513","3","18"
"3","4303514","4","18"
"3","4303515","5","18"
"3","26202","6","2"
"4","4304511","1","18"
"4","4304512","2","18"
"4","4304513","3","18"
"4","4304514","4","18"
"4","4304515","5","18"
"4","26202","6","2"
"5","4305511","1","18"
"5","4305512","2","18"
"5","4305513","3","18"
"5","4305514","4","18"
"5","4305515","5","18"
"5","26202","6","2"
"6","4301516","1","18"
"6","4301517","2","18"
"6","4301518","3","18"
"6","4301519","4","18"
"6","4301520","5","18"
"6","26202","6","2"
"7","4302516","1","18"
"7","4302517","2","18"
"7","4302518","3","18"
"7","4302519","4","18"
"7","4302520","5","18"
"7","26202","6","2"
"8","4303516","1","18"
"8","4303517","2","18"
"8","4303518","3","18"
"8","4303519","4","18"
"8","4303520","5","18"
"8","26202","6","2"
"9","4304516","1","18"
"9","4304517","2","18"
"9","4304518","3","18"
"9","4304519","4","18"
"9","4304520","5","18"
"9","26202","6","2"
"10","4305516","1","18"
"10","4305517","2","18"
"10","4305518","3","18"
"10","4305519","4","18"
"10","4305520","5","18"
"10","26202","6","2"
"11","4201511","1","18"
"11","4201512","2","18"
"11","4201513","3","18"
"11","4201514","4","18"
"11","4201515","5","18"
"11","26202","6","2"
"12","4202511","1","18"
"12","4202512","2","18"
"12","4202513","3","18"
"12","4202514","4","18"
"12","4202515","5","18"
"12","26202","6","2"
"13","4203511","1","18"
"13","4203512","2","18"
"13","4203513","3","18"
"13","4203514","4","18"
"13","4203515","5","18"
"13","26202","6","2"
"14","4204511","1","18"
"14","4204512","2","18"
"14","4204513","3","18"
"14","4204514","4","18"
"14","4204515","5","18"
"14","26202","6","2"
