10fefc168912a228d89fc9d44155ffdb3e1278b94623cca02dddf2a11e01e7c4,98a8c0c57beed498247a49fd83dbed63b01ba5d67a0310f13b4ec82dbeadcd90,96597ed813cee4238d3ea9d7e854f6a8186d56053065598dc29ad5a292a0e572,886ccb698913f0455df9ea7168a906f2d77e0d76b1a61be707f888eb394567f9,36126fc6c02e1d2b519a77142511d19aeb757596e752a1f5818267b2bae10966,ffeb347fbc68284f43ac1f4fe36d121c4d52f6a0b93d379d3cea70e4154bfd9e,475ce6820147b33e9dd0320cd8de9cbf7a28dc265e27e3905cb0db0686d46aa4,1e033300c4f1937fe4fc23822bdb27103b9755c09ead35646546b2751e4b13c8,0904a27aad9b539dd379155c44db60b866d8d84d64989ad04bb9b9d415778a12,9daa5244994d5c267661bb51acc6a2d3f471af5dafcfa31332f88045e4f6a19e,48bf317ccd2feb7122eecd058afae4ca5b52f8265f941f455d8730dcbf07f70c,367e77797d06a24d22bd875af18d25950208cf8d30f5648debaa1b3b84399a70
"-1","1","13","1","1","-1","3","100","1","1","1","100101"
"-1","1","15","1","1","-1","4","130","1","1","1","100201"
"-1","1","17","1","1","-1","4","160","1","1","1","100301"
"120","1","19","1","1","-1","4","180","1","1","1","100401"
"-1","1","19","1","1","-1","4","180","1","1","1","100402"
"150","1","21","1","1","-1","4","200","1","1","1","100501"
"-1","1","21","1","1","-1","4","200","1","1","1","100502"
"180","1","23","1","1","-1","5","220","1","1","1","100601"
"-1","1","23","1","1","-1","5","220","1","1","1","100602"
"210","1","25","1","1","-1","5","240","1","1","1","100701"
"-1","1","25","1","1","-1","5","240","1","1","1","100702"
"240","1","27","1","1","-1","5","260","1","1","1","100801"
"-1","1","27","1","1","-1","5","260","1","1","1","100802"
"270","1","29","1","1","-1","5","280","1","1","1","100901"
"-1","1","29","1","1","-1","5","280","1","1","1","100902"
"300","1","32","1","1","1","6","300","1","1","1","101001"
"300","1","32","1","1","-1","6","300","1","1","1","101002"
"-1","1","32","1","1","-1","6","300","1","1","1","101003"
"300","1","32","1","1","1","5","300","1","1","1","101004"
"300","1","32","1","1","-1","5","300","1","1","1","101005"
"-1","1","32","1","1","-1","5","300","1","1","1","101006"
"300","1","32","1","1","1","6","310","1","1","1","101101"
"300","1","32","1","1","-1","6","310","1","1","1","101102"
"-1","1","32","1","1","-1","6","310","1","1","1","101103"
"300","1","32","1","1","1","5","310","1","1","1","101104"
"300","1","32","1","1","-1","5","310","1","1","1","101105"
"-1","1","32","1","1","-1","5","310","1","1","1","101106"
"300","1","32","1","1","1","6","320","1","1","1","101201"
"300","1","32","1","1","-1","6","320","1","1","1","101202"
"-1","1","32","1","1","-1","6","320","1","1","1","101203"
"300","1","32","1","1","1","5","320","1","1","1","101204"
"300","1","32","1","1","-1","5","320","1","1","1","101205"
"-1","1","32","1","1","-1","5","320","1","1","1","101206"
"300","1","32","1","1","3","6","330","1","1","1","101301"
"300","1","32","1","1","-1","6","330","1","1","1","101302"
"-1","1","32","1","1","-1","6","330","1","1","1","101303"
"300","1","32","1","1","3","5","330","1","1","1","101304"
"300","1","32","1","1","-1","5","330","1","1","1","101305"
"-1","1","32","1","1","-1","5","330","1","1","1","101306"
"300","1","32","1","1","3","6","340","1","1","1","101401"
"300","1","32","1","1","-1","6","340","1","1","1","101402"
"-1","1","32","1","1","-1","6","340","1","1","1","101403"
"300","1","32","1","1","3","5","340","1","1","1","101404"
"300","1","32","1","1","-1","5","340","1","1","1","101405"
"-1","1","32","1","1","-1","5","340","1","1","1","101406"
"300","1","32","1","1","3","6","350","1","1","1","101501"
"300","1","32","1","1","-1","6","350","1","1","1","101502"
"-1","1","32","1","1","-1","6","350","1","1","1","101503"
"300","1","32","1","1","3","5","350","1","1","1","101504"
"300","1","32","1","1","-1","5","350","1","1","1","101505"
"-1","1","32","1","1","-1","5","350","1","1","1","101506"
"310","1","32","1","1","5","6","360","1","1","1","101601"
"310","1","32","1","1","-1","6","360","1","1","1","101602"
"-1","1","32","1","1","-1","6","360","1","1","1","101603"
"310","1","32","1","1","5","5","360","1","1","1","101604"
"310","1","32","1","1","-1","5","360","1","1","1","101605"
"-1","1","32","1","1","-1","5","360","1","1","1","101606"
"310","1","32","1","1","5","6","380","1","1","1","101701"
"310","1","32","1","1","-1","6","380","1","1","1","101702"
"-1","1","32","1","1","-1","6","380","1","1","1","101703"
"310","1","32","1","1","5","5","380","1","1","1","101704"
"310","1","32","1","1","-1","5","380","1","1","1","101705"
"-1","1","32","1","1","-1","5","380","1","1","1","101706"
"310","1","32","1","1","5","6","400","1","1","1","101801"
"310","1","32","1","1","-1","6","400","1","1","1","101802"
"-1","1","32","1","1","-1","6","400","1","1","1","101803"
"310","1","32","1","1","5","5","400","1","1","1","101804"
"310","1","32","1","1","-1","5","400","1","1","1","101805"
"-1","1","32","1","1","-1","5","400","1","1","1","101806"
"310","1","33","1","1","5","6","400","1","1","1","111601"
"310","1","33","1","1","-1","6","400","1","1","1","111602"
"-1","1","33","1","1","-1","6","400","1","1","1","111603"
"310","1","33","1","1","5","5","400","1","1","1","111604"
"310","1","33","1","1","-1","5","400","1","1","1","111605"
"-1","1","33","1","1","-1","5","400","1","1","1","111606"
"310","1","33","1","1","5","6","450","1","1","1","111701"
"310","1","33","1","1","-1","6","450","1","1","1","111702"
"-1","1","33","1","1","-1","6","450","1","1","1","111703"
"310","1","33","1","1","5","5","450","1","1","1","111704"
"310","1","33","1","1","-1","5","450","1","1","1","111705"
"-1","1","33","1","1","-1","5","450","1","1","1","111706"
"310","1","33","1","1","5","6","500","1","1","1","111801"
"310","1","33","1","1","-1","6","500","1","1","1","111802"
"-1","1","33","1","1","-1","6","500","1","1","1","111803"
"310","1","33","1","1","5","5","500","1","1","1","111804"
"310","1","33","1","1","-1","5","500","1","1","1","111805"
"-1","1","33","1","1","-1","5","500","1","1","1","111806"
