89b22f286bee91b117b37c67c8898e3de4f2c44f25581a480f6137d97e553521,97c61b639bb9c5b85abbc2aae0d9f85510dd22853af04d3446af3c147c0ac01b,a18cbd388dc07b5ae478112b53a825efc63bd0fbb25aba2fca7745815bb7d15e,b6388a6fbe5d52541584c3c94dd3b607586e68e147370b0f996dbfd6bb94316b,a4d4eaccdefaba5358a81a714b4b8581f6f2a04fbf240825b49cb338f236f38d,ed4db9502e14a0aa0f7c1d71268d216ee95fae75044a17421be2ff844f9f394c
"610010501","0","10010","1","0","100"
"610010502","0","10010","1","0","250"
"610010503","0","10010","1","0","450"
"610010601","6","10010","2","4","440"
"610010602","3","10010","2","3","300"
"610010603","1","10010","2","2","140"
"610010605","1","10010","2","1","20"
"610012501","0","10012","1","0","80"
"610012502","0","10012","1","0","180"
"610012503","0","10012","1","0","280"
"610012504","0","10012","1","0","380"
"610013501","0","10013","1","0","-500"
"610013502","0","10013","1","0","-400"
"610013503","0","10013","1","0","-300"
"610015501","0","10015","1","0","0"
"610015502","0","10015","1","0","10"
"610015503","0","10015","1","0","20"
"610017501","0","10017","1","0","-180"
"610017502","0","10017","1","0","-80"
"610021501","1","10021","2","1","20"
"610021502","1","10021","2","2","140"
"610021503","1","10021","2","3","300"
"610025501","0","10025","1","0","-120"
"610025502","0","10025","1","0","-10"
"610025503","0","10025","1","0","30"
"610027502","0","10027","1","0","-220"
"610027503","0","10027","1","0","10"
"610027504","0","10027","1","0","800"
"610027505","0","10027","1","0","100"
"610029501","0","10029","1","0","-120"
"610029502","0","10029","1","0","-10"
"610029503","0","10029","1","0","30"
"610031501","0","10031","1","0","-120"
"610031502","0","10031","1","0","-40"
"610031503","0","10031","1","0","10"
"610031504","0","10031","1","0","50"
"610033501","0","10033","1","0","-120"
"610033502","0","10033","1","0","-10"
"610033503","0","10033","1","0","30"
"610033504","0","10033","1","0","-80"
"610035501","0","10035","1","0","10"
"610035502","0","10035","1","0","-120"
"610035503","0","10035","1","0","90"
"610035601","0","10035","1","0","-220"
"610035602","0","10035","1","0","10"
"610035603","0","10035","1","0","100"
"610035604","0","10035","1","0","800"
"610037501","0","10037","1","0","80"
"610037502","0","10037","1","0","180"
"610037503","0","10037","1","0","280"
"610037504","0","10037","1","0","380"
"610038501","0","10038","1","0","-120"
"610038502","0","10038","1","0","-40"
"610038503","0","10038","1","0","10"
"610038504","0","10038","1","0","50"
"610039501","0","10039","1","0","-500"
"610039502","0","10039","1","0","-400"
"610039503","0","10039","1","0","-300"
"610040501","0","10040","1","0","-205"
"610040502","0","10040","1","0","122"
"610040503","0","10040","1","0","25"
"610040504","0","10040","1","0","295"
"610041501","0","10041","1","0","0"
"610041502","0","10041","1","0","10"
"610041503","0","10041","1","0","20"
"610042501","0","10042","2","0","-120"
"610042502","0","10042","2","0","-40"
"610042503","0","10042","2","0","10"
"610045501","1","10045","2","1","20"
"610045502","1","10045","2","2","140"
"610045503","1","10045","2","3","300"
"610046404","0","10046","1","0","-275"
"610046405","0","10046","1","0","-45"
"610046406","0","10046","1","0","115"
"610046407","0","10046","1","0","175"
"610048601","0","10048","2","0","-150"
"610048602","0","10048","2","0","-145"
"610049501","0","10049","1","0","-120"
"610049502","0","10049","1","0","-10"
"610049503","0","10049","1","0","30"
"610050404","1","10050","1","1","20"
"610050405","1","10050","1","2","140"
"610050406","1","10050","1","3","300"
"610051502","0","10051","1","0","-220"
"610051503","0","10051","1","0","10"
"610051505","0","10051","1","0","100"
"610052401","0","10052","1","1","20"
"610052402","0","10052","1","2","140"
"610052403","0","10052","1","3","300"
"610053501","0","10053","1","0","-180"
"610053502","0","10053","1","0","-80"
"610054501","0","10054","2","0","-180"
"610054502","0","10054","2","0","20"
"610054503","0","10054","2","0","150"
"610055501","0","10055","1","0","-120"
"610055502","0","10055","1","0","-10"
"610055503","0","10055","1","0","30"
"610057501","0","10057","1","0","-120"
"610057502","0","10057","1","0","-40"
"610057503","0","10057","1","0","10"
"610057504","0","10057","1","0","50"
"610058501","1","10058","1","1","20"
"610058502","1","10058","1","2","140"
"610058503","1","10058","1","3","300"
"610058601","0","10058","1","0","200"
"610058602","0","10058","1","0","-200"
"610059501","0","10059","2","0","40"
"610059502","0","10059","2","0","-15"
"610059503","0","10059","2","0","-90"
"610059504","0","10059","2","0","200"
"610060501","0","10060","1","0","-120"
"610060502","0","10060","1","0","-10"
"610060503","0","10060","1","0","30"
"610060504","0","10060","1","0","-80"
"610061501","0","10061","1","0","-200"
"610061502","0","10061","1","0","-80"
"610061503","0","10061","1","0","100"
"610062501","0","10062","1","0","10"
"610062502","0","10062","1","0","-120"
"610062503","0","10062","1","0","90"
"610062601","0","10062","1","0","-220"
"610062603","0","10062","1","0","100"
"610062604","0","10062","1","0","150"
"610065501","0","10065","1","0","-120"
"610065502","0","10065","1","0","-40"
"610065503","0","10065","1","0","10"
"610065504","0","10065","1","0","50"
"610066501","0","10066","2","0","-220"
"610066502","0","10066","2","0","60"
"610066503","0","10066","2","0","89"
"610067501","0","10067","1","0","-205"
"610067502","0","10067","1","0","122"
"610067503","0","10067","1","0","25"
"610067504","0","10067","1","0","295"
"610068501","0","10068","2","0","-180"
"610068502","0","10068","2","0","20"
"610068503","0","10068","2","0","150"
"610069501","0","10069","2","0","-170"
"610069502","0","10069","2","0","-80"
"610069503","0","10069","2","0","120"
"610070506","0","10070","2","0","350"
"610070507","0","10070","2","0","250"
"610070640","0","10070","1","0","250"
"610070641","0","10070","1","0","350"
"610070642","0","10070","1","0","700"
"610070643","0","10070","1","0","800"
"610072501","1","10072","1","1","20"
"610072502","1","10072","1","2","140"
"610072503","1","10072","1","3","300"
"610072601","0","10072","2","0","-180"
"610072602","0","10072","2","0","-145"
"610072603","0","10072","2","0","80"
"610073404","0","10073","1","0","-275"
"610073405","0","10073","1","0","-45"
"610073406","0","10073","1","0","115"
"610073407","0","10073","1","0","175"
"610074501","0","10074","1","0","250"
"610074502","0","10074","1","0","380"
"610074503","0","10074","1","0","-100"
"610074504","0","10074","1","0","480"
"610074601","1","10074","2","1","20"
"610074602","1","10074","2","2","140"
"610074603","1","10074","2","3","300"
"610075601","0","10075","2","0","-150"
"610075602","0","10075","2","0","-145"
"610076601","0","10076","2","0","-180"
"610076602","0","10076","2","0","-145"
"610076603","0","10076","2","0","150"
"610077404","1","10077","1","1","20"
"610077405","1","10077","1","2","140"
"610077406","1","10077","1","3","300"
"610079401","0","10079","1","1","20"
"610079402","0","10079","1","2","140"
