6b150e1a325897e5c8ebfe4b3c4a5c08d34a388fe54e25bca838de1e3ea27cff,cc89f932dbb30c2c2af2b57067396a364ecd4c796bd570c1d1631f2507eb6110,12dc4cdd1a9ee9f33f22adfdee39011e8281b24732d7e4e5dba289f2b364fd78,371b04d1ff8a5e8a2e57bb993e2c674607130657905eb702517b08e01ddf10a6,c65773ac7c9ba237ec8d61dcffdf06168a2dd7ef247fd8e9c1acc52568f13c8d,11995906a3652ae619435199cf6b55f4fb82c41cf502b9dc1992b38d9d4c59df,4ed6c1f615763d9bfb860c99c7f4bf3da4081665a464d4170070112deacecbbd,014aebeb44ccd51b22ec60d6e33bb16d5a9a02b367d9aaec11b6d9134a7fab17,6169086944d0c04c32c7a0f63140db733b52dedfe668590fc0f6e428dc409fa7
"5","1","22","53003","-1","6","7","8","10001"
"5","1","22","53002","-1","6","7","4","10002"
"4","1","22","53003","5","5","6","6","10101"
"4","1","22","53002","5","5","6","5","10102"
"3","1","22","53003","4","4","5","5","10201"
"3","1","22","53002","4","4","5","5","10202"
"3","1","22","53003","3","3","4","4","10301"
"3","1","22","53002","3","3","4","3","10302"
"2","1","22","53003","2","2","3","3","10401"
"2","1","22","53002","2","2","3","2","10402"
"1","1","22","53003","1","1","2","2","10501"
"1","1","22","53002","1","1","2","1","10502"
"1","1","22","53002","0","0","1","2","10601"
"5","2","22","53003","-1","6","7","8","10701"
"5","2","22","53002","-1","6","7","4","10702"
"4","2","22","53003","5","5","6","6","10801"
"4","2","22","53002","5","5","6","5","10802"
"3","2","22","53003","4","4","5","5","10901"
"3","2","22","53002","4","4","5","5","10902"
"3","2","22","53003","3","3","4","4","11001"
"3","2","22","53002","3","3","4","3","11002"
"2","2","22","53003","2","2","3","3","11101"
"2","2","22","53002","2","2","3","2","11102"
"1","2","22","53003","1","1","2","2","11201"
"1","2","22","53002","1","1","2","1","11202"
"1","2","22","53002","0","0","1","2","11301"
"5","3","22","53003","-1","6","7","8","11401"
"5","3","22","53002","-1","6","7","4","11402"
"4","3","22","53003","5","5","6","6","11501"
"4","3","22","53002","5","5","6","5","11502"
"3","3","22","53003","4","4","5","5","11601"
"3","3","22","53002","4","4","5","5","11602"
"3","3","22","53003","3","3","4","4","11701"
"3","3","22","53002","3","3","4","3","11702"
"2","3","22","53003","2","2","3","3","11801"
"2","3","22","53002","2","2","3","2","11802"
"1","3","22","53003","1","1","2","2","11901"
"1","3","22","53002","1","1","2","1","11902"
"1","3","22","53002","0","0","1","2","12001"
"5","4","22","53003","-1","6","7","8","12101"
"5","4","22","53002","-1","6","7","4","12102"
"4","4","22","53003","5","5","6","6","12201"
"4","4","22","53002","5","5","6","5","12202"
"3","4","22","53003","4","4","5","5","12301"
"3","4","22","53002","4","4","5","5","12302"
"3","4","22","53003","3","3","4","4","12401"
"3","4","22","53002","3","3","4","3","12402"
"2","4","22","53003","2","2","3","3","12501"
"2","4","22","53002","2","2","3","2","12502"
"1","4","22","53003","1","1","2","2","12601"
"1","4","22","53002","1","1","2","1","12602"
"1","4","22","53002","0","0","1","2","12701"
"5","5","22","53003","-1","6","7","8","12801"
"5","5","22","53002","-1","6","7","4","12802"
"4","5","22","53003","5","5","6","6","12901"
"4","5","22","53002","5","5","6","5","12902"
"3","5","22","53003","4","4","5","5","13001"
"3","5","22","53002","4","4","5","5","13002"
"3","5","22","53003","3","3","4","4","13101"
"3","5","22","53002","3","3","4","3","13102"
"2","5","22","53003","2","2","3","3","13201"
"2","5","22","53002","2","2","3","2","13202"
"1","5","22","53003","1","1","2","2","13301"
"1","5","22","53002","1","1","2","1","13302"
"1","5","22","53002","0","0","1","2","13401"
"5","6","22","53003","-1","6","7","8","13501"
"5","6","22","53002","-1","6","7","4","13502"
"4","6","22","53003","5","5","6","6","13601"
"4","6","22","53002","5","5","6","5","13702"
"3","6","22","53003","4","4","5","5","13801"
"3","6","22","53002","4","4","5","5","13902"
"3","6","22","53003","3","3","4","4","14001"
"3","6","22","53002","3","3","4","3","14002"
"2","6","22","53003","2","2","3","3","14101"
"2","6","22","53002","2","2","3","2","14102"
"1","6","22","53003","1","1","2","2","14201"
"1","6","22","53002","1","1","2","1","14202"
"1","6","22","53002","0","0","1","2","14301"
"5","7","22","53003","-1","6","7","8","14401"
"5","7","22","53002","-1","6","7","4","14402"
"4","7","22","53003","5","5","6","6","14501"
"4","7","22","53002","5","5","6","5","14502"
"3","7","22","53003","4","4","5","5","14601"
"3","7","22","53002","4","4","5","5","14701"
"3","7","22","53003","3","3","4","4","14801"
"3","7","22","53002","3","3","4","3","14802"
"2","7","22","53003","2","2","3","3","14901"
"2","7","22","53002","2","2","3","2","14902"
"1","7","22","53003","1","1","2","2","15001"
"1","7","22","53002","1","1","2","1","15002"
"1","7","22","53002","0","0","1","2","15101"
