3a279c5a64e459bf2b1f3124f9b892f34266960471a0a4794e21f3d9ae695511,952b77e9d666499f249f8d2656aee7cd03ec481fcebd722cf4fdac329b0415bb,666c6814e317f933978eafc43ac33592e422b21e2929ef87059b8adb8b764e06,cafbe01b4b991f7c3c2b14699b800417de534b9964cb7014e65fd303cf86ebb0,b62202531e04757695c3daa932b651489ba091078e81378b088d9b4c42a64849,c9839f5e9c69c0b0a5dfd930cc951ff6a3438829df3ead7dbaf6f04b174f584b,c93660abee64d654344d8ae3fa58a34c2330d7716093017d01258657f37e504d,928ee891b1e63291826c7a4199550b4f396c1049f7f0f464b7f3e72eeb4c37ed,d55001efa810d3a3022c4272686283ef94cde2ce1cb5a2dc6aa5765c42a3c9e2
"1","0","1","0.7","1","43.5","502001102","320010106","11"
"2","0","3","0.65","2","13","502001103","320010106","67"
"3","0","2","0.65","3","-74","0","320010106","49"
"4","0","1","0.7","1","-49","502001108","320010107","13"
"5","0","3","0.85","2","-4","502001109","320010107","62"
"6","0","2","0.65","3","59","0","320010107","50"
"7","0","1","1.05","1","0","0","320010108","-10"
"8","0","1","1.05","1","-15","0","320010109","-10"
"9","0","1","0.43","1","-85","0","320010110","-45"
"10","0","2","0.43","2","85","0","320010110","-45"
"11","0","1","0.7","1","43.5","502001202","320010206","11"
"12","0","3","0.65","2","13","502001203","320010206","67"
"13","0","2","0.65","3","-74","0","320010206","49"
"14","0","1","0.7","1","-49","502001208","320010207","13"
"15","0","3","0.85","2","-4","502001209","320010207","62"
"16","0","2","0.65","3","59","0","320010207","50"
"17","0","1","1.05","1","0","0","320010208","-10"
"18","0","1","1.05","1","-15","0","320010209","-10"
"19","0","1","0.43","1","-85","0","320010210","-45"
"20","0","2","0.43","2","85","0","320010210","-45"
"21","0","1","0.7","1","43.5","502001302","320010306","11"
"22","0","3","0.65","2","13","502001303","320010306","67"
"23","0","2","0.65","3","-74","0","320010306","49"
"24","0","1","0.7","1","-49","502001308","320010307","13"
"25","0","3","0.85","2","-4","502001309","320010307","62"
"26","0","2","0.65","3","59","0","320010307","50"
"27","0","1","1.05","1","0","0","320010308","-10"
"28","0","1","1.05","1","-15","0","320010309","-10"
"29","0","1","0.43","1","-85","0","320010310","-45"
"30","0","2","0.43","2","85","0","320010310","-45"
"31","0","1","0.7","1","43.5","502001402","320010406","11"
"32","0","3","0.65","2","13","502001403","320010406","67"
"33","0","2","0.65","3","-74","0","320010406","49"
"34","0","1","0.7","1","-49","502001408","320010407","13"
"35","0","3","0.85","2","-4","502001409","320010407","62"
"36","0","2","0.65","3","59","0","320010407","50"
"37","0","1","1.05","1","0","0","320010408","-10"
"38","0","1","1.05","1","-15","0","320010409","-10"
"39","0","1","0.43","1","-85","0","320010410","-45"
"40","0","2","0.43","2","85","0","320010410","-45"
"41","0","1","0.7","1","43.5","502001502","320010506","11"
"42","0","3","0.65","2","13","502001503","320010506","67"
"43","0","2","0.65","3","-74","0","320010506","49"
"44","0","1","0.7","1","-49","502001508","320010507","13"
"45","0","3","0.85","2","-4","502001509","320010507","62"
"46","0","2","0.65","3","59","0","320010507","50"
"47","0","1","1.05","1","0","0","320010508","-10"
"48","0","1","1.05","1","-15","0","320010509","-10"
"49","0","1","0.43","1","-85","0","320010510","-45"
"50","0","2","0.43","2","85","0","320010510","-45"
"51","0","1","0.7","1","43.5","502002102","320020106","11"
"52","0","3","0.65","2","13","502002103","320020106","67"
"53","0","2","0.65","3","-74","0","320020106","49"
"54","0","1","0.7","1","-49","502002108","320020107","13"
"55","0","3","0.85","2","-4","502002109","320020107","62"
"56","0","2","0.65","3","59","0","320020107","50"
"57","0","1","1.05","1","0","0","320020108","-10"
"58","0","1","1.05","1","-15","0","320020109","-10"
"59","0","1","0.43","1","-85","0","320020110","-45"
"60","0","2","0.43","2","85","0","320020110","-45"
"61","0","1","0.7","1","43.5","502002202","320020206","11"
"62","0","3","0.65","2","13","502002203","320020206","67"
"63","0","2","0.65","3","-74","0","320020206","49"
"64","0","1","0.7","1","-49","502002208","320020207","13"
"65","0","3","0.85","2","-4","502002209","320020207","62"
"66","0","2","0.65","3","59","0","320020207","50"
"67","0","1","1.05","1","0","0","320020208","-10"
"68","0","1","1.05","1","-15","0","320020209","-10"
"69","0","1","0.43","1","-85","0","320020210","-45"
"70","0","2","0.43","2","85","0","320020210","-45"
"71","0","1","0.7","1","43.5","502002302","320020306","11"
"72","0","3","0.65","2","13","502002303","320020306","67"
"73","0","2","0.65","3","-74","0","320020306","49"
"74","0","1","0.7","1","-49","502002308","320020307","13"
"75","0","3","0.85","2","-4","502002309","320020307","62"
"76","0","2","0.65","3","59","0","320020307","50"
"77","0","1","1.05","1","0","0","320020308","-10"
"78","0","1","1.05","1","-15","0","320020309","-10"
"79","0","1","0.43","1","-85","0","320020310","-45"
"80","0","2","0.43","2","85","0","320020310","-45"
"81","0","1","0.7","1","43.5","502002402","320020406","11"
"82","0","3","0.65","2","13","502002403","320020406","67"
"83","0","2","0.65","3","-74","0","320020406","49"
"84","0","1","0.7","1","-49","502002408","320020407","13"
"85","0","3","0.85","2","-4","502002409","320020407","62"
"86","0","2","0.65","3","59","0","320020407","50"
"87","0","1","1.05","1","0","0","320020408","-10"
"88","0","1","1.05","1","-15","0","320020409","-10"
"89","0","1","0.43","1","-85","0","320020410","-45"
"90","0","2","0.43","2","85","0","320020410","-45"
"91","0","1","0.7","1","43.5","502002502","320020506","11"
"92","0","3","0.65","2","13","502002503","320020506","67"
"93","0","2","0.65","3","-74","0","320020506","49"
"94","0","1","0.7","1","-49","502002508","320020507","13"
"95","0","3","0.85","2","-4","502002509","320020507","62"
"96","0","2","0.65","3","59","0","320020507","50"
"97","0","1","1.05","1","0","0","320020508","-10"
"98","0","1","1.05","1","-15","0","320020509","-10"
"99","0","1","0.43","1","-85","0","320020510","-45"
"100","0","2","0.43","2","85","0","320020510","-45"
