5df2e4f6e4c8666bda1977a649c5ab36120e6dcea81a21eb3b92891a60e105fc,30627e87a1f7d168d6eda7d0d930f2a9402d57c78d7a0a32aae6207004db3279,a2619557e0d2f9f57f9d6db494217a58627bb8478093fe22e595213727e489c5,140473460e304bc353fc3ed2372884b0017c82fa7adb24a81ab41f47226ba0d9,fccc42e20fb69acddba7eba221ed452968c8890352fcfe74613219e71c7d96c0
"1","1","1001","1","100111"
"2","2","1001","1","100112"
"3","3","1001","1","100113"
"4","4","1001","1","100114"
"5","5","1001","1","100115"
"1","6","1001","2","100121"
"2","7","1001","2","100122"
"3","8","1001","2","100123"
"4","9","1001","2","100124"
"5","10","1001","2","100125"
"1","11","1001","3","100131"
"2","12","1001","3","100132"
"3","13","1001","3","100133"
"4","14","1001","3","100134"
"5","15","1001","3","100135"
"1","16","1002","1","100211"
"2","17","1002","1","100212"
"3","18","1002","1","100213"
"4","19","1002","1","100214"
"5","20","1002","1","100215"
"1","21","1002","2","100221"
"2","22","1002","2","100222"
"3","23","1002","2","100223"
"4","24","1002","2","100224"
"5","25","1002","2","100225"
"1","26","1002","3","100231"
"2","27","1002","3","100232"
"3","28","1002","3","100233"
"4","29","1002","3","100234"
"5","30","1002","3","100235"
"1","31","1003","1","100311"
"2","32","1003","1","100312"
"3","33","1003","1","100313"
"4","34","1003","1","100314"
"5","35","1003","1","100315"
"1","36","1003","2","100321"
"2","37","1003","2","100322"
"3","38","1003","2","100323"
"4","39","1003","2","100324"
"5","40","1003","2","100325"
"1","41","1003","3","100331"
"2","42","1003","3","100332"
"3","43","1003","3","100333"
"4","44","1003","3","100334"
"5","45","1003","3","100335"
"1","46","1004","1","100411"
"2","47","1004","1","100412"
"3","48","1004","1","100413"
"4","49","1004","1","100414"
"5","50","1004","1","100415"
"1","51","1004","2","100421"
"2","52","1004","2","100422"
"3","53","1004","2","100423"
"4","54","1004","2","100424"
"5","55","1004","2","100425"
"1","56","1004","3","100431"
"2","57","1004","3","100432"
"3","58","1004","3","100433"
"4","59","1004","3","100434"
"5","60","1004","3","100435"
"1","61","1004","4","100441"
"2","62","1004","4","100442"
"3","63","1004","4","100443"
"4","64","1004","4","100444"
"5","65","1004","4","100445"
