002e2fa701407626f8e74073c11be60a40ff1383a16e14848c56dbfbf99a2f77,8eb2cac473e40b6378722d39ed1b4aa46458a6396e5bcd67c270892dd971b81f,1821bcfaf67b1c90e4172a823cba26e88dfe308def30c9e00f12c24e98be56fd,e0787acea83a8ca0fda5099a5fd2620ddf8f818c0cd8263aeb5105f70e810d3c,0ef450781816a5a0a718b92ce230b00ce58624c23f1e2221c45b3762bb7331b9,09386833b478f998f8218ca3913f5b172f803090d6b403e77f0c04ff478de3db,408c638518aa0ac249498c837fc0765822f2d98c153bc6a83f1cd5286ddf1b7a,2fb9359e68bcea78f1ca93dbbae290493ee9357672abd09aea4afd44ac491bc3,b0bdd15b51d95d9332e42a4f7c6e48b795b3c3ecb86d35c7ba51249637eacc72,55a996affa6875df6210e1eab33de6637b07aefd7c54f8b6c5fa99673fcfe2b1,47d598de6b0a320f312b993f34fa4ebfb28ecd69bb4f8ba6a394191b16bb7139,9ed1874981c99a552b12d64b2d293707c2769256b089206496abd0111a049d7e
"0","92407120","500000000","92407110","92407","90","1","1","924073101","924072101","924071100","1"
"92407110","92407130","1000000000","92407120","92407","90","2","2","924073102","924072102","924071200","1"
"92407120","92407140","1500000000","92407130","92407","90","3","3","924073103","924072103","924071300","1"
"92407130","0","0","92407140","92407","90","4","3","924073104","924072104","924071400","1"
"0","92407220","500000000","92407210","92407","90","1","1","924073201","924072201","924072100","1"
"92407210","92407230","1000000000","92407220","92407","90","2","2","924073202","924072202","924072200","1"
"92407220","92407240","1500000000","92407230","92407","90","3","3","924073203","924072203","924072300","1"
"92407230","0","0","92407240","92407","90","4","3","924073204","924072204","924072400","1"
"0","92407320","500000000","92407310","92407","90","1","1","924073301","924072301","924073100","1"
"92407310","92407330","1000000000","92407320","92407","90","2","2","924073302","924072302","924073200","1"
"92407320","92407340","1500000000","92407330","92407","90","3","3","924073303","924072303","924073300","1"
"92407330","0","0","92407340","92407","90","4","3","924073304","924072304","924073400","1"
"0","92408120","500000000","92408110","92408","90","1","1","924083101","924082101","924081100","1"
"92408110","92408130","1000000000","92408120","92408","90","2","2","924083102","924082102","924081200","1"
"92408120","92408140","1500000000","92408130","92408","90","3","3","924083103","924082103","924081300","1"
"92408130","0","0","92408140","92408","90","4","3","924083104","924082104","924081400","1"
"0","92408220","500000000","92408210","92408","90","1","1","924083201","924082201","924082100","1"
"92408210","92408230","1000000000","92408220","92408","90","2","2","924083202","924082202","924082200","1"
"92408220","92408240","1500000000","92408230","92408","90","3","3","924083203","924082203","924082300","1"
"92408230","0","0","92408240","92408","90","4","3","924083204","924082204","924082400","1"
"0","92408320","500000000","92408310","92408","90","1","1","924083301","924082301","924083100","1"
"92408310","92408330","1000000000","92408320","92408","90","2","2","924083302","924082302","924083200","1"
"92408320","92408340","1500000000","92408330","92408","90","3","3","924083303","924082303","924083300","1"
"92408330","0","0","92408340","92408","90","4","3","924083304","924082304","924083400","1"
