56c4139de7a97759a3477f5be2782cfc3a3a1e1e4bdbb8ea2de4f5fa21ae4642,88fbb16998c55268848c682963b21b1d18e152599ed347464835d2631f76b127,67586ee569db52e3b090003cc50977ad82c07d4b8d97a53822bd1070a02f3700,e3ccef517f773cbf4bc637f3f60caf25e43d4b25e4725c9be94837976ea5ef42,12324282fbd18d3a240d2f1b6de801156b3de707db12b49ac3860c3dce51e8a3,23ac6864bfb2fe8e0d698063543d235db43693ee969cc361d80ed57a6216be99,aad65f4be78821b9460a461e6dbd0d1b86c73a0bb1a85972e095db97de1f1205,bbef607e90692a46bad35371177c5926baf50e158199a037ebf30a995d6c0d25,0760e21eb72c68df1b7f8a5dc75078da942563e4189ec50d9a586db893ec0104,68be5281c6d22311a115dff1c298292bb71ab00e8426a24960142279ad7f0139,dc0296e69164910d4c2506d34b889f81075041aad227d9ea1bdf36661f305315
"0","2.2","talk_sad","12001","1","52","-250","5","12","30","1"
"0","0","","12002","1","1","0","6","12","1","1"
"0","1","black","12003","0","29","0","5","12","50","0"
"0","0","","12004","1","1","0","6","12","1","0"
"","","","12005","","","","91","12","","0"
"0","0.2","","12006","1","1","1","6","12","1","1"
"0","0.2","","12007","1","1","1","6","12","1","0"
"","","","12008","-20","-250","2","2","12","0.3","1"
"","","","12009","0","0","2","2","12","0.3","0"
"","","","12010","0","","","93","12","","0.6"
"","","","12011","vo_asb_0121","0","","21","12","0","vo_asb"
"0","0","0","12012","思えば手土産すらも、\n持参できず仕舞いでした……","10","1","11","12","1","1"
"","","","12013","","0","","91","12","0","0"
"","0.2","","12014","guts2_talk_shy","1","","3","12","","1"
"","","","12015","vo_asb_0122","0","","21","12","0","vo_asb"
"0","0","0","12016","次に伺う時は必ず……！","10","1","11","12","1","1"
"","","","12017","","0","","91","12","0","0"
"","0.2","","12018","sad_talk_surprise","1","","3","12","","1"
"","","","12019","vo_asb_0123","0","","21","12","0","vo_asb"
"0","0","0","12020","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","10","1","11","12","1","1"
"","","","12021","","0","","91","12","0","0"
"","0.3","","12022","surprise_talk_dere","1","","3","12","","1"
"","","","12023","vo_asb_0124","0","","21","12","0","vo_asb"
"0","0","0","12024","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","10","1","11","12","1","1"
"","","","12025","","0","","91","12","0","0"
"0","0.4","","12026","sad_talk_riri_in","0","1","3","12","sad_idle_red_riri","1"
"","","","12027","vo_asb_0125","0","","21","12","0","vo_asb"
"0","0","0","12028","……一緒に……手土産を……\n……ぽっ。","10","1","11","12","1","1"
"","","","12029","","0","","91","12","0","0"
"","","","12030","","","","101","12","","12031"
"0","0.3","","12031","1","1","0","6","12","1","1"
"0","0.3","","12032","1","1","0","6","12","1","0"
"","","","12033","-120","-250","1","2","12","0.3","1"
"","","","12034","-100","0","1","2","12","0.3","0"
"","","","12035","0","","","22","12","","0"
"","","","12036","0","","","93","12","","0.4"
"0","2.2","riri_idle_look_shy","13001","1","17","-230","5","13","20","1"
"0","2.2","clear_idle_look_shy","13002","2","19","-255","5","13","-140","2"
"1","2.2","idle_look_precia","13003","3","18","-245","5","13","270","3"
"0","0","","13004","1","1","0","6","13","1","1"
"0","0","","13005","1","1","0","6","13","1","2"
"0","0","","13006","1","1","0","6","13","1","3"
"","0","","13007","100","0","1","31","13","0","1"
"","","","13008","0","","","35","13","","100"
"0","1","black","13009","0","16","0","5","13","50","0"
"0","0","","13010","1","1","0","6","13","1","0"
"","","","13011","","","","91","13","","0"
"","","","13012","0","","","93","13","","0.1"
"0","0.2","","13013","1","1","1","6","13","1","1"
"0","0.2","","13014","1","1","1","6","13","1","2"
"0","0.2","","13015","1","1","1","6","13","1","3"
"0","0.2","","13016","1","1","1","6","13","1","0"
"","","","13017","-30","-230","2","2","13","0.3","1"
"","","","13018","-190","-255","2","2","13","0.3","2"
"","","","13019","220","-245","2","2","13","0.3","3"
"","","","13020","0","0","2","2","13","0.3","0"
"","","","13021","1","","","32","13","","100"
