1d935db76a653cba31adfa83bb0fb5abeab43e7e9b2ad4d8d40e5ecf59fc0914,576ef22ea6cc2514a344dcde4bd54558dab5fbabde1a2c4d7045a4148c78edab,b055911d675896813c89c5ae5e5e31b990e8869c17355d3bec281d931b1c1eec,adba08c9c6dbe35f80a3e5ab798c613a4b570c1670dd716f8253c569ed8dce77,63e040afb638c8515740cb287ac2e66c9db03b8a8aa379bee32a982257b23347,c03b808afc21889f5320c49d80b5109d216f95307af9756485f1e1cac2d4588a,355be321c33944b55ea4e7729ba69497fde83f640020ee5c359ad0d763a0bef7,e9351c0b83597ff806f264202c255faf815ebaefb6ed9312b562033acc0106f1,de0cfe2c3c8262c4d8f09902b4a7fa949edd74ffb49db0bafb062593b17842ca,a14824a14581c5ffb0f81ee8d6214fa3a5324b14b328f16fd87f15db56526863,214af5b353670e5026b54f2b12cf3d911dd58f2885643ae50bd474b0d98a865c
"1","250","110","0","1","1","8","オムレツ","1010100","0","10101"
"1","222","110","0","1","1","9","オムレツ","1010101","0","10101"
"1","200","110","0","1","1","10","オムレツ","1010102","0","10101"
"1","400","110","0","2","1","9","オムレツ","1010200","0","10102"
"1","367","110","0","2","1","10","オムレツ","1010201","0","10102"
"1","338","110","0","2","1","11","オムレツ","1010202","0","10102"
"1","640","110","0","3","1","10","オムレツ","1010300","0","10103"
"1","597","110","0","3","1","11","オムレツ","1010301","0","10103"
"1","560","110","0","3","1","12","オムレツ","1010302","0","10103"
"2","275","115","0","1","1","9","ギョーザ","1020100","0","10201"
"2","248","115","0","1","1","10","ギョーザ","1020101","0","10201"
"2","225","115","0","1","1","11","ギョーザ","1020102","0","10201"
"2","440","115","0","2","1","10","ギョーザ","1020200","0","10202"
"2","406","115","0","2","1","11","ギョーザ","1020201","0","10202"
"2","377","115","0","2","1","12","ギョーザ","1020202","0","10202"
"2","704","115","0","3","1","11","ギョーザ","1020300","0","10203"
"2","660","115","0","3","1","12","ギョーザ","1020301","0","10203"
"2","621","115","0","3","1","13","ギョーザ","1020302","0","10203"
"3","200","100","0","1","1","8","タコヤキ","1030100","0","10301"
"3","175","100","0","1","1","9","タコヤキ","1030101","0","10301"
"3","156","100","0","1","1","10","タコヤキ","1030102","0","10301"
"3","320","100","0","2","1","9","タコヤキ","1030200","0","10302"
"3","291","100","0","2","1","10","タコヤキ","1030201","0","10302"
"3","267","100","0","2","1","11","タコヤキ","1030202","0","10302"
"3","512","100","0","3","1","10","タコヤキ","1030300","0","10303"
"3","475","100","0","3","1","11","タコヤキ","1030301","0","10303"
"3","444","100","0","3","1","12","タコヤキ","1030302","0","10303"
"4","225","115","0","1","1","9","オニギリ","1040100","0","10401"
"4","200","115","0","1","1","10","オニギリ","1040101","0","10401"
"4","180","115","0","1","1","11","オニギリ","1040102","0","10401"
"4","360","115","0","2","1","10","オニギリ","1040200","0","10402"
"4","330","115","0","2","1","11","オニギリ","1040201","0","10402"
"4","305","115","0","2","1","12","オニギリ","1040202","0","10402"
"4","576","115","0","3","1","11","オニギリ","1040300","0","10403"
"4","538","115","0","3","1","12","オニギリ","1040301","0","10403"
"4","504","115","0","3","1","13","オニギリ","1040302","0","10403"
"5","300","150","0","1","1","10","ケバブ","1050100","0","10501"
"5","273","150","0","1","1","11","ケバブ","1050101","0","10501"
"5","250","150","0","1","1","12","ケバブ","1050102","0","10501"
"5","480","150","0","2","1","11","ケバブ","1050200","0","10502"
"5","446","150","0","2","1","12","ケバブ","1050201","0","10502"
"5","416","150","0","2","1","13","ケバブ","1050202","0","10502"
"5","768","150","0","3","1","12","ケバブ","1050300","0","10503"
"5","723","150","0","3","1","13","ケバブ","1050301","0","10503"
"5","683","150","0","3","1","14","ケバブ","1050302","0","10503"
"1","160","60","0","1","2","0","タイヤ（特大）","2010100","0","20101"
"1","256","60","0","2","2","0","タイヤ（特大）","2010200","0","20102"
"1","410","60","0","3","2","0","タイヤ（特大）","2010300","0","20103"
"2","145","45","0","1","2","0","タイヤ（大）","2020100","0","20201"
"2","232","45","0","2","2","0","タイヤ（大）","2020200","0","20202"
