62036ac1e0ac1b53d81adc3942c1f9444403cdf20abf35c86dc872e93d808bbc,7ddb9fbf01fc634482fd473adade76242d1f874b6418805b219957ce8c7efd05,d728d63660d0fe63d1b8b8967d305f7a5d4511ad757db911bcc9c839998b308f,f0560196a60f9b8888e15f5510eb3b01efe0a83d50faed48fb36328caedc67e8,a45aac1ed547972d8f88a0c43602faea0eebeca6cf60380cbbdf9e2179c29b39,140f9c2166e634b679d458002e38042655dd29b14950af5c381b430cc02d32f9,f7c807a5a0180a1bced9424558ba55c114db2f1eb2028f186276718055a03547,dd63649d397c7ab710dd0dc46d657e8922b6e732e585f398641214a96f4bd78d,84261072d8618fa3790f9e8074cd5e0d327a497bb94621265dc941c8386b2f3f,89e2c16941dd91758da3c51decf65d7f9b2615f02b774b12c560f1f76c9018a7
"1","10000","12000","30000","0","1","90001","10","90043","0"
"2","10000","24000","30000","0","2","90002","20","90047","0"
"3","10000","24000","30000","0","3","90002","20","90047","0"
"4","10000","24000","30000","0","4","90002","20","90047","0"
"5","10000","24000","30000","0","5","90002","20","90047","0"
"6","10000","24000","30000","0","6","90002","20","90047","0"
"7","10000","24000","30000","0","7","90002","20","90047","0"
"8","10000","24000","30000","0","8","90002","20","90047","0"
"9","10000","24000","30000","0","9","90002","20","90047","0"
"10","10000","24000","30000","0","10","90002","20","90047","1"
"11","10000","48000","30000","90011","11","90003","40","90051","2"
"12","10000","48000","30000","90011","12","90003","40","90051","3"
"13","10000","48000","30000","90011","13","90003","40","90051","4"
"14","10000","48000","30000","90011","14","90003","40","90051","5"
"15","10000","48000","30000","90011","15","90003","40","90051","6"
"16","10000","48000","30000","90011","16","90003","40","90051","7"
"17","10000","48000","30000","90011","17","90003","40","90051","8"
"18","10000","48000","30000","90011","18","90003","40","90051","9"
"19","10000","48000","30000","90011","19","90003","40","90051","10"
"20","10000","48000","30000","90011","20","90003","40","90051","11"
"21","10000","72000","30000","90015","21","90004","60","90055","12"
"22","10000","72000","30000","90015","22","90004","60","90055","13"
"23","10000","72000","30000","90015","23","90004","60","90055","14"
"24","10000","72000","30000","90015","24","90004","60","90055","15"
"25","10000","72000","30000","90015","25","90004","60","90055","16"
"26","10000","72000","30000","90015","26","90004","60","90055","17"
"27","10000","72000","30000","90015","27","90004","60","90055","18"
"28","10000","72000","30000","90015","28","90004","60","90055","19"
"29","10000","72000","30000","90015","29","90004","60","90055","20"
"30","10000","72000","30000","90015","30","90004","60","90055","21"
"31","10000","96000","30000","90015","31","90005","80","90059","22"
"32","10000","96000","30000","90015","32","90005","80","90059","23"
"33","10000","96000","30000","90015","33","90005","80","90059","24"
"34","10000","96000","30000","90015","34","90005","80","90059","25"
"35","10000","96000","30000","90015","35","90005","80","90059","26"
"36","10000","96000","30000","90015","36","90005","80","90059","27"
"37","10000","96000","30000","90015","37","90005","80","90059","28"
"38","10000","96000","30000","90015","38","90005","80","90059","29"
"39","10000","96000","30000","90015","39","90005","80","90059","30"
"40","10000","96000","30000","90015","40","90005","80","90059","31"
"41","10000","144000","30000","90017","41","90005","120","90063","33"
"42","10000","144000","30000","90017","42","90005","120","90063","35"
"43","10000","144000","30000","90017","43","90005","120","90063","37"
"44","10000","144000","30000","90017","44","90005","120","90063","39"
"45","10000","144000","30000","90017","45","90005","120","90063","41"
"46","10000","144000","30000","90017","46","90005","120","90063","43"
"47","10000","144000","30000","90017","47","90005","120","90063","45"
"48","10000","144000","30000","90017","48","90005","120","90063","47"
"49","10000","144000","30000","90017","49","90005","120","90063","49"
"50","10000","144000","30000","90017","50","90005","120","90063","51"
"51","10000","180000","30000","90019","51","90006","150","90067","53"
"52","10000","180000","30000","90019","52","90006","150","90067","55"
"53","10000","180000","30000","90019","53","90006","150","90067","57"
"54","10000","180000","30000","90019","54","90006","150","90067","59"
"55","10000","180000","30000","90019","55","90006","150","90067","61"
"56","10000","180000","30000","90019","56","90006","150","90067","63"
"57","10000","180000","30000","90019","57","90006","150","90067","65"
"58","10000","180000","30000","90019","58","90006","150","90067","67"
"59","10000","180000","30000","90019","59","90006","150","90067","69"
"60","10000","180000","30000","90019","60","90006","150","90067","71"
"61","10000","216000","30000","90021","61","90007","180","90071","74"
"62","10000","216000","30000","90021","62","90007","180","90071","77"
"63","10000","216000","30000","90021","63","90007","180","90071","80"
"64","10000","216000","30000","90021","64","90007","180","90071","83"
"65","10000","216000","30000","90021","65","90007","180","90071","86"
"66","10000","216000","30000","90021","66","90007","180","90071","89"
"67","10000","216000","30000","90021","67","90007","180","90071","92"
"68","10000","216000","30000","90021","68","90007","180","90071","95"
"69","10000","216000","30000","90021","69","90007","180","90071","98"
"70","10000","216000","30000","90021","70","90007","180","90071","101"
