3c34adab386cb3fb49a46d34b22732983501502416d436ec652d17197573eea9,354536b24a204b723a5d664d658feb2e639278e80023be45ed4b875491f8e06b,40f40400dd432ab43d4960b0bad3da5dd445a224f230bc85384b93a7ed44114d,474cd0bdef7e39100d3f86b5fe841e1f36ab9a95934716b686cefd1ece6b178b,72c13f0a6b1ae0012c341922d7de462633a580cd0f16626bde0c1753e4453d01,2632f0b0b12bb15c559d4b94ef262d7dea599d5a33389efefdd47fc13f4ae549,308039ea8a9ac0ceae8ccd9a2943dce5ec72d646cbae2d709dca49998627253f,d3820fa5ad47edd29d130ec434cba7ad9c2c5489b16d1b75b7f0cdad88bd00c8
"21952","1","2","20000","1","1","1","96001"
"21904","1","2","10000","2","1","1","96001"
"41000","1","2","10000","3","1","1","96001"
"31803","5","2","2000","4","5","1","96001"
"31215","5","2","1500","5","5","1","96001"
"31210","5","2","1500","6","5","1","96001"
"31211","5","2","1500","7","5","1","96001"
"90005","10","2","1250","8","5","1","96001"
"140001","20","4","500","9","10","1","96001"
"25001","10","2","500","10","5","1","96001"
"150003","5","4","100","11","5","1","96001"
"150004","5","4","130","12","5","1","96001"
"150005","5","4","150","13","5","1","96001"
"150006","5","4","180","14","5","1","96001"
"150007","5","4","200","15","5","1","96001"
"150008","5","4","230","16","5","1","96001"
"20004","5","2","500","17","100","1","96001"
"22003","5","2","200","18","100","1","96001"
"20004","0","2","1000","19","100","1","96001"
"22003","0","2","400","20","100","1","96001"
"21952","1","2","20000","21","1","2","96002"
"21904","1","2","10000","22","1","2","96002"
"41000","1","2","10000","23","1","2","96002"
"31233","5","2","1500","24","5","2","96002"
"31229","5","2","1500","25","5","2","96002"
"31225","5","2","1500","26","5","2","96002"
"90005","10","2","1250","27","5","2","96002"
"140001","20","4","500","28","10","2","96002"
"25001","10","2","500","29","5","2","96002"
"150003","5","4","100","30","5","2","96002"
"150004","5","4","130","31","5","2","96002"
"150005","5","4","150","32","5","2","96002"
"150006","5","4","180","33","5","2","96002"
"150007","5","4","200","34","5","2","96002"
"150008","5","4","230","35","5","2","96002"
"20004","5","2","500","36","100","2","96002"
"22003","5","2","200","37","100","2","96002"
"20004","0","2","1000","38","100","2","96002"
"22003","0","2","400","39","100","2","96002"
"21952","1","2","20000","40","1","3","96003"
"21905","1","2","10000","41","1","3","96003"
"41000","1","2","10000","42","1","3","96003"
"31805","5","2","2000","43","5","3","96003"
"31240","5","2","1500","44","5","3","96003"
"31238","5","2","1500","45","5","3","96003"
"31236","5","2","1500","46","5","3","96003"
"90005","5","2","2500","47","10","3","96003"
"140001","5","4","2500","48","50","3","96003"
"25001","5","2","500","49","5","3","96003"
"150003","5","4","500","50","30","3","96003"
"150004","5","4","650","51","30","3","96003"
"150005","5","4","750","52","30","3","96003"
"150006","5","4","900","53","30","3","96003"
"150007","5","4","1000","54","30","3","96003"
"150008","5","4","1150","55","30","3","96003"
"20004","5","2","2500","56","500","3","96003"
"22003","5","2","1000","57","500","3","96003"
"20004","0","2","1000","58","100","3","96003"
"22003","0","2","400","59","100","3","96003"
"21952","1","2","20000","60","1","4","96004"
"21905","1","2","10000","61","1","4","96004"
"41000","2","2","10000","62","1","4","96004"
"31807","5","2","2000","63","5","4","96004"
"31245","5","2","1500","64","5","4","96004"
"31248","5","2","1500","65","5","4","96004"
"31250","5","2","1500","66","5","4","96004"
"31091","5","2","1500","67","5","4","96004"
"90005","5","2","2500","68","10","4","96004"
"140001","10","4","2500","69","50","4","96004"
"25001","10","2","1000","70","10","4","96004"
"150003","5","4","500","71","30","4","96004"
"150004","5","4","650","72","30","4","96004"
"150005","5","4","750","73","30","4","96004"
"150006","5","4","900","74","30","4","96004"
"150007","5","4","1000","75","30","4","96004"
"150008","5","4","1150","76","30","4","96004"
"150009","5","4","1300","77","30","4","96004"
"20004","5","2","2500","78","500","4","96004"
"22003","5","2","1000","79","500","4","96004"
"20004","0","2","1000","80","100","4","96004"
"22003","0","2","400","81","100","4","96004"
"25101","1","2","20000","82","1","5","96005"
"21952","1","2","20000","83","1","5","96005"
"21905","1","2","10000","84","1","5","96005"
"41000","2","2","10000","85","1","5","96005"
"31200","5","2","1500","86","5","5","96005"
"31253","5","2","1500","87","5","5","96005"
"31255","5","2","1500","88","5","5","96005"
"31256","5","2","1500","89","5","5","96005"
"90005","5","2","2500","90","10","5","96005"
"140001","10","4","2500","91","50","5","96005"
"25001","10","2","1000","92","10","5","96005"
"150003","5","4","500","93","30","5","96005"
"150004","5","4","650","94","30","5","96005"
"150005","5","4","750","95","30","5","96005"
"150006","5","4","900","96","30","5","96005"
"150007","5","4","1000","97","30","5","96005"
"150008","5","4","1150","98","30","5","96005"
"150009","5","4","1300","99","30","5","96005"
"20004","5","2","2500","100","500","5","96005"
"22003","5","2","1000","101","500","5","96005"
"20004","0","2","1000","102","100","5","96005"
"22003","0","2","400","103","100","5","96005"
"25101","1","2","20000","104","1","6","96006"
"21952","1","2","20000","105","1","6","96006"
"21905","1","2","10000","106","1","6","96006"
"41000","2","2","10000","107","1","6","96006"
"31262","5","2","1500","108","5","6","96006"
"31266","5","2","1500","109","5","6","96006"
"31269","5","2","1500","110","5","6","96006"
"31271","5","2","1500","111","5","6","96006"
