b37790ad64afacb25eb16c80a745385806745e119f0d3b7766051d1b8a58316f,9f7debd3b3c02981f42e9456e8c1e5924e87e9987dae1d3db7ea89d84bcce6a0,97edbfdf237e604525bc33f9cc7515c457c189e8b8ea505b88c86fc44efbb681,40dad4f73a40e484958688aa091eeaa4ee979b71855f87857633657d3733f195,2c686aa754dcf95304e6096ad0be4792302545206ca01242d1050cbf9b28837c,fb978cace449fd5f19fb6421eb73578444954f6d286199cb2a4337055e1e2914,c7b40b0bc5cda72c6b326237a1ac9866e93128d9066e07d1cb73631af2747a15,c10efa16088211963fa7b023e80f83da1e9ab44ac4e2834060cfed19fa5b1291,e50167bcf74dac32ce16a8b874fac21d57921eb34d0cd933ea5896dfe9cf134a,db3a8ade2e624289b7b7f5dd2215cd242c621241d216c496807b9f562de7e2fc
"15","10001","2","2","","22","3","8","-1","53003"
"1","10002","1","1","","22","3","5","14","53003"
"0","10003","0","0","ワカナの施し","23","3","2","0","52019"
"15","10004","2","2","","22","4","8","-1","53003"
"1","10005","1","1","","22","4","5","14","53003"
"0","10006","0","0","ワカナの施し","23","4","2","0","52019"
"15","10007","2","2","","22","5","8","-1","53003"
"1","10008","1","1","","22","5","5","14","53003"
"0","10009","0","0","ワカナの施し","23","5","2","0","52019"
"15","10010","2","2","","22","6","8","-1","53003"
"1","10011","1","1","","22","6","5","14","53003"
"0","10012","0","0","ワカナの施し","23","6","2","0","52019"
"15","10013","2","2","","22","7","8","-1","53003"
"1","10014","1","1","","22","7","5","14","53003"
"0","10015","0","0","ワカナの施し","23","7","2","0","52019"
