6561d4eb4ca3be299c1f1fe808563cc7f288c34ad29f4ff4150f6808027e17ea,f3593d869d042c1e0f485f2cd623e4268ab84d4449d5fc590346d1a80af714f0,5aa3d4af057347fcf37db2aea679ff9211f5bba82e6bf2e49f6ac9698c016127,14e43a0229688076b34b24d8852d736ed4a4556d813aff6139ad46730074978e,c176b1039ec896ebdb214f3e6dedefae700a2088bc81127d27bd9e77805dfc52,2724b8e51d271c80078f6ccf1ac4d35172c80caa6e605402c24e879d668bbd8f,c6071c15374b358fc501ce967482b7116d99d4c102b690514c3211067bde0fbc
"2","1","105","3","105","105","1"
"2","2","120","3","120","105","1"
"2","3","100","3","120","100","1"
"2","4","120","3","120","105","1"
"2","5","105","3","120","105","1"
"2","6","100","3","105","100","1"
"2","7","100","3","105","120","1"
"2","8","100","3","105","100","1"
"2","9","120","3","120","105","1"
"2","10","100","3","105","120","1"
"2","11","105","3","100","100","1"
"2","12","120","3","120","105","1"
"2","13","105","3","105","105","1"
"2","14","120","3","105","105","1"
"2","15","120","3","120","120","1"
"2","16","100","3","100","100","1"
"2","17","105","3","120","120","1"
"2","18","120","3","105","120","1"
"2","19","105","3","100","105","1"
"2","20","105","3","105","100","1"
"2","21","105","3","100","100","1"
"2","22","120","3","120","120","1"
"2","23","100","3","100","105","1"
"2","24","120","3","120","120","1"
"2","25","105","3","120","105","1"
"2","26","100","3","100","100","1"
"2","27","100","3","100","100","1"
"2","28","100","3","100","100","1"
"2","29","120","3","120","120","1"
"2","30","120","3","105","105","1"
