b36a5367badccf56892e123bb58c48d40e34b37529102ff929441fe85a3009b0,cd98d0422bdd23054cd95adecc591a4480921868bd605ee53ad7a9f9c2b8a016,b19838333d6906e7f3c38730433dfa4a6adeafab409dc0564214686aafb564d4,17deefb53479963c1d6d9ef630c488832dded0c7c1acc2e23ac99582a5b560fd,282e673d994a544eb44c3200cf6b022ea92b0a18f3f98cdaccbbe84511504d82,ae1c7849e2aa8779e24296e424689ca17b9c2ca6b0831567f2d05807ed238547,b6c953cfe034e37f887cae38375fe309e4f23542e7ed9df4b5e7987497d74407,1a9c94972cb9e2509510df658cc4da426ab5140a1c35750f9260db449ef0a6c0,9843ef2ecf11b648db2ee057f291b21f3d5f852d28cbd909fe15b9e255a89dd2
"1001","プリンセスナイトRANK5を達成しよう","5","1","1002","129","0","1001","20021"
"1002","プリンセスナイトRANK10を達成しよう","10","1","1002","129","0","1002","20021"
"1003","プリンセスナイトRANK30を達成しよう","30","1","1002","129","0","1003","20021"
"1004","プリンセスナイトRANK50を達成しよう","50","1","1002","129","0","1004","20021"
"1005","プリンセスナイトRANK100を達成しよう","100","1","1002","129","0","1005","20021"
"1006","プリンセスナイトRANK150を達成しよう","150","1","1002","129","0","1006","20021"
"1007","プリンセスナイトRANK200を達成しよう","200","1","1002","129","0","1007","20021"
"1008","プリンセスナイトRANK250を達成しよう","250","1","1002","129","0","1007","20021"
"1009","プリンセスナイトRANK300を達成しよう","300","1","1002","129","0","1007","20021"
"1010","プリンセスナイトRANK450を達成しよう","450","1","1002","129","0","1007","20021"
"2001","火属性の属性レベルを50まで上げよう","50","2","1003","129","1","2001","20022"
"2002","火属性の属性レベルを100まで上げよう","100","2","1003","129","1","2002","20022"
"2003","火属性の属性レベルを150まで上げよう","150","2","1003","129","1","2003","20022"
"2004","火属性の属性レベルを200まで上げよう","200","2","1003","129","1","2004","20022"
"2005","火属性の属性レベルを250まで上げよう","250","2","1003","129","1","2005","20022"
"2006","火属性の属性レベルを300まで上げよう","300","2","1003","129","1","2006","20022"
"2007","火属性の属性レベルを350まで上げよう","350","2","1003","129","1","2007","20022"
"2008","火属性の属性レベルを400まで上げよう","400","2","1003","129","1","2008","20022"
"2009","火属性の属性レベルを450まで上げよう","450","2","1003","129","1","2009","20022"
"2010","火属性の属性レベルを500まで上げよう","500","2","1003","129","1","2010","20022"
"2011","火属性の属性レベルを550まで上げよう","550","2","1003","129","1","2011","20022"
"2012","火属性の属性レベルを600まで上げよう","600","2","1003","129","1","2012","20022"
"2013","火属性の属性レベルを650まで上げよう","650","2","1003","129","1","2013","20022"
"2014","火属性の属性レベルを700まで上げよう","700","2","1003","129","1","2014","20022"
"2015","火属性の属性レベルを750まで上げよう","750","2","1003","129","1","2015","20022"
"3001","水属性の属性レベルを50まで上げよう","50","3","1003","129","2","2001","20022"
"3002","水属性の属性レベルを100まで上げよう","100","3","1003","129","2","2002","20022"
"3003","水属性の属性レベルを150まで上げよう","150","3","1003","129","2","2003","20022"
"3004","水属性の属性レベルを200まで上げよう","200","3","1003","129","2","2004","20022"
"3005","水属性の属性レベルを250まで上げよう","250","3","1003","129","2","2005","20022"
"3006","水属性の属性レベルを300まで上げよう","300","3","1003","129","2","2006","20022"
"3007","水属性の属性レベルを350まで上げよう","350","3","1003","129","2","2007","20022"
"3008","水属性の属性レベルを400まで上げよう","400","3","1003","129","2","2008","20022"
"3009","水属性の属性レベルを450まで上げよう","450","3","1003","129","2","2009","20022"
"3010","水属性の属性レベルを500まで上げよう","500","3","1003","129","2","2010","20022"
"3011","水属性の属性レベルを550まで上げよう","550","3","1003","129","2","2006","20022"
"3012","水属性の属性レベルを600まで上げよう","600","3","1003","129","2","2007","20022"
"3013","水属性の属性レベルを650まで上げよう","650","3","1003","129","2","2008","20022"
