e8d15b87db42a0c23f8c42b406837b191102ae6444b0375c1e1c645ce58ac3f2,36b653da8b0163209b797b941df947a7c780bf8f98b4653a65222837040bc859,8f7e0294574e091aea555737e7a4afe5953d194d1cd3720c652e00de6722c521,7b8001a1d149520629c1cc53ae262d6d0b0ce02b736d9d446b2933c70b532ad2,f4f347d38d0750161156fcd197ed1969f5083cbea955d3089b1c191b30921d44
"135","1","1","300","1"
"425","1","1","-100","2"
"-100","2","1","125","3"
"375","2","1","-415","4"
"25","3","1","-50","5"
"-25","3","1","-300","6"
"-195","4","1","-335","7"
"105","4","1","-415","8"
"135","5","1","-160","9"
"345","6","1","-40","10"
"-230","7","1","90","11"
"230","8","1","-420","12"
"30","9","1","250","13"
"280","10","1","-245","14"
"-150","11","1","-110","15"
