9ff1f0b68ff38e90f819e2145c013ba437745af4fce8af7e022848fecd29a92a,dfe024087ee660fae95dcb1b3ec0312c59b32f49e119de52cac4cf70f1677bf7,80aadef491abe47a1843fda437480f4bf612408f29d2002cf66c786221df258b,2de00588cfcaeda5fbb3310f51f08826421b0c11cfdedd90efe9bce3aea37bc4,3651a02a2dc18a0d9b1109328d4e800da2c9d9be0cb87513e9017b9890e53152,2e7225e31142028de343ac42d9b74b63ee47c9c6e50e46a121430c6ef1fab59d,cb00c3e784732540649d8cc4e6354e7d498bb23830ca807a89a2b8f8d6444591,f4bbb2f66983ceed08c798224f40679873c365e0d9693a4826eea19ae1711b42,6caae6fafb1f9d3477b79ca0a3be53ec9dd04e2891385ecfd6fe7d196dbf8008,c32405b0830ffd7beaf3b084c8f658a6b90027a178b9006e858abb13c77bc444,e67f197ee07d8db27f1bf184c7d36d38edbaa0922bbc1d371024d3969dd0b1d9,99690117e2060c65f459353818acb919c64f505f42a730a1436671d569fce899,de5af770620e994ba25fa10eca18427785debe306613b000df59fb6ba301a0ed,39dc4c0ad5f0eecd6184fc9f9c890fc3067fb70ace02039e58cb9c21706b9486,4f20ae872ba0cda942fb2aacf711b041d50a7017eaa38c7de3670a9b89f6d267,e426bb0ca62ce7c851b0858e9153dd64001c179c081c7acb69ffe036330ef60a
"215","401","980","3","301","501","70","2","-110","2","1008201","1","201","1","455","101"
"215","402","515","3","302","502","70","2","-110","2","1008202","2","202","1","230","102"
"215","403","515","3","303","503","70","2","-110","1","1008203","3","203","1","230","103"
"215","404","515","3","304","504","70","2","-110","1","1008204","4","204","1","230","104"
"233","405","787","3","305","505","78","2","-110","2","1008205","5","205","1","355","105"
"233","406","787","3","306","506","78","2","-110","3","1008206","6","206","1","355","106"
"233","407","777","3","307","507","88","2","-110","3","1008207","7","207","1","345","107"
"233","408","777","3","308","508","88","2","-110","1","1008208","8","208","1","345","108"
"233","409","777","3","309","509","88","2","-110","1","1008209","9","209","1","345","109"
"233","410","810","3","310","510","88","2","-110","3","1008210","10","210","1","355","110"
"233","411","777","3","311","511","88","2","-110","2","1008211","11","211","1","345","111"
"215","412","515","3","312","512","70","2","-110","2","1008212","12","212","1","230","112"
"233","413","810","3","313","513","78","2","-110","1","1008213","13","213","1","355","113"
"215","414","515","3","314","514","70","2","-110","1","1008214","14","214","1","230","114"
"215","415","515","3","315","515","70","2","-110","3","1008215","15","215","1","230","115"
"215","416","655","3","316","516","70","2","-110","2","1008216","16","216","1","275","116"
"215","417","515","3","317","517","70","2","-110","3","1008217","17","217","1","230","117"
"233","418","777","3","318","518","88","2","-110","3","1008218","18","218","1","345","118"
