0dd795434764443592b12c6938c4ea72d880c3ffda5d449b7443f9bd03679821,b67f6f8ffa1f0b13d062ec0d34610481974596430eca112038c2e3a853ab4ef7,83e84278c886a870e152086a3b9242f422694e029dd6c4cf232040a92ae5cd5b,a70e9576e34bbf0e4e8f597bfb54ebb18f57810a32914aa825c56d970d228512,4d12c813b62c3a8dc3b7ea791bda6e8846032eb0ad3e500b8a7c0dc19a14e347
"26999","0","1","1","ひよっこ"
"26999","0","1","2","未熟者"
"26999","0","1","3","稚魚"
"26999","0","3","4","ビギナーランナー"
"26999","0","1","5","赤ちゃん"
"26999","0","1","6","ベイビー"
"26999","0","1","7","小物"
"26999","0","1","8","へっぽこ"
"26999","0","1","9","素人"
"33999","27000","1","10","小魚"
"33999","27000","1","11","初心者"
"33999","27000","3","12","エンジョイランナー"
"33999","27000","1","13","若輩者"
"33999","27000","1","14","ルーキー"
"33999","27000","1","15","ガール"
"33999","27000","1","16","注目株"
"33999","27000","1","17","原石"
"33999","27000","2","18","ニューホープ"
"50399","34000","1","19","探究者"
"50399","34000","1","20","暴れん坊"
"50399","34000","1","21","申し子"
"50399","34000","1","22","奇才"
"50399","34000","1","23","大物"
"50399","34000","1","24","麒麟児"
"50399","34000","1","25","ホープ"
"50399","34000","1","26","新星"
"50399","34000","1","27","逸材"
"59999","50400","1","28","マーメイド"
"59999","50400","1","29","先輩"
"59999","50400","1","30","中級者"
"59999","50400","3","31","ビーチフラッガー"
"59999","50400","1","32","魚"
"59999","50400","1","33","チーフ"
"59999","50400","1","34","キャプテン"
"59999","50400","1","35","一人前"
"59999","50400","1","36","セミプロ"
"59999","50400","1","37","大型新人"
"69999","60000","1","38","流れ星"
"69999","60000","1","39","先生"
"69999","60000","1","40","ドルフィン"
"69999","60000","1","41","職人"
"69999","60000","1","42","レーサー"
"69999","60000","1","43","トゥンヌス"
"69999","60000","1","44","中の中"
"69999","60000","2","45","ビッグネーム"
"69999","60000","1","46","異才"
"69999","60000","1","47","エリート"
"69999","60000","1","48","仕事人"
"69999","60000","1","49","玄人"
"83999","70000","1","50","オルカ"
"83999","70000","1","51","名人"
"83999","70000","1","52","魔術師"
"83999","70000","1","53","師匠"
"83999","70000","1","54","サブマリン"
"83999","70000","2","55","スプリンター"
"83999","70000","1","56","名手"
"83999","70000","2","57","エースランナー"
"83999","70000","1","58","プロ"
"83999","70000","1","59","看板選手"
"83999","70000","1","60","第一人者"
"83999","70000","1","61","ドン"
"99999","84000","2","62","スピードスター"
"99999","84000","1","63","豪傑"
"99999","84000","1","64","プリンセス"
"99999","84000","1","65","女神"
"99999","84000","1","66","マスター"
"99999","84000","2","67","ナンバーワン"
"99999","84000","1","68","寵児"
"99999","84000","3","69","ワイルドグリフォン"
"99999","84000","1","70","ワイバーン"
"99999","84000","2","71","エキスパート"
"99999","84000","2","72","トップランナー"
"119999","100000","1","73","韋駄天"
"119999","100000","1","74","クイーン"
"119999","100000","2","75","チャンピオン"
"119999","100000","2","76","天才ランナー"
"119999","100000","3","77","レコードホルダー"
"119999","100000","1","78","極致"
"119999","100000","2","79","ネプテリオン"
"119999","100000","2","80","シードレイク"
"119999","100000","1","81","女傑"
"119999","100000","1","82","革命家"
"119999","100000","2","83","ビッグスター"
"999999","120000","2","84","ファンタジスタ"
"999999","120000","2","85","スーパースター"
"999999","120000","3","86","ワールドチャンプ"
"999999","120000","1","87","レジェンド"
"999999","120000","1","88","超人"
"999999","120000","1","89","トルペドン"
"999999","120000","1","90","カルキノス"
"999999","120000","2","91","アクアリオス"
"999999","120000","1","92","至宝"
"999999","120000","3","93","グランドマスター"
"999999","120000","1","94","英雄"
"999999","120000","1","95","天下取り"
