514a5e4393f5b5a4e3011e81e3cdc3d4468e808a465249b266376302b4ffd6ed,14529119c984f8ba75e3649af466fa7a610016e2edbc52f662143a212eae4e0b,c83bd18bbabb7d5f0a5954615134a9bf20c29412d0ae0d6759d1e44604f29c2b,99707dc8c82b5acd31c408fc8e31dd534a409e242850495d2a9c87d072b917ac,cac13c7533d67c6a7b0ece9c0c8b6161a19be0dc966c43e1cc4a776d12706023,8781896d74732dd7dfa533377fc6e8ec454805e27e0cf97e5c7eda2abf6a1d9d,37343f869c0ed8b6a28eb89cb39ce72120aaef762b1c6b0e88789982ba85574b,be3e65bbecd73fbc087e8b638c6365ae48ab877364ebda518c0b7a8ac50755ba,b12e0ea3dfd34ffff9f63cc32cf17ed6fc633ee1c20b5ba4a64e91b804762f10,4c191a4f8b34f568cf04eb6b33b0e5bf1dce04825d065105b368c57fd4494dae,00063297f5991f2e7e7758e2be2983a34b2d3c58df56a782c8774c6de3c11c17
"0","2","-300","2.08","1007001","5","113511","svd_idle_normal","-750","100","1007001001"
"1","1","-300","2.08","1007001","5","113411","svd_idle_normal","750","100","1007001002"
"0","3","0","1","1007001","5","333","svd_white_loop","0","0","1007001003"
"0","333","0","0","1007001","6","1","","1","1","1007001004"
"","113511","","","1007001","7","2","","0","0","1007001005"
"","113511","0","","1007001","2","-750","","0.5","-300","1007001006"
"0","113411","0","0","1007001","6","1","","1","1","1007001007"
"","1","0.8","0","1007001","31","11","","-40","-140","1007001008"
"","11","","","1007001","34","2","","0","0","1007001009"
"","113411","","","1007001","7","6","","0","0","1007001010"
"","113411","0","","1007001","2","750","","0.5","-300","1007001011"
"","4","1","0","1007001","31","14","","-40","-250","1007001012"
"","5","1","0","1007001","31","15","","-40","250","1007001013"
"","1","","","1007001","93","","","","","1007001014"
"0","333","0.4","0.8","1007001","6","1","","1","1","1007001015"
"0","113511","1","0.2","1007001","3","svd_idle_see_pre","","svd_idle_see","0","1007001016"
"","113411","0","","1007001","2","640","","1.1","-300","1007001017"
"","113511","0","","1007001","2","-600","","1.1","-300","1007001018"
"","1","","","1007001","93","","","","","1007001019"
"","11","","","1007001","32","1","","","","1007001020"
"","0","","","1007001","91","","","","","1007001021"
"","113511","80","","1007001","94","240","","0","260","1007001022"
"","11","","","1007001","32","0","","","","1007001023"
"","113511","","0.2","1007001","3","svd_run","","","1","1007001024"
"","113511","","","1007001","7","0","","0","1.2","1007001025"
"","113511","0","","1007001","2","-250","","1.2","-300","1007001026"
"","113411","","0.2","1007001","3","svd_run","","","1","1007001027"
"","113411","","","1007001","7","0","","0","1.2","1007001028"
"","113411","0","","1007001","2","250","","1.2","-300","1007001029"
"0","113411","1","0.2","1007001","6","1","","1","1","1007001030"
"","1.2","","","1007001","93","","","","","1007001031"
"","0","","","1007001","91","","","","","1007001032"
"","113511","","0.2","1007001","3","svd_kime_eriko","","","0","1007001033"
"","113411","","0.2","1007001","3","svd_kime_shizuru","","","0","1007001034"
"","1.4","","","1007001","93","","","","","1007001035"
"","14","","","1007001","32","1","","","","1007001036"
"","15","","","1007001","32","1","","","","1007001037"
"","0.6","","","1007001","93","","","","","1007001038"
"","113411","","0.2","1007001","3","svd_idle_joy1","","","1","1007001039"
"","113511","","0.2","1007001","3","svd_talk_wish","","","1","1007001040"
"","vo_svd","","","1007001","21","vo_svd_0121","","0","0","1007001041"
"0","113511","0","0","1007001","11","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","1","0","6","1007001042"
"","0","","","1007001","91","","","","","1007001043"
"","113511","","0.2","1007001","3","svd_idle_wish","","","1","1007001044"
"","113411","","0.2","1007001","3","svd_talk_joy1","","","1","1007001045"
"","vo_svd","","","1007001","21","vo_svd_0122","","0","0","1007001046"
"0","113411","0","0","1007001","11","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","1","0","8","1007001047"
"","0","","","1007001","91","","","","","1007001048"
