32b2a90be75a90b61c6e8d0756705e62866d899b66e7c8ec3bdd4c645cc03e7b,4cf8ae661b7acec46651ea74a6361cb4587473dcea6c38b56eb45fb3449f49ad,32a7c3eba45b2be4ac1a9c12118f569ac8802d19ffcdeb65a7e5a2e12d9f5743,559a3f254c88fdba0e255cd3c7921d84532c44c734ed954b50f57b61651df9b5,2bc5952020449e8b92632b59eb443aae7da659515651838ff9f059b8e7452a7b,90abe79e2cb4b50ab4d22fbf8df324905fcd1adba367db365effa7fa1fdbedfa,e2a2e6511f688368054f0744a63ba504208958d0a5bd97eb85d32ff6e5a8787e,fddb2b0182a92a8107048236aadfe66bcd75f4351f0d8cf0500a59204ebfef32
"","srt_kaya_idle","","srt_inori_idle","GAME_START","0","start_000-start_001,start_002/start_003-boss_emote_064-start_004","srt_dragon_in,srt_dragon_idle"
"まずはオレの番だな！","srt_kaya_idle","","srt_inori_idle","ENEMY_FIRST","2","","srt_dragon_idle"
"「{0}」か\n「{1}」で始まるのは…","srt_kaya_waiting","","srt_inori_idle","ENEMY_TURN1","2","","srt_dragon_idle"
"「{0}」か\nうーん、「{1}」で始まる言葉ねえ…","srt_kaya_waiting","","srt_inori_idle","ENEMY_TURN2","2","","srt_dragon_idle"
"「{0}」か\nオッケー、次は「{1}」だな","srt_kaya_waiting","","srt_inori_idle","ENEMY_TURN3","2","","srt_dragon_idle"
"","srt_kaya_help","srt_homare_help","","ENEMY_HELP","0","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063",""
"","srt_kaya_flash","","","ENEMY_FLASH","0","",""
"「{0}」だ！","srt_kaya_select_1,srt_kaya_waiting","","srt_inori_react_1,srt_inori_idle","ENEMY_SELECT1","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_dragon_react_1,srt_dragon_idle"
"「{0}」だな！","srt_kaya_select_1,srt_kaya_waiting","","srt_inori_react_1,srt_inori_idle","ENEMY_SELECT2","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_dragon_react_1,srt_dragon_idle"
"「{0}」だぜ！","srt_kaya_select_1,srt_kaya_waiting","","srt_inori_react_1,srt_inori_idle","ENEMY_SELECT3","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_dragon_react_1,srt_dragon_idle"
"「{0}」ってのはどうだ！","srt_kaya_select_1,srt_kaya_waiting","","srt_inori_react_1,srt_inori_idle","ENEMY_SELECT_GREAT1","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_dragon_react_1,srt_dragon_idle"
"へっへーん！「{0}」だ！","srt_kaya_select_1,srt_kaya_waiting","","srt_inori_react_1,srt_inori_idle","ENEMY_SELECT_GREAT2","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_dragon_react_1,srt_dragon_idle"
"","","","","ENEMY_SELECT_WAIT","-1","",""
"カヤぴぃ、「ん」がついてるですよ……","srt_kaya_shock","","","ENEMY_SELECT_N","1","out_071",""
"「{0}」ですか\n次は「{1}」で始まる言葉ですね","srt_kaya_waiting","","srt_inori_thinking","PLAYER_TURN1","1","","srt_dragon_thinking"
"「{0}」ですか\nうーん、「{1}」で始まる言葉は…","srt_kaya_waiting","","srt_inori_thinking","PLAYER_TURN2","1","","srt_dragon_thinking"
"なるほど「{0}」ですね\nふむふむ、「{1}」で始まる言葉は…","srt_kaya_waiting","","srt_inori_thinking","PLAYER_TURN3","1","","srt_dragon_thinking"
"","","","","PLAYER_CUTIN_GREAT","1","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053",""
"","","","","PLAYER_CUTIN_PRICONNE","1","sugoyomi_cutin_050,sugoyomi_cutin_052",""
"「{0}」です！","srt_kaya_react_1,srt_kaya_waiting","","srt_inori_select_1,srt_inori_idle","PLAYER_SELECT1","1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_dragon_select_1,srt_dragon_idle"
"「{0}」ですね！","srt_kaya_react_2,srt_kaya_waiting","","srt_inori_select_2,srt_inori_idle","PLAYER_SELECT2","1","correct_030-correct_031,correct_035-correct_036","srt_dragon_select_2,srt_dragon_idle"
"「{0}」なんてどうです！","srt_kaya_react_1,srt_kaya_waiting","","srt_inori_select_1,srt_inori_idle","PLAYER_SELECT_GREAT1","1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_dragon_select_1,srt_dragon_idle"
"ふふ～ん♪「{0}」です！","srt_kaya_react_2,srt_kaya_waiting","","srt_inori_select_2,srt_inori_idle","PLAYER_SELECT_GREAT2","1","correct_030-correct_031,correct_035-correct_036","srt_dragon_select_2,srt_dragon_idle"
"ふっふっふ、ずばり\n「{0}」です！","srt_kaya_react_1,srt_kaya_waiting","","srt_inori_select_1,srt_inori_idle","PLAYER_SELECT_PRECONNE1","1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_dragon_select_1,srt_dragon_idle"
"ひらめいたです！\n「{0}」ですね！","srt_kaya_react_2,srt_kaya_waiting","","srt_inori_select_2,srt_inori_idle","PLAYER_SELECT_PRECONNE2","1","correct_030-correct_031,correct_035-correct_036","srt_dragon_select_2,srt_dragon_idle"
"","","","","PLAYER_SELECT_WAIT","-1","",""
"はうっ！ま、間違ったです…","srt_kaya_react_3,srt_kaya_waiting","","srt_inori_miss,srt_inori_thinking","PLAYER_MISS","1","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","srt_dragon_miss,srt_dragon_thinking"
"おいおい、「ん」がついてるじゃねえか……","srt_kaya_react_4","","srt_inori_shock","PLAYER_SELECT_N","2","out_070",""
"どんどんいくですよ！","srt_kaya_infever","","srt_inori_thinking","INFEVER","1","rush","srt_dragon_thinking"
"「{0}」です！","","","srt_inori_select_1","FEVER_SELECT1","1","correct_028-correct_029,correct_037-correct_038","srt_dragon_select_1"
"「{0}」ですね！","","","srt_inori_select_2","FEVER_SELECT2","1","correct_030-correct_031,correct_035-correct_036","srt_dragon_select_2"
"はうっ！ま、間違ったです…","","","srt_inori_miss","FEVER_MISS","1","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","srt_dragon_miss"
"覚悟するです！","srt_kaya_fever_damage","","srt_inori_fever_attack","FEVER_DAMAGE","1","rush_attack","srt_dragon_fever_attack"
"あたしたちの勝ちですよ！！","srt_kaya_lose","","srt_inori_win_1","WIN_HP","1","win_005-win_006,win_012-win_013","srt_dragon_win"
"あたしたちの勝ちですよ！！","","","srt_inori_win_1","WIN_N","1","win_005-win_006,win_012-win_013","srt_dragon_win"
"あうぅ…あたしの負けです…","srt_kaya_win","","srt_inori_lose","LOSE_MISS","1","lose_017,lose_019,lose_023","srt_dragon_lose"
"あうぅ…あたしの負けです…","","","","LOSE_N","1","lose_017,lose_019,lose_023","srt_dragon_miss"
"じ、時間切れですか！？油断したです… ","srt_kaya_win","","srt_inori_lose","TIMEUP","1","lose_025/lose_026-boss_emote_068,lose_021","srt_dragon_lose"
"あうぅ…あたしの負けです…\n「{0}」があったです…","srt_kaya_win","","srt_inori_lose","LOSE_MISS2","1","lose_017,lose_019,lose_023","srt_dragon_lose"
"あうぅ…あたしの負けです…\n「{0}」があったです…","","","","LOSE_N2","1","lose_017,lose_019,lose_023","srt_dragon_miss"
"じ、時間切れですか！？油断したです… \n「{0}」があったです…","srt_kaya_win","","srt_inori_lose","TIMEUP2","1","lose_025/lose_026-boss_emote_068,lose_021","srt_dragon_lose"
