8eab0b36f1b18a3837be9046269ea03c3fbda2a926720ed1d95658f220985cb4,70bb203d7feb62ce1027f2c83b10f33568b45a1ca77d1119439f53b06fd4af67,d5eec04dcc3fb9254b22735421b92d0b8b90438a26bb8cac37312b199d387586,b9edf3016f25f10e59d286519507f4a7667c09fef7733ba23323325c52116485
"2","1","20","20"
"3","1","30","30"
"3","2","50","80"
"3","3","80","160"
"4","1","60","60"
"4","2","100","160"
"4","3","180","340"
"4","4","360","700"
"4","5","500","1200"
"5","1","100","100"
"5","2","160","260"
"5","3","280","540"
"5","4","480","1020"
"5","5","780","1800"
"6","1","100","100"
"6","2","160","260"
"6","3","280","540"
"6","4","480","1020"
"6","5","780","1800"
"7","1","100","100"
"7","2","160","260"
"7","3","280","540"
"7","4","480","1020"
"7","5","780","1800"
"8","1","100","100"
"8","2","160","260"
"8","3","280","540"
"8","4","480","1020"
"8","5","780","1800"
"9","1","100","100"
"9","2","160","260"
"9","3","280","540"
"9","4","480","1020"
"9","5","780","1800"
"10","1","100","100"
"10","2","160","260"
"10","3","280","540"
"10","4","480","1020"
"10","5","780","1800"
