91addef0c3d2f9c4d0f40d398fccd46495f0be46cb228f68f2196374f3e76edc,69b3aca9891d0ce56a3fb0274f062ac2e0851a7a2cf73ffb18331994d08f2289,1d6aadffcdb3e8450f25d7295266424835248e82a6b369d721c299957b544c34,dbffdfc85a794bd3b482cb997522e0350de01e4509507c56264821f4d5cd7097,350d1c80e61ad0c6ed2987a4d6a0703442a960b4f0e820835c2842c3ca9546ab,870a6f63e9c8e195384a8e8a38c1f3c6224948075301eacdcdb0f8adb406711e,6b85d5b19091ce32e774171dcbb002e6b596f2c70c057005c309d8b944d83233,7021638592a6fb21325e9239090f153f9e5604f05dfe2c64e9788b79290ed814,eb654743db912deedcdf6906a2982e64c7e6e989f3c2407bdcb588e415bea033
"1","50","0","0","","0","1.6","1","610201101"
"1","-75","0","200","","0","1.8","1","610201151"
"1","50","0","0","","0","1.6","1","610201201"
"1","50","0","0","","0","1.6","1","610201202"
"1","50","0","0","","0","1.6","1","610201203"
"1","-75","0","200","","0","1.65","1","610201251"
"1","-75","0","200","","0","1.8","1","610201252"
"1","-75","0","200","","0","1.8","1","610201253"
"1","50","0","0","","0","1.6","1","610201301"
"1","50","0","0","","0","1.6","1","610201302"
"1","50","0","0","","0","1.6","1","610201303"
"1","-75","0","200","","0","1.65","1","610201351"
"1","-75","0","200","","0","1.8","1","610201352"
"1","-75","0","200","","0","1.8","1","610201353"
"0","0","0","0","","1","1","2","610201401"
"0","0","0","0","","1","1","3","610201402"
"0","0","0","0","","1","1","4","610201403"
"0","0","-200","0","","0","0.78","2","610201451"
"0","0","-140","0","","0","0.78","3","610201452"
"0","0","-60","0","","0","0.78","4","610201453"
"0","0","0","0","","1","1","2","610201501"
"0","0","0","0","","1","1","3","610201502"
"0","0","0","0","","1","1","4","610201503"
"0","0","-200","0","","0","0.78","2","610201551"
"0","0","-140","0","","0","0.78","3","610201552"
"0","0","-60","0","","0","0.78","4","610201553"
"1","-45","0","190","","0","1.7","1","610202101"
"1","-55","0","190","","0","1.4","1","610202201"
"1","-45","0","190","","0","1.7","1","610202202"
"1","-45","0","190","","0","1.7","1","610202203"
"1","-55","0","190","","0","1.4","1","610202301"
"1","-45","0","190","","0","1.7","1","610202302"
"1","-45","0","190","","0","1.7","1","610202303"
"0","0","-200","0","","0","1","2","610202401"
"0","0","-140","0","","0","1","3","610202402"
"0","0","-60","0","","0","1","4","610202403"
"0","0","-60","0","","0","1","5","610202404"
"0","0","-200","0","","0","1","2","610202501"
"0","0","-140","0","","0","1","3","610202502"
"0","0","-60","0","","0","1","4","610202503"
"0","0","-60","0","","0","1","5","610202504"
"1","-80","0","190","","0","1.03","1","610203101"
"1","-42","0","190","","0","0.66","1","610203201"
"1","-80","0","190","","0","1.03","1","610203202"
"1","-80","0","190","","0","1.03","1","610203203"
"1","-42","0","190","","0","0.66","1","610203301"
"1","-80","0","190","","0","1.03","1","610203302"
"1","-80","0","190","","0","1.03","1","610203303"
"0","0","-200","0","","0","0.78","2","610203401"
"0","0","-140","0","","0","0.78","3","610203402"
"0","0","-60","0","","0","0.78","4","610203403"
"0","0","-30","0","","0","0.78","5","610203404"
"0","0","-200","0","","0","0.78","2","610203501"
"0","0","-140","0","","0","0.78","3","610203502"
"0","0","-60","0","","0","0.78","4","610203503"
"0","0","-30","0","","0","0.78","5","610203504"
"1","-65","0","305","","0","1.75","1","610204101"
"1","-55","0","305","","0","1.4","1","610204201"
"1","-65","0","305","","0","1.75","1","610204202"
"1","-65","0","305","","0","1.75","1","610204203"
"1","-55","0","305","","0","1.4","1","610204301"
"1","-65","0","305","","0","1.75","1","610204302"
"1","-65","0","305","","0","1.75","1","610204303"
"0","0","-200","0","","0","0.85","2","610204401"
"0","0","-140","0","","0","0.85","3","610204402"
"0","0","-60","0","","0","1","4","610204403"
"0","0","-60","0","","0","1","5","610204404"
"0","0","-200","0","","0","0.85","2","610204501"
"0","0","-140","0","","0","0.85","3","610204502"
"0","0","-60","0","","0","1","4","610204503"
"0","0","-60","0","","0","1","5","610204504"
