6fe9c29a90eafa13cd80e2e6a122f697c0762ce79e9da852df11b24cdb6a9091,7edcbc43327066b059b6c3cbd5826eafe967e2304fe44926140000e2653c0d61,6b55e52633627ff10ce5252e339d317d2c98a4634e365e3b6f25bcc918fc9fa5,a8b0ff7c1862449f0612c602ad38febb0063c164bf36287c40fde7e5477f511d,e15fe041c19e236b20c09b9df27757dea5b669e15ec4ab708fb77a8bdc9fcb86,525b9135a3581d2159c4aab66b47af530ea14e34e812dfc909e1bac1aab9a933,4798e94e11a1ba1cdfa2ccb3e9bfa8a22d312f4d06c70771909893a44a26c35b,86849ed60d7d9e898815c1d4cd855db70cc77a0c1df426bab594c49dc465800d,595394405f31ad4681ee91b4c63c4a36988595ce3cda31c7d12b6fe51bf6d1fb,a33b6926d5873b238b579f35661afe49e5e461c39fa24a4b0919872ecf5ca85f,09a8cc7d8e182f0b03b29143eef6e36084eee5f5183a6f8724cdc02604844d8f,e1224321b7ffe6a2deea5e8d805b93446dbf94ba5a5a3ea30142659436e53dce
"80001_3","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）","2","1","80001","80000","24005","0","1","80001_1","80001_2"
"80002_3","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）","2","1","80002","80000","24006","0","1","80002_1","80002_2"
"80003_3","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）","2","1","80003","80000","24007","0","1","80003_1","80003_2"
"80004_3","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）","2","1","80004","80000","24008","0","1","80004_1","80004_2"
"80005_3","1","★3確定 プリコネフェス記念ガチャチケット","2","1","80005","80000","24009","0","1","80005_1","80005_2"
"80006_3","1","★3確定 プリコネフェス2022記念ガチャチケット","2","1","80006","80000","24010","0","1","80006_1","80006_2"
"80007_3","1","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1","2","1","80007","80000","24011","0","1","80007_1","80007_2"
"80008_3","1","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2","2","1","80008","80000","24012","0","1","80008_1","80008_2"
"80009_3","1","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3","2","1","80009","80000","24013","0","1","80009_1","80009_2"
"80010_3","1","★3確定 プリコネフェス2023記念ガチャチケット","2","1","80010","80000","24014","0","1","80010_1","80010_2"
"80011_3","1","★3確定 5周年記念ガチャチケット","2","1","80011","80000","24015","0","1","80011_1","80011_2"
"80012_3","1","★3確定 スタートダッシュガチャチケット","2","1","80012","80000","24016","0","1","80012_1","80012_2"
"80013_3","1","★3確定 プリコネフェス2024記念ガチャチケット","2","1","80013","80000","24017","0","1","80013_1","80013_2"
"80014_3","1","★3確定 プリコネフェス2025記念ガチャチケット","2","1","80014","80000","24018","0","1","80014_1","80014_2"
