0a1645e8ca064435f90a32879074353c09c2aaeea00a2b37ca87a720bbebc7f2,5b9917a633cd5bfe85a789eda175e73af7509f810d88ae4153b3e4a6ad7c8705,a83920c0c74c82f925b3cd82ee4511e271d36078d889244c424082d8d97b8721,a585edaa0cff5792bcf7795b29f55bca60e6a554dda9715c39e316bf330b2b20,4bcf6c30f61df00d093a565d2b2bfea787f1196138d2ed9e3c5a1b4e390ac038,60b0716b1a6577a52aca2b429d1585b7e5c316aa2cbc61d881e583dc024fa6f2,f34a6e44510eb29b93475efc30755a6baa1ffa88f3eed7b26807bec24e7cf9c9,aefd615d5c24a518b733939eb84799a6ae07bd096e182f9108314d2b0962c29b,c77f185e64f36f2f487153f226a73555bdf9867e2c7385bba7b6fa71f934a85b,0fedee9fb7bad09d6b90e6bc25fef42e37f55ed5553c864a4d8238d9e29f6258
"10000","1","1","パーツを20個獲得しよう","3","1","20","1","100","0"
"10001","1","2","パーツを25個獲得しよう","3","1","25","2","100","0"
"10002","1","3","パーツを30個獲得しよう","3","1","30","2","100","0"
"10003","1","4","パーツを35個獲得しよう","3","1","35","3","100","0"
"10004","1","5","パーツを40個獲得しよう","3","1","40","3","100","0"
"10005","1","6","パーツを45個獲得しよう","3","1","45","4","100","0"
"10006","1","7","パーツを50個獲得しよう","3","1","50","4","100","0"
"20000","2","101","総戦力を1500以上にしよう","2","1","1500","3","101","0"
"20001","2","102","総戦力を2000以上にしよう","2","1","2000","3","101","0"
"20002","2","103","総戦力を2500以上にしよう","2","1","2500","3","101","0"
"20003","2","104","総戦力を3000以上にしよう","2","1","3000","3","101","0"
"20004","2","105","総戦力を3500以上にしよう","2","1","3500","3","101","0"
"20005","2","106","総戦力を4000以上にしよう","2","1","4000","4","101","0"
"20006","2","107","総戦力を4500以上にしよう","2","1","4500","4","101","0"
"20007","2","108","総戦力を5000以上にしよう","2","1","5000","4","101","0"
"20008","2","109","総戦力を6000以上にしよう","2","1","6000","4","101","0"
"20009","2","110","総戦力を7000以上にしよう","2","1","7000","4","101","0"
"20010","2","111","総戦力を8000以上にしよう","2","1","8000","5","101","0"
"20011","2","112","総戦力を9000以上にしよう","2","1","9000","5","101","0"
"20012","2","600","総戦力を10000以上にしよう","2","1","10000","5","101","0"
"30000","3","201","バトルポイントを累計100pt獲得しよう","4","2","100","2","200","0"
"30001","3","202","バトルポイントを累計200pt獲得しよう","4","2","200","2","200","0"
"30002","3","203","バトルポイントを累計300pt獲得しよう","4","2","300","2","200","0"
"30003","3","204","バトルポイントを累計400pt獲得しよう","4","2","400","2","200","0"
"30004","3","205","バトルポイントを累計500pt獲得しよう","4","2","500","2","200","0"
"30005","3","206","バトルポイントを累計600pt獲得しよう","4","2","600","3","200","0"
"30006","3","207","バトルポイントを累計700pt獲得しよう","4","2","700","3","200","0"
"30007","3","208","バトルポイントを累計800pt獲得しよう","4","2","800","3","200","0"
"30008","3","209","バトルポイントを累計900pt獲得しよう","4","2","900","3","200","0"
"30009","3","210","バトルポイントを累計1000pt獲得しよう","4","2","1000","3","200","0"
"50000","5","401","フブキから5個パーツを獲得しよう","1","4","5","7","400","0"
"50001","5","402","フブキから10個パーツを獲得しよう","1","4","10","7","400","0"
"50002","5","403","フブキから15個パーツを獲得しよう","1","4","15","7","400","0"
"50003","5","404","フブキから20個パーツを獲得しよう","1","4","20","7","400","0"
"50004","5","405","フブキから25個パーツを獲得しよう","1","4","25","7","400","0"
"50005","5","406","フブキから30個パーツを獲得しよう","1","4","30","7","400","0"
"50006","5","407","フブキから35個パーツを獲得しよう","1","4","35","7","400","0"
"50007","5","408","フブキから40個パーツを獲得しよう","1","4","40","7","400","0"
"50008","5","409","フブキから45個パーツを獲得しよう","1","4","45","7","400","0"
"50009","5","700","フブキから50個パーツを獲得しよう","1","4","50","6","400","0"
"60000","6","999","バトルポイントを800pt獲得しよう（何度でも）","4","2","800","7","209","30009"
"70000","7","799","ステージ14をクリアしよう","3","3","14","6","300","0"
"70001","7","800","ステージ50をクリアしよう","3","3","50","8","301","0"
