8bb209b43461fa62862597174956e9f60da122a08303d571bd66a7000e27bbec,5a7dab1b4d410285afb2d312ea7f5c0ec801c6e2ef2bb8660f2f29f51e7fe3f2,345dec00482bb0260104c4342d50b2f904b9fc4a83320bb3c3bf3f4a1d76f4e6,deae19f4bb6885bbed942ea41208df419ebd7eceff5b5628fa0ba4b673b5ab4e,270c2932e0226d488fef031ed0da87ee02ce90799721d7be1cf58c38265d3d66,e448179ea550ad15bcb890e9058ac9cae6e026ea0b0a4afe57a43cd75785480b,19f3673492c68346d185997051e2fcc6542420727c4cbcf8e08dee7d98340ec7,725506d689d99efd4c44e7de9cddd47536ae1a03448376b9b5a875bd9200e92a,56255fb950d75e3eb5ff553d65397dbf3cf004dff1ba25ddca2814cbdf7dd388,a01b42cda1ce9506423124a84a0186c2d10fab3f36bdd845f735a37951e05687,be0da31d1bd9546aa0f5d9a641d23fc7e6e4448bbf0c3655efe37d24828fa963
"1","8","10","91002","31","2","25013","283001001","8","2","25021"
"2","8","10","91002","31","2","25013","283001002","8","2","25021"
"3","8","10","91002","32","2","25013","283001003","8","2","25021"
"4","8","10","91002","32","2","25013","283001004","8","2","25021"
"5","8","10","91002","33","2","25013","283001005","8","2","25021"
"6","8","10","91002","33","2","25013","283001006","9","2","25021"
"7","8","10","91002","34","2","25013","283001007","9","2","25021"
"8","8","10","91002","35","2","25013","283001008","9","2","25021"
"9","8","10","91002","35","2","25013","283001009","9","2","25021"
"10","8","30","91002","37","2","25013","283001010","10","2","25021"
"11","8","10","91002","41","2","25013","283001011","10","2","25021"
"12","8","10","91002","43","2","25013","283001012","11","2","25021"
"13","8","10","91002","46","2","25013","283001013","11","2","25021"
"14","8","10","91002","48","2","25013","283001014","12","2","25021"
"15","8","10","91002","50","2","25013","283001015","12","2","25021"
"16","8","10","91002","53","2","25013","283001016","13","2","25021"
"17","8","10","91002","55","2","25013","283001017","14","2","25021"
"18","8","10","91002","58","2","25013","283001018","14","2","25021"
"19","8","10","91002","60","2","25013","283001019","15","2","25021"
"20","8","30","91002","62","2","25013","283001020","15","2","25021"
"21","8","10","91002","68","2","25013","283001021","16","2","25021"
"22","8","10","91002","70","2","25013","283001022","16","2","25021"
"23","8","10","91002","72","2","25013","283001023","16","2","25021"
"24","8","10","91002","75","2","25013","283001024","17","2","25021"
"25","8","10","91002","77","2","25013","283001025","18","2","25021"
"26","8","10","91002","79","2","25013","283001026","18","2","25021"
"27","8","10","91002","82","2","25013","283001027","19","2","25021"
"28","8","10","91002","84","2","25013","283001028","19","2","25021"
"29","8","10","91002","86","2","25013","283001029","19","2","25021"
"30","8","30","91002","89","2","25013","283001030","20","2","25021"
"31","8","10","91002","94","2","25013","283001031","20","2","25021"
"32","8","10","91002","96","2","25013","283001032","21","2","25021"
"33","8","10","91002","99","2","25013","283001033","21","2","25021"
"34","8","10","91002","101","2","25013","283001034","22","2","25021"
"35","8","10","91002","103","2","25013","283001035","22","2","25021"
"36","8","10","91002","106","2","25013","283001036","23","2","25021"
"37","8","10","91002","108","2","25013","283001037","23","2","25021"
"38","8","10","91002","111","2","25013","283001038","24","2","25021"
"39","8","10","91002","113","2","25013","283001039","25","2","25021"
"40","8","30","91002","115","2","25013","283001040","25","2","25021"
"41","8","10","91002","121","2","25013","283001041","26","2","25021"
"42","8","10","91002","123","2","25013","283001042","27","2","25021"
"43","8","10","91002","125","2","25013","283001043","28","2","25021"
"44","8","10","91002","128","2","25013","283001044","28","2","25021"
"45","8","10","91002","130","2","25013","283001045","29","2","25021"
"46","8","10","91002","132","2","25013","283001046","30","2","25021"
"47","8","10","91002","135","2","25013","283001047","30","2","25021"
"48","8","10","91002","137","2","25013","283001048","31","2","25021"
"49","8","10","91002","139","2","25013","283001049","31","2","25021"
"50","8","30","91002","142","2","25013","283001050","31","2","25021"
"51","8","10","91002","144","2","25013","283001051","32","2","25021"
"52","8","10","91002","146","2","25013","283001052","32","2","25021"
"53","8","10","91002","149","2","25013","283001053","32","2","25021"
"54","8","10","91002","152","2","25013","283001054","33","2","25021"
"55","8","10","91002","155","2","25013","283001055","33","2","25021"
"56","8","10","91002","157","2","25013","283001056","33","2","25021"
"57","8","10","91002","160","2","25013","283001057","34","2","25021"
"58","8","10","91002","163","2","25013","283001058","34","2","25021"
"59","8","10","91002","166","2","25013","283001059","34","2","25021"
"60","8","30","91002","169","2","25013","283001060","35","2","25021"
"61","8","10","91002","171","2","25013","283001061","35","2","25021"
"62","8","10","91002","174","2","25013","283001062","35","2","25021"
"63","8","10","91002","177","2","25013","283001063","36","2","25021"
"64","8","10","91002","180","2","25013","283001064","36","2","25021"
"65","8","10","91002","182","2","25013","283001065","36","2","25021"
"66","8","10","91002","185","2","25013","283001066","37","2","25021"
"67","8","10","91002","187","2","25013","283001067","37","2","25021"
"68","8","10","91002","190","2","25013","283001068","37","2","25021"
"69","8","10","91002","193","2","25013","283001069","38","2","25021"
"70","8","30","91002","196","2","25013","283001070","38","2","25021"
"71","8","10","91002","200","2","25013","283001071","39","2","25021"
"72","8","10","91002","204","2","25013","283001072","39","2","25021"
"73","8","10","91002","208","2","25013","283001073","40","2","25021"
"74","8","10","91002","212","2","25013","283001074","40","2","25021"
"75","8","10","91002","216","2","25013","283001075","41","2","25021"
"76","8","10","91002","220","2","25013","283001076","41","2","25021"
"77","8","10","91002","224","2","25013","283001077","42","2","25021"
"78","8","10","91002","228","2","25013","283001078","42","2","25021"
"79","8","10","91002","232","2","25013","283001079","43","2","25021"
"80","8","30","91002","236","2","25013","283001080","43","2","25021"
"81","8","10","91002","240","2","25013","283001081","44","2","25021"
"82","8","10","91002","244","2","25013","283001082","44","2","25021"
"83","8","10","91002","248","2","25013","283001083","45","2","25021"
"84","8","10","91002","252","2","25013","283001084","45","2","25021"
"85","8","10","91002","256","2","25013","283001085","46","2","25021"
"86","8","10","91002","260","2","25013","283001086","46","2","25021"
"87","8","10","91002","264","2","25013","283001087","47","2","25021"
"88","8","10","91002","268","2","25013","283001088","47","2","25021"
"89","8","10","91002","272","2","25013","283001089","48","2","25021"
"90","8","30","91002","276","2","25013","283001090","48","2","25021"
