54b5fad261664149f4ca04c966b938443954e76b0d151d6417de8df44afc6df1,a58e5b6a9bfbd87ee48a1f00052913c9cf0a4825f17d1c40f8ffefb79839d06d,6dce5cf86eb76dfa484e8c2044045e776b04bf0dc22fc4d10a41a93bee13810f,45a3f9c766fbcc9a16e876b1f4daceab14d2fa9544ba260a565b7d1bc2ee124d,28a981659f2adb1de8a56f6ccb26af9dfa5fac07c1d1d17c424947e7a19aa16e,72ba3ee63ebe1b0a76d1bfe9935e324adcf137cf0046bc8ffc68b58415d85292,6254dfff8f5ec07419b406b7d6b31bd4e69da9ce41709b1d880392f2340f65b0,c418d74caf0a2dde43a3def5bb77f83cb97253e8e4323b544a359961e7aa89c6,514ad407fa7a781deddf25090f5bebf4fa75f544c89ebe5f3d97beb1b16e88c5,387032043a294497e6417de1fd7d64ac57291d13a142c5111684279abcfcd4f2,a21d2f5f0bbf52609102b772075797a4481ca30e9722ce21be3ba4c2b6d4a5cb
"31","10","8","2","1","25021","8","91002","2","25012","282001001"
"31","10","8","2","2","25021","8","91002","2","25012","282001002"
"32","10","8","2","3","25021","8","91002","2","25012","282001003"
"32","10","8","2","4","25021","8","91002","2","25012","282001004"
"33","10","8","2","5","25021","8","91002","2","25012","282001005"
"33","10","8","2","6","25021","9","91002","2","25012","282001006"
"34","10","8","2","7","25021","9","91002","2","25012","282001007"
"35","10","8","2","8","25021","9","91002","2","25012","282001008"
"35","10","8","2","9","25021","9","91002","2","25012","282001009"
"37","30","8","2","10","25021","10","91002","2","25012","282001010"
"41","10","8","2","11","25021","10","91002","2","25012","282001011"
"43","10","8","2","12","25021","11","91002","2","25012","282001012"
"46","10","8","2","13","25021","11","91002","2","25012","282001013"
"48","10","8","2","14","25021","12","91002","2","25012","282001014"
"50","10","8","2","15","25021","12","91002","2","25012","282001015"
"53","10","8","2","16","25021","13","91002","2","25012","282001016"
"55","10","8","2","17","25021","14","91002","2","25012","282001017"
"58","10","8","2","18","25021","14","91002","2","25012","282001018"
"60","10","8","2","19","25021","15","91002","2","25012","282001019"
"62","30","8","2","20","25021","15","91002","2","25012","282001020"
"68","10","8","2","21","25021","16","91002","2","25012","282001021"
"70","10","8","2","22","25021","16","91002","2","25012","282001022"
"72","10","8","2","23","25021","16","91002","2","25012","282001023"
"75","10","8","2","24","25021","17","91002","2","25012","282001024"
"77","10","8","2","25","25021","18","91002","2","25012","282001025"
"79","10","8","2","26","25021","18","91002","2","25012","282001026"
"82","10","8","2","27","25021","19","91002","2","25012","282001027"
"84","10","8","2","28","25021","19","91002","2","25012","282001028"
"86","10","8","2","29","25021","19","91002","2","25012","282001029"
"89","30","8","2","30","25021","20","91002","2","25012","282001030"
"94","10","8","2","31","25021","20","91002","2","25012","282001031"
"96","10","8","2","32","25021","21","91002","2","25012","282001032"
"99","10","8","2","33","25021","21","91002","2","25012","282001033"
"101","10","8","2","34","25021","22","91002","2","25012","282001034"
"103","10","8","2","35","25021","22","91002","2","25012","282001035"
"106","10","8","2","36","25021","23","91002","2","25012","282001036"
"108","10","8","2","37","25021","23","91002","2","25012","282001037"
"111","10","8","2","38","25021","24","91002","2","25012","282001038"
"113","10","8","2","39","25021","25","91002","2","25012","282001039"
"115","30","8","2","40","25021","25","91002","2","25012","282001040"
"121","10","8","2","41","25021","26","91002","2","25012","282001041"
"123","10","8","2","42","25021","27","91002","2","25012","282001042"
"125","10","8","2","43","25021","28","91002","2","25012","282001043"
"128","10","8","2","44","25021","28","91002","2","25012","282001044"
"130","10","8","2","45","25021","29","91002","2","25012","282001045"
"132","10","8","2","46","25021","30","91002","2","25012","282001046"
"135","10","8","2","47","25021","30","91002","2","25012","282001047"
"137","10","8","2","48","25021","31","91002","2","25012","282001048"
"139","10","8","2","49","25021","31","91002","2","25012","282001049"
"142","30","8","2","50","25021","31","91002","2","25012","282001050"
"144","10","8","2","51","25021","32","91002","2","25012","282001051"
"146","10","8","2","52","25021","32","91002","2","25012","282001052"
"149","10","8","2","53","25021","32","91002","2","25012","282001053"
"152","10","8","2","54","25021","33","91002","2","25012","282001054"
"155","10","8","2","55","25021","33","91002","2","25012","282001055"
"157","10","8","2","56","25021","33","91002","2","25012","282001056"
"160","10","8","2","57","25021","34","91002","2","25012","282001057"
"163","10","8","2","58","25021","34","91002","2","25012","282001058"
"166","10","8","2","59","25021","34","91002","2","25012","282001059"
"169","30","8","2","60","25021","35","91002","2","25012","282001060"
"171","10","8","2","61","25021","35","91002","2","25012","282001061"
"174","10","8","2","62","25021","35","91002","2","25012","282001062"
"177","10","8","2","63","25021","36","91002","2","25012","282001063"
"180","10","8","2","64","25021","36","91002","2","25012","282001064"
"182","10","8","2","65","25021","36","91002","2","25012","282001065"
"185","10","8","2","66","25021","37","91002","2","25012","282001066"
"187","10","8","2","67","25021","37","91002","2","25012","282001067"
"190","10","8","2","68","25021","37","91002","2","25012","282001068"
"193","10","8","2","69","25021","38","91002","2","25012","282001069"
"196","30","8","2","70","25021","38","91002","2","25012","282001070"
