dd7f4d11a0aa1e19d320344d27878f130e38fe4e25ceeb7fb9671599838f7230,7d13af6059138560915463a39127c0f1feef1978022842efb343f6616bf831d8,13b7e666833ab7529daa1117a64a51eb7f1a96360643e9d2276712b5d42d1056,7ab338982f9390fb2d50c5c1f0be4224c27a7f3362f5a7121af673d3264c83cb
"2","1","20","20"
"3","1","30","30"
"3","2","50","80"
"3","3","80","160"
"4","1","60","60"
"4","2","100","160"
"4","3","180","340"
"4","4","360","700"
"4","5","500","1200"
"5","1","100","100"
"5","2","160","260"
"5","3","280","540"
"5","4","480","1020"
"5","5","780","1800"
"6","1","100","100"
"6","2","160","260"
"6","3","280","540"
"6","4","480","1020"
"6","5","780","1800"
"7","1","100","100"
"7","2","160","260"
"7","3","280","540"
"7","4","480","1020"
"7","5","780","1800"
"8","1","100","100"
"8","2","160","260"
"8","3","280","540"
"8","4","480","1020"
"8","5","780","1800"
"9","1","100","100"
"9","2","160","260"
"9","3","280","540"
"9","4","480","1020"
"9","5","780","1800"
"10","1","100","100"
"10","2","160","260"
"10","3","280","540"
"10","4","480","1020"
"10","5","780","1800"
