19d613b12c88574229e3e52e86a74fd47b2465c6e12622245ed39a40d2001026,eeaff8240e9bb561c85840813acc014c35a12f0ef29024f993a959bb2dee8348,9b45c8302194d0c17f327d11585d2ed871c63d6a34800015d116bcfadd567ff2,a478f63532bd531f1adc0765392c0539d3a5b80fef77ff0e8748e3a2af7b2073,f7259a0e3651370c5a724a4ae4e94ef1ef941f8dda0a9e6facd5a4df50858f3e,5ba4309552ca049faf52878396d35bab2c743b70cf5ed9d4d51d24295438d1d8,0df7966450dc24e2869b4803d17c7743e7d71a75c9a51d7c391c30310ebce171,5839013aacc80c360c3a8b1ddc526f8a130cc69afb21ce0234c37ecafb155268,eb190f4c6da853f9c6130a374fdb1b6d4dc217c92b79d205e476ab6b49f49570,6325a6b6feaf133eeb08f668f43dc256b2ba43f482c29da879dc85ab7136ab6a,dc7c9287f1b1a79bfa7a61924d0fb45abc1e92cb3e27938993b2b6b3483d5bd8
"20011","travel_topdrama_r_2000_idle_smile","42","-68","101","105811","1","1","1","1200110001","0.8"
"20011","travel_topdrama_r_2000_idle_sad_shy","-42","-68","102","106011","1","1","0","1200110002","0.8"
"20011","mana","0","-75","110","0","0","5","0","1200110003","1"
"20011","","","","","","0","91","","1200110004",""
"20011","","","","","0","10","93","","1200110005",""
"20011","","","","","","1200110005","101","","1200110006",""
"20011","","","","0","none","0","3","","1200110007","0"
"20011","","","","","","0","91","","1200110008",""
"20012","","","","","103","105811","13","","1200120001",""
"20012","","","","","104","106011","13","","1200120002",""
"20012","","travel_topdrama_r_2000_talk_smile_loop","1","0","travel_topdrama_r_2000_talk_smile_in","105811","3","","1200120003","0.2"
"20012","","0","","0","vo_travel_talk_20001_00","vo_travel_talk","21","","1200120004",""
"20012","0","1","1","10","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","105811","11","0","1200120005","0"
"20012","","","","","","0","91","","1200120006",""
"20012","","","","1","travel_topdrama_r_2000_idle_smile","105811","3","","1200120007","0.2"
"20012","","","1","1","travel_topdrama_r_2000_talk_anger_shy","106011","3","","1200120008","0.2"
"20012","","0","","0","vo_travel_talk_20001_01","vo_travel_talk","21","","1200120009",""
"20012","0","1","1","10","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","106011","11","0","1200120010","0"
"20012","","","","","","0","91","","1200120011",""
"20012","","","","1","travel_topdrama_r_2000_idle_sad_shy","106011","3","","1200120012","0.2"
"20012","","travel_topdrama_r_2000_talk_smile_loop","1","0","travel_topdrama_r_2000_talk_smile_in","105811","3","","1200120013","0.2"
"20012","","0","","0","vo_travel_talk_20001_02","vo_travel_talk","21","","1200120014",""
"20012","0","1","1","10","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","105811","11","0","1200120015","0"
"20012","","","","","","0","91","","1200120016",""
"20012","","","","1","travel_topdrama_r_2000_idle_smile","105811","3","","1200120017","0.2"
"20012","","","","","","","112","","1200120018",""
"20012","","","","","","0","91","","1200120019",""
"20021","travel_topdrama_r_2000_idle_normal","42","-68","101","100211","1","1","1","1200210001","0.8"
"20021","travel_topdrama_r_2002_sitting_loop","-42","-68","102","100111","1","1","0","1200210002","0.8"
