1ba315695c73b3498429dc8948c91834d0210a95ddc15cb47f317907c79b9f71,72d96de70861175c12124164a1e1c4ec87230f8e5748aeb738a833065d1f9ba3,0a57f0fd688f91786666f926cd87d9b1c57b0ce0b7a79a25040e82a130a4eaa5,554d1a01ed566094baf3e7c8d235958e3fc7dacaeca15ea3bea4af872e0ef4af,8278d371d8061b3e6a5e9e464de58c3895c5c3b7f9268c123b27051525ea6c33
"1000","320001011","25011","2","32000101"
"1000","320001012","25012","2","32000101"
"1000","320001021","25013","2","32000102"
"1000","320001022","25014","2","32000102"
"1000","320001031","91002","8","32000103"
"3000000","320001032","94002","12","32000103"
"1000","320001033","25015","2","32000103"
"1000","320001034","25021","2","32000103"
"1000","320001041","25013","2","32000104"
"1000","320001042","25014","2","32000104"
"1000","320001051","25012","2","32000105"
"1000","320001052","25015","2","32000105"
"1000","320001061","91002","8","32000106"
"3000000","320001062","94002","12","32000106"
"1000","320001063","25011","2","32000106"
"1000","320001064","25021","2","32000106"
"1000","320001071","25014","2","32000107"
"1000","320001072","25015","2","32000107"
"1000","320001081","25011","2","32000108"
"1000","320001082","25013","2","32000108"
"1000","320001091","91002","8","32000109"
"3000000","320001092","94002","12","32000109"
"1000","320001093","25012","2","32000109"
"1000","320001094","25021","2","32000109"
"3000","320001101","25011","2","32000110"
"3000","320001102","25012","2","32000110"
"3000","320001103","25013","2","32000110"
"3000","320001104","25014","2","32000110"
"3000","320001105","25015","2","32000110"
"3000","320001111","25011","2","32000111"
"3000","320001112","25012","2","32000111"
"3000","320001113","25013","2","32000111"
"3000","320001114","25014","2","32000111"
"3000","320001115","25015","2","32000111"
"3000","320001121","25011","2","32000112"
"3000","320001122","25012","2","32000112"
"3000","320001123","25013","2","32000112"
"3000","320001124","25014","2","32000112"
"3000","320001125","25015","2","32000112"
"1","320001131","21953","2","32000113"
"2000","320001132","25021","2","32000113"
