ae1a12f509a91d32cf72b17e9d77002102c7b18182f6e9f8ff105651e0834e29,54d8616bed54442cd06e63065a7c7a53604e39e7854888166800cbf8aa3a9906,750d68e704029db8c0aa7f3c35e6e6e13efc2ec2114dbf8720f461531af89a62,fc9138298e596e989c487b60f9619c862bfccf07ebe4d9754a416714f48b38ee,e18bf0d683cffee3d4b1d233bee024b7d42748f2b8e2eb7d44b30d2f2f25365d,840718e8124295417d35820be5dbb021bcca9fb02417b73742e743fe1728e808,616922b0d853f91e30e3376ceb36e53c42d8030d3f3fc86063fd86f45e26d7e5,d0ff892dff6a2a681d330c5dc2f45800732959d1f144c587d77c77be92db6cb6,6d7154c49e0eb9b4036a00d88236c5794ec96dbdf73389668d8eaa0bc78b361a,bfa370006de87b1e0756f8fd5d139a2fc90475f69a4c59c5d37225b630f59f6f,53581f8c236c60ba37ba991b9d033ef2ccea7eaafb47f75ad7a927a39637ccad
"","1082","","","","イ","","","","",""
"","1107","","","","オ","","","","",""
"","1176","","","","","","ツ","","",""
"","1189","","","ル","ー","","","","ホ",""
"","1192","","","","ゥー","","","","",""
"","1245","","","","イ","","","","",""
"","1250","","","ちそ","","","","ゃさ","",""
"ナイト","2013","ナイア","イトメ","メ","ト","トメア","ナ","ア","イ","ナメア"
"ランド","2014","ランル","ラドソ","","ラ","ンドル","ン","ル","ソ","ドソル"
"そるの","2015","そるう","そのと","","と","るのと","る","う","","そのう"
"るなう","2016","るなと","なのと","う","と","のとう","る","の","な","るのう"
"ひくう","2017","ひくて","ひうて","い","う","くうて","く","","","ひてい"
"ふゃ","2019","ふゃ","しん","し","ゃ","","ふ","ん","","ふん"
"むしわ","2020","ぎゅわ","むぎし","む","し","ぎしゅ","ゅ","ぎ","わ","むゅわ"
"","2031","E","","","","S","","","",""
"AE","2032","","","","","","","","",""
"","2033","A","","","","","","","","R"
"","2034","E","","","","","","","","I"
"","2036","UA","","","","","","","","R"
"Y","2037","E","E","","","","","","","L"
"I","2038","E","V","","","","","","","L"
"","2040","L","","","","","","","","I"
"","2041","","","","","","","","","A"
"","2042","","","","","Y","","","",""
"","2043","","","","","K","","","","A"
"","2045","","","","","","","","","A"
"","2046","","","","","Q","","","","R"
"","2047","A","","","","","","","","R"
"","2048","","","","","KQ","","","","A"
"","2049","B","","","","","","","",""
"T","2050","U","","","","","","","","A"
"P","2052","EI","","","","","","","","C"
"T","2053","I","","","","","","","","A"
"S","2054","","","","","","","","",""
"","2055","","","","","","","","","R"
"","2056","V","","","","","","","",""
"","2058","","","","","","","","","WU"
"","2059","","","","","R","","","",""
"","2060","","","","","R","","","",""
"","2062","","","","","","","","","S"
"S","2063","A","S","","","","","","","E"
"A","2064","","","","","","","","","A"
"S","2065","A","","","","","","","",""
"","2066","","","","","C","","","",""
"","2067","B","","","","","","","",""
"","2068","I","","","","L","","","",""
"","2069","","","","","C","","","","E"
"","2070","E","D","","","","","","",""
"I","2071","A","N","","","","","","",""
"A","2074","","","","","","","","","C"
"A","2077","","","","","","","","","A"
"","2092","","","","","","ち","し","",""
"ト","2130","ン","ム","","","フ","","","","ァ"
"","2200","","","わ","聴言","","か","聞聴","視",""
"","2201","","","","","","ー","ビブ","",""
"","2202","","","","","","","ル","",""
"","2216","","","鯉","飯","","","","麦",""
"","2261","","","う","ゅ","","","","し",""
"","2264","","","","","","ぅ","","",""
"","2266","","","","ー","","","","",""
"","2295","","","く","ふ","","ん","き","ひ",""
"","2313","","","","","","","だ","",""
"","3020","","","","","ル","","","","ナ"
"","3066","","","","ェ","","","","フ",""
"","3068","","","","","","","","く",""
"","3073","","","が","","","","","",""
"","3084","","","","","","","生","",""
"","3158","","","","","","","ア","",""
"","3165","","","ひ","","","","","",""
"","3187","","","","","","","か","",""
"","3191","","","デ","","","オ","シス","",""
"","3193","","","","","","ま","さ","",""
"","3195","","","","","ブ","","","",""
"","3222","","","ス","","","","","",""
"","3238","","","","","","","ず","",""
"","3271","","","","","","","帰","",""
"","3277","","","","ク","","","","",""
"","3318","","","ア","","","","","",""
"","4029","","","","","","ち","し","",""
"","4049","","","","","","X","","",""
"","4052","","","","","","","た","",""
"","4077","","","","","","","さ","",""
"","4154","","","","","","帯","","",""
"","4157","そ","","","","","","","",""
"","4167","い","","","","","","","",""
"","4171","","","","","二","","","",""
"倍","4194","","","","","","","","","小"
"約","4195","","","","","","","","","大"
"","4196","","","底","","","","","高",""
"","4197","","","","","半","","","",""
"","4203","","","","","","","く","",""
"","4220","","","ウ","","","","","",""
"","4222","","","","ィ","","","","",""
"","4247","","","","","","","","セ",""
"","5010","","","ー","","","","","",""
"","5011","","","ワ","","","","","",""
"ラモ","5030","","テカ","","","","","","",""
"オモ","5031","","レカ","","","","","","",""
"","5051","","","ー","","","","","",""
"","5066","","","か","お","","","ら","",""
"","5100","","","ぶ","","","","","",""
"じ","5109","","つ","","","み","","","","つ"
"タ","5140","ン","ー","","","カ","","","","ウ"
"","5147","","","","","","ロ","","",""
"","5160","","","と","","","","","",""
"戌酉子","5193","戌卯辰","卯戌子","虎","牛","卯辰戌","","","","戌酉卯"
"","6060","","","","","","ト","","",""
"","6065","","","ほ","","","","","",""
"","6157","","","","","","","ィ","",""
"","6188","","ト","","","","","","",""
"","6203","","","ド","ン","","","","イ",""
"","6216","","","ク","","","ラ","ジ","",""
"","6227","ウ","","","","チ","","","","ョ"
