0eaa2d4c48f898fe39c6c95ed191da3eb27ae8135987b5f7ea52a90c23a43d21,89954a362ef4e0cbec1d496857a2254e8817893a49435a0bd8b2a599157fbb80,825f7a4dda7989c2398aa0c5259277f90176bf780ad4c86e9bb4108a50468ccc,3648c6f298adad643693b8d04d073c0628128ae2dc18793de374052c7dc962b4,23e0c9d71ce70db0a1c2a34bb7765d0033098a1604ecc369130f663167821de8,23a70bf055a370b954ee2db629e229fc1632b46497bbe64279e9dd9a2be6ab88,84a55be9d8424174286fea9d9301f476002e4e0ffbd94437aa18126b6e6d0cf5,dcacd9ef082dd5a378f0084d1899362a73f585c0def1c3074be9f7b7f49d849c,4632674979d53c9c0b412a85cdbb8a97570dbbfc2fd1f58557f38fed5af3b37b,5e63ee7dce5d520afed4f2ff80c665fbb08fc1874f68a27e1dace4eeed0c9438
"100","10000","0","1","パーツを20個獲得しよう","20","1","3","1","1"
"100","10001","0","2","パーツを25個獲得しよう","25","1","3","1","2"
"100","10002","0","3","パーツを30個獲得しよう","30","1","3","1","2"
"100","10003","0","4","パーツを35個獲得しよう","35","1","3","1","3"
"100","10004","0","5","パーツを40個獲得しよう","40","1","3","1","3"
"100","10005","0","6","パーツを45個獲得しよう","45","1","3","1","4"
"100","10006","0","7","パーツを50個獲得しよう","50","1","3","1","4"
"101","20000","0","101","総戦力を1500以上にしよう","1500","1","2","2","3"
"101","20001","0","102","総戦力を2000以上にしよう","2000","1","2","2","3"
"101","20002","0","103","総戦力を2500以上にしよう","2500","1","2","2","3"
"101","20003","0","104","総戦力を3000以上にしよう","3000","1","2","2","3"
"101","20004","0","105","総戦力を3500以上にしよう","3500","1","2","2","3"
"101","20005","0","106","総戦力を4000以上にしよう","4000","1","2","2","4"
"101","20006","0","107","総戦力を4500以上にしよう","4500","1","2","2","4"
"101","20007","0","108","総戦力を5000以上にしよう","5000","1","2","2","4"
"101","20008","0","109","総戦力を6000以上にしよう","6000","1","2","2","4"
"101","20009","0","110","総戦力を7000以上にしよう","7000","1","2","2","4"
"101","20010","0","111","総戦力を8000以上にしよう","8000","1","2","2","5"
"101","20011","0","112","総戦力を9000以上にしよう","9000","1","2","2","5"
"101","20012","0","600","総戦力を10000以上にしよう","10000","1","2","2","5"
"200","30000","0","201","バトルポイントを累計100pt獲得しよう","100","2","4","3","2"
"200","30001","0","202","バトルポイントを累計200pt獲得しよう","200","2","4","3","2"
"200","30002","0","203","バトルポイントを累計300pt獲得しよう","300","2","4","3","2"
"200","30003","0","204","バトルポイントを累計400pt獲得しよう","400","2","4","3","2"
"200","30004","0","205","バトルポイントを累計500pt獲得しよう","500","2","4","3","2"
"200","30005","0","206","バトルポイントを累計600pt獲得しよう","600","2","4","3","3"
"200","30006","0","207","バトルポイントを累計700pt獲得しよう","700","2","4","3","3"
"200","30007","0","208","バトルポイントを累計800pt獲得しよう","800","2","4","3","3"
"200","30008","0","209","バトルポイントを累計900pt獲得しよう","900","2","4","3","3"
"200","30009","0","210","バトルポイントを累計1000pt獲得しよう","1000","2","4","3","3"
"400","50000","0","401","フブキから5個パーツを獲得しよう","5","4","1","5","7"
"400","50001","0","402","フブキから10個パーツを獲得しよう","10","4","1","5","7"
"400","50002","0","403","フブキから15個パーツを獲得しよう","15","4","1","5","7"
"400","50003","0","404","フブキから20個パーツを獲得しよう","20","4","1","5","7"
"400","50004","0","405","フブキから25個パーツを獲得しよう","25","4","1","5","7"
"400","50005","0","406","フブキから30個パーツを獲得しよう","30","4","1","5","7"
"400","50006","0","407","フブキから35個パーツを獲得しよう","35","4","1","5","7"
"400","50007","0","408","フブキから40個パーツを獲得しよう","40","4","1","5","7"
"400","50008","0","409","フブキから45個パーツを獲得しよう","45","4","1","5","7"
"400","50009","0","700","フブキから50個パーツを獲得しよう","50","4","1","5","6"
"209","60000","30009","999","バトルポイントを800pt獲得しよう（何度でも）","800","2","4","6","7"
"300","70000","0","799","ステージ14をクリアしよう","14","3","3","7","6"
"301","70001","0","800","ステージ50をクリアしよう","50","3","3","7","8"
