881c1ebaed911cf89e4a48593cc35ef4680b81e3fcab98d1cc3b9b593eafd7d2,fd58fcaa0c04af1b54f343b95f53a37995bfe63cc9a1c41b78023b99ad448beb,ef5657da01e402d848fb269c809d04f78d92502bca5cd613feda7f2e62f4ec03,bb98814b7f758c054737c5bfd6635565dd56fb0611bc02f52dc951a86a9edfd3,49ff12c7b2221c4040dbea7edac933ee446ccb0474d1d1901784bfa0a7f03609
"#D23232","90009","片手剣","101","red"
"#D23232","90009","両手剣","102","red"
"#D23232","90009","短剣","103","red"
"#D23232","90009","槍","104","red"
"#D23232","90009","斧","105","red"
"#D23232","90009","弓","106","red"
"#D23232","90009","拳","107","red"
"#D23232","90009","盾","108","red"
"#D23232","90009","杖","109","red"
"#D23232","90009","本","110","red"
"#476FD8","90010","服","201","blue"
"#476FD8","90010","鎧","202","blue"
"#476FD8","90010","白ローブ","203","blue"
"#476FD8","90010","黒ローブ","204","blue"
"#E5681E","90011","指輪","301","yellow"
"#E5681E","90011","腕輪","302","yellow"
"#E5681E","90011","ネックレス","303","yellow"
"#E5681E","90011","宝珠","304","yellow"
"#E5681E","90011","イヤリング","305","yellow"
