06c076b3d5bb6bf26578683d7aa72566b16942e9f5ec39ce2f8162faa0be994f,d02c2d36884f3f533822a4c54a7cf18789c6ce0dcc69c84c69ff1d553e57a724,32f4e07fc0cdea9bcc8068a199fb9fdce8a27f2a69214a3d71bf3a099b10275e,43ee4cd3ce6fcb1014c0f8a9257a2028412bca7efb37f535e178a03895dac413,3aa259dbbe9fc4c04e099a1df3ebe29b17157bea2ff16a766554ae47bd22dbb9,78674b0f6c7bfb23c072229990f5a01596413ee0f15fd2c877db44888d79232a,a520f2cedf35ae941c4759db11ff94b8b99aea3e731c5e2034f72dd92dadd8da,2927c81677adb0e4ed80aaebaec4da94a970742ef3f4a0359361562815a077ff
"5","1","200","2","4","104","3","111"
"5","1","2","2","4","14","3","211"
"5","1","2","2","4","103","3","311"
"5","1","2","2","4","102","3","411"
"5","1","200","2","4","104","3","511"
"5","1","250","2","4","1","3","611"
"5","1","3","2","4","101","3","711"
"5","1","3","2","4","100","3","811"
"5","1","200","2","4","104","3","911"
"5","1","250","2","4","1","3","1011"
"5","1","250","2","4","3","3","1111"
"5","1","250","2","4","5","3","1112"
"5","1","150","2","4","6","3","1211"
"5","1","150","2","4","7","3","1212"
"5","1","200","2","4","104","3","1311"
"5","1","2","2","4","103","3","1411"
"5","1","2","2","4","102","3","1511"
"5","1","250","2","4","1","3","1611"
"5","1","200","2","4","104","3","1711"
"5","1","500","2","4","2","3","1811"
"5","1","500","2","4","4","3","1812"
"5","1","3","2","4","101","3","1911"
"5","1","3","2","4","100","3","2011"
"5","1","200","2","4","104","3","2111"
"5","1","250","2","4","1","3","2211"
"5","1","3","2","4","100","3","2311"
"5","1","3","2","4","101","3","2411"
"5","1","200","2","4","104","3","2511"
"5","1","500","2","4","2","3","2611"
"5","1","500","2","4","4","3","2612"
"5","1","150","2","4","6","3","2711"
"5","1","150","2","4","7","3","2712"
"5","1","500","2","4","2","3","2811"
"5","1","500","2","4","4","3","2812"
"5","1","200","2","4","104","3","2911"
"5","1","250","2","4","3","3","3011"
"5","1","250","2","4","5","3","3012"
"5","1","3","2","4","100","3","3111"
"5","1","3","2","4","101","3","3211"
"5","1","200","2","4","104","3","3311"
"5","1","2","2","4","100","3","3411"
"5","1","200","2","4","104","3","3511"
"5","1","1","2","4","103","3","3611"
"5","1","1","2","4","102","3","3711"
"5","1","250","2","4","2","3","3811"
"5","1","250","2","4","4","3","3812"
"5","1","1","2","4","102","3","3911"
"5","1","200","2","4","104","3","4011"
"5","1","2","2","4","100","3","4111"
"5","1","150","2","4","6","3","4211"
"5","1","150","2","4","7","3","4212"
"5","1","200","2","4","104","3","4311"
"5","1","1","2","4","103","3","4411"
"5","1","200","2","4","104","3","4511"
"5","1","2","2","4","101","3","4611"
"5","1","1","2","4","102","3","4711"
"5","1","200","2","4","104","3","4811"
"5","1","1","2","4","103","3","4911"
"5","1","200","2","4","104","3","5011"
"5","1","2","2","4","101","3","5111"
"5","1","1","2","4","102","3","5211"
"5","1","200","2","4","104","3","5311"
"5","1","150","2","4","6","3","5411"
"5","1","150","2","4","7","3","5412"
"5","1","1","2","4","103","3","5511"
"5","1","200","2","4","104","3","5611"
"5","1","2","2","4","100","3","5711"
"5","1","2","2","4","101","3","5811"
"5","1","1","2","4","103","3","5911"
"5","1","200","2","4","104","3","6011"
"5","1","1","2","4","102","3","6111"
"5","1","250","2","4","2","3","6211"
"5","1","250","2","4","4","3","6212"
"5","1","200","2","4","104","3","6311"
"5","1","1","2","4","103","3","6411"
"5","1","1","2","4","102","3","6511"
"5","1","200","2","4","104","3","6611"
"5","1","150","2","4","6","3","6711"
"5","1","150","2","4","7","3","6712"
"5","1","1","2","4","102","3","6811"
"5","1","200","2","4","104","3","6911"
"5","1","1","2","4","103","3","7011"
"5","1","2","2","4","101","3","7111"
"5","1","2","2","4","100","3","7211"
"5","1","200","2","4","104","3","7311"
"5","1","1","2","4","103","3","7411"
"5","1","1","2","4","102","3","7511"
"5","1","250","2","4","2","3","7611"
"5","1","250","2","4","4","3","7612"
"5","1","200","2","4","104","3","7711"
"5","1","2","2","4","101","3","7811"
"5","1","2","2","4","100","3","7911"
"5","1","200","2","4","104","3","8011"
"5","1","150","2","4","6","3","8111"
"5","1","150","2","4","7","3","8112"
"5","1","2","2","4","101","3","8211"
"5","1","250","2","4","2","3","8311"
"5","1","250","2","4","4","3","8312"
"5","1","1","2","4","103","3","8411"
"5","1","200","2","4","104","3","8511"
"5","1","2","2","4","100","3","8611"
"5","1","1","2","4","102","3","8711"
"5","1","1","2","4","103","3","8811"
"5","1","200","2","4","104","3","8911"
"5","1","1","2","4","102","3","9011"
"5","1","200","2","4","104","3","9111"
"5","1","250","2","4","2","3","9211"
"5","1","250","2","4","4","3","9212"
"5","1","200","2","4","104","3","9311"
"5","1","1","2","4","102","3","9411"
"5","1","1","2","4","103","3","9511"
"5","1","200","2","4","104","3","9611"
