b3993932ebcf3b04fecdcd4be99613ca53881cf22cbfc0a1d692f92443408aa9,72154ed32d42f994236512828d776e58ba8611adcad50725f536e20328530f74,df0277a1e23ce9d25e533c9ef1ef0bcef4865e418a89e480fa760ad8bed4e067,8f05c34218ff8da490124c758188731a41cdc74be4cff41c9967e9a9e1a11826,982a0b2c0b55ba86975b44edeb0a790755899c23e392bf35be33f0cfa6a9d252,52af120085b71dd1865e94fcdb18df9e299770698a76714a697d3340f32c758c,67970a6387dbcdff069f7880504dad0410a5b400b039f7d15cc9b8f683f16c0a
"306700","1","1001101","0","1","0","81001105"
"306700","1","1001102","0","1","0","81001106"
"306800","1","1001201","0","1","0","81001205"
"306800","1","1001202","0","1","0","81001206"
"307000","1","1001301","0","1","0","81001305"
"307000","1","1001302","0","1","0","81001306"
"307500","1","1001401","0","1","0","81001405"
"307500","1","1001402","0","1","0","81001406"
"307300","1","1001501","0","1","0","81001505"
"307300","1","1001502","0","1","0","81001506"
"307700","1","1001601","0","1","0","81001605"
"307700","1","1001602","0","1","0","81001606"
"307400","1","1001701","0","1","0","81001705"
"307400","1","1001702","0","1","0","81001706"
"307900","1","1001801","0","1","0","81001805"
"307900","1","1001802","0","1","0","81001806"
"307800","1","1001901","0","1","0","81001905"
"307800","1","1001902","0","1","0","81001906"
"308100","1","1002001","0","1","0","81002005"
"308100","1","1002002","0","1","0","81002006"
"308000","1","1002101","0","1","0","81002101"
"308000","1","1002102","0","1","0","81002102"
"308300","1","1002201","0","1","0","81002205"
"308300","1","1002202","0","1","0","81002206"
"308200","1","1002301","0","1","0","81002301"
"308200","1","1002302","0","1","0","81002302"
"304705","1","1002401","0","1","0","81002405"
"304705","1","1002402","0","1","0","81002406"
"308400","1","1002501","0","1","0","81002501"
"308400","1","1002502","0","1","0","81002502"
"305004","1","1002601","0","1","0","81002605"
"305004","1","1002602","0","1","0","81002606"
"308600","1","1002701","0","1","0","81002701"
"308600","1","1002702","0","1","0","81002702"
"305205","1","1002801","0","1","0","81002805"
"305205","1","1002802","0","1","0","81002806"
"309300","1","1002901","0","1","0","81002901"
"309300","1","1002902","0","1","0","81002902"
"305500","1","1003001","0","1","0","81003005"
"305500","1","1003002","0","1","0","81003006"
"310000","1","1003101","0","1","0","81003101"
