b4ce14692ca0bd87a48c7e43d458264ca9adb2014264d063f19aab044fbec9ac,ad961dadb938c7151c4b3a7b959c7acce6ea424040d2999749ee5c227aeb7fba,a831f100ae4848ce259c15203909a1d230a11a7f1ef0ce412073ef30994b0c6f,44db306c42eeca41a12197e6fc51fa7b050fb68e65f269b7b4fa0e8ab95d0ab8,b33f0c7b44221fafc3a070601fdd307e958f3e4ab383194e236007e80943effe
"1","シャドウ1体追加","add_shadow","74001102","ジータのシャドウが追加される。"
"2","シャドウ3体追加","add_shadow","74001103","ジータ、サレン（サマー）、アメスのシャドウが追加される。"
"3","シャドウ★6化","star6_shadow","74001104","ノゾミのシャドウが★6になる。"
"4","シャドウ3体追加","add_shadow","74001104","ジータ、サレン（サマー）、アメスのシャドウが追加される。"
"5","シャドウ★6化","star6_shadow","74001105","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。"
"6","シャドウ3体追加","add_shadow","74001105","ジータ、サレン（サマー）、アメスのシャドウが追加される。"
"7","シャドウ1体追加","add_shadow","74001202","ユカリのシャドウが追加される。"
"8","シャドウ3体追加","add_shadow","74001203","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。"
"9","シャドウ★6化","star6_shadow","74001204","ユカリとユイのシャドウが★6になる。"
"10","シャドウ3体追加","add_shadow","74001204","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。"
"11","シャドウ★6化","star6_shadow","74001205","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。"
"12","シャドウ3体追加","add_shadow","74001205","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。"
"13","ボス魔法ダメージカット","boss_magic_cut","74001301","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。"
"14","ボス魔法ダメージカット","boss_magic_cut","74001302","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。"
"15","シャドウ1体追加","add_shadow","74001302","シズル（サマー）のシャドウが追加される。"
"16","開始時TP回復","energy_recover","74001303","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
"17","ボス魔法ダメージカット","boss_magic_cut","74001303","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。"
"18","シャドウ2体追加","add_shadow","74001303","シズル（サマー）とクリスティーナのシャドウが追加される。"
"19","ボスUB強化","boss_ub_enhance","74001304","ボスモンスターのユニオンバーストが強化される。"
"20","開始時TP回復","energy_recover","74001304","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
"21","ボス魔法ダメージカット","boss_magic_cut","74001304","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。"
"22","シャドウ2体追加","add_shadow","74001304","シズル（サマー）とクリスティーナのシャドウが追加される。"
"23","バトル時間制限","limit_time","74001305","バトル時間が60秒になる。"
"24","ボスUB強化","boss_ub_enhance","74001305","ボスモンスターのユニオンバーストが強化される。"
"25","開始時TP回復","energy_recover","74001305","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
"26","ボス魔法ダメージカット","boss_magic_cut","74001305","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。"
"27","シャドウ2体追加","add_shadow","74001305","シズル（サマー）とクリスティーナのシャドウが追加される。"
"28","ボス物理ダメージカット","boss_physics_cut","74001401","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。"
"29","ボス物理ダメージカット","boss_physics_cut","74001402","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。"
"30","シャドウ1体追加","add_shadow","74001402","クウカ（オーエド）のシャドウが追加される。"
"31","開始時TP回復","energy_recover","74001403","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
"32","ボス物理ダメージカット","boss_physics_cut","74001403","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。"
"33","シャドウ2体追加","add_shadow","74001403","クウカ（オーエド）とネネカのシャドウが追加される。"
"34","ボスUB強化","boss_ub_enhance","74001404","ボスモンスターのユニオンバーストが強化される。"
"35","開始時TP回復","energy_recover","74001404","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
"36","ボス物理ダメージカット","boss_physics_cut","74001404","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。"
"37","シャドウ2体追加","add_shadow","74001404","クウカ（オーエド）とネネカのシャドウが追加される。"
"38","バトル時間制限","limit_time","74001405","バトル時間が60秒になる。"
"39","ボスUB強化","boss_ub_enhance","74001405","ボスモンスターのユニオンバーストが強化される。"
"40","開始時TP回復","energy_recover","74001405","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。"
"41","ボス物理ダメージカット","boss_physics_cut","74001405","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。"
"42","シャドウ2体追加","add_shadow","74001405","クウカ（オーエド）とネネカのシャドウが追加される。"
"43","開始時攻撃力アップ","boss_atk_up","74001502","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。"
"44","編成キャラ数制限","limit_chara_num","74001503","編成可能キャラ数が4キャラになる。"
"45","開始時攻撃力アップ","boss_atk_up","74001503","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。"
"46","編成キャラ数制限","limit_chara_num","74001504","編成可能キャラ数が4キャラになる。"
"47","ボスUB強化","boss_ub_enhance","74001504","ボスモンスターのユニオンバーストが強化される。"
"48","開始時攻撃力アップ","boss_atk_up","74001504","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。"
"49","編成キャラ数制限","limit_chara_num","74001505","編成可能キャラ数が4キャラになる。"
"50","キャラ最大HPダウン","max_hp_down","74001505","パーティキャラの最大HPが20％ダウンする。"
"51","ボスUB強化","boss_ub_enhance","74001505","ボスモンスターのユニオンバーストが強化される。"
"52","開始時攻撃力アップ","boss_atk_up","74001505","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。"
"53","シャドウ1体追加","add_shadow","74002102","カリンのシャドウが追加される。"
"54","シャドウ強化","star6_shadow","74002103","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。"
"55","シャドウ1体追加","add_shadow","74002103","カリンのシャドウが追加される。"
"56","シャドウ強化","star6_shadow","74002104","ミヤコ、ユカリ、アユミのシャドウが★6になる。"
"57","シャドウ1体追加","add_shadow","74002104","カリンのシャドウが追加される。"
"58","シャドウ物理攻撃力アップ","boss_atk_up","74002105","すべてのシャドウの物理攻撃力が大幅に上昇する。"
"59","シャドウ強化","star6_shadow","74002105","ミヤコ、ユカリ、アユミのシャドウが★6になる。"
"60","シャドウ1体追加","add_shadow","74002105","カリンのシャドウが追加される。"
"61","シャドウ1体追加","add_shadow","74002202","カヤ（リベレイター）のシャドウが追加される。"
"62","シャドウ強化","star6_shadow","74002203","ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。"
"63","シャドウ1体追加","add_shadow","74002203","カヤ（リベレイター）のシャドウが追加される。"
"64","シャドウ強化","star6_shadow","74002204","ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。"
"65","シャドウ1体追加","add_shadow","74002204","カヤ（リベレイター）のシャドウが追加される。"
"66","シャドウ魔法防御力アップ","boss_magic_def_up","74002205","すべてのシャドウの魔法防御力が大幅に上昇する。"
"67","シャドウ強化","star6_shadow","74002205","ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。"
"68","シャドウ1体追加","add_shadow","74002205","カヤ（リベレイター）のシャドウが追加される。"
"69","シャドウ1体追加","add_shadow","74002302","ノゾミのシャドウが追加される。"
"70","シャドウ2体追加","add_shadow","74002303","ノゾミとキャル（プリンセス）のシャドウが追加される。"
"71","編成キャラ数制限","limit_chara_num","74002304","編成可能キャラ数が4キャラになる。"
"72","シャドウ強化","star6_shadow","74002304","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。"
"73","シャドウ2体追加","add_shadow","74002304","ノゾミとキャル（プリンセス）のシャドウが追加される。"
"74","編成キャラ数制限","limit_chara_num","74002305","編成可能キャラ数が4キャラになる。"
