81ded7b0797880bdd6969f7ebd97cab99f5bcdeded5d506ecf36c000abae6f6b,0d9f56d86667b2fc0a692589cd808279c119473e58395f8dcf1ca7c63d489ce2,b9b0d94e3319741c739fb69406188a3856526b50d72104239ffedde3c1c050e8,0c772d8da4e859e7588c6682ba0a78553593481b73a43a54a9c72edfd2785536,07085204ddd1f5613d7eb0a4b3ad718a72d81983e86e853f0e9eece6477f0050,196bf3f7f39da61e47c8ba78b5226d16a329232ccecc033a63196a157a071eea,8ba37ce262e8733907c2d59c0a664f8f6a3e5cdc3e39fc2b92530e105b6a1d66,0dae9f1c20935bdc09570b78b94835d552d220bd3f0eb5b5c8a7ca2454ed70e1,b04d0191badb718084cf0741cf2b9df50e306a8dd69cb248cd993643b5e838c8,b121b2e582da8c7ba018f10d4b4f022f69762ad84ca0d39620a14e5a3ae4955c,b7a0c575af24823c9fea684474276eba7b61f0a92405c9fefe2ef3cf9ed20dae,d2015a3cff48cd19fc2c0abd991805b0affb9ac26f1e29d9d6db91ef4582a3bc,85ea7dc3b77abfd792e6af36d5d853ae5adcf22f62023696f45ac4889299de1d,b51f80e8c57ef4ce2c1be90804e4e87b89d6e833e24677f550a20a21e2de0401,4d71e49905eca50fd950173eebc4f1c503fabe3f944329c6773d721c4cb00cf6
"EASY","110001","bgm_M57","90110001","701000101","1","0","0","100113","1","90","1","bgm_M57","100113","0"
"NORMAL","110001","bgm_M57","90110002","701000102","1","0","0","100113","1","90","2","bgm_M57","100113","0"
"HARD","110001","bgm_M57","90110003","701000103","1","0","0","100113","1","90","3","bgm_M57","100113","0"
"VERY HARD","110001","bgm_M57","90110004","701000104","1","0","0","100113","1","90","4","bgm_M57","100113","0"
"EXTREME","110001","bgm_M57","90110005","701000105","1","0","0","100113","1","90","5","bgm_M57","100113","0"
"EASY","120001","bgm_M169","90120001","701000201","1","0","0","103013","2","90","1","bgm_M169","103013","0"
"NORMAL","120001","bgm_M169","90120002","701000202","1","0","0","103013","2","90","2","bgm_M169","103013","0"
"HARD","120001","bgm_M169","90120003","701000203","1","0","0","103013","2","90","3","bgm_M169","103013","0"
"VERY HARD","120001","bgm_M169","90120004","701000204","1","0","0","103013","2","90","4","bgm_M169","103013","0"
"EXTREME","120001","bgm_M169","90120005","701000205","1","0","0","103013","2","90","5","bgm_M169","103013","0"
"EASY","130001","bgm_M64","90130001","701000301","1","0","0","100113","3","90","1","bgm_M64","100113","0"
"NORMAL","130001","bgm_M64","90130002","701000302","1","0","0","100113","3","90","2","bgm_M64","100113","0"
"HARD","130001","bgm_M64","90130003","701000303","1","0","0","100113","3","90","3","bgm_M64","100113","0"
"VERY HARD","130001","bgm_M64","90130004","701000304","1","0","0","100113","3","90","4","bgm_M64","100113","0"
"EXTREME","130001","bgm_M64","90130005","701000305","1","0","0","100113","3","90","5","bgm_M64","100113","0"
"EASY","140001","bgm_M07","90140001","701000401","1","0","0","100113","4","90","1","bgm_M07","100113","0"
"NORMAL","140001","bgm_M07","90140002","701000402","1","0","0","100113","4","90","2","bgm_M07","100113","0"
"HARD","140001","bgm_M07","90140003","701000403","1","0","0","100113","4","90","3","bgm_M07","100113","0"
"VERY HARD","140001","bgm_M07","90140004","701000404","1","0","0","100113","4","90","4","bgm_M07","100113","0"
"EXTREME","140001","bgm_M07","90140005","701000405","1","0","0","100113","4","90","5","bgm_M07","100113","0"
"EASY","150001","bgm_M170","90150001","701000501","1","0","0","103013","5","90","1","bgm_M170","103013","0"
"NORMAL","150001","bgm_M170","90150002","701000502","1","0","0","103013","5","90","2","bgm_M170","103013","0"
"HARD","150001","bgm_M170","90150003","701000503","1","0","0","103013","5","90","3","bgm_M170","103013","0"
"VERY HARD","150001","bgm_M170","90150004","701000504","1","0","0","103013","5","90","4","bgm_M170","103013","0"
"EXTREME","150001","bgm_M170","90150005","701000505","1","0","0","103013","5","90","5","bgm_M170","103013","0"
