be5960a0c384a09c85ffc16ff013af26a33f05ee96836fdeabaaf1f13bbe243f,7aa77500bbcb65c1b3bad89f890bb4a5ec71ca4552650157a625520cc2748313,f2862f277fe036e4d15c328382c2f12e51c82a8b8b0d956d05e5370e668243a3,574b069c2d2a68c703832f8dad6ba12ccbf69eec8419163ee74507ca950f2578,841f4d431fac3a3b73be66d63c8555bc7cb442fe7c294d1088e3b242e309f19a,432c77d950bc76788d1a369fac4b209658487a45670a3e722e3371c137f51f63
"1","#76C5FD","1","1","#3F75C7","#2B5BAA"
"2","#FEAC7B","3","2","#BA5E36","#AA552B"
"4","#B3C0DF","6","3","#616593","#64737E"
"7","#FFD200","10","4","#CC8200","#A37B10"
"11","#f374ff","17","5","#95289f","#7b318a"
"18","#ff5c77","20","6","#CE0030","#a60134"
"21","#2db075","23","7","#31635c","#2c824e"
"24","#ffae00","27","8","#cc2200","#b6401f"
"28","#6EB6C4","31","9","#027FE9","#0082E4"
"32","#ffb193","39","10","#f2523d","#ea6363"
"40","#c0d400","50","11","#606820","#8c941a"
