a24eec805af6bbf4e27c428ddf1cb7b53a471d34b325d637619ea4693f6d4701,066d85475d0f97a0cb34abbff37f0d997000eaa8e20514d26ef90526a52c4ec6,ed5226e844dee7e7cbd586b4c2dcc076403d3d1cb96dce8345b3d68ca42ce169
"2","180701","118401"
"3","180701","118301"
"4","180701","118401"
"5","180701","118401"
"6","180701","118301"
"7","180701","118401"
"8","180701","118301"
"9","105701","170101"
"10","105701","170101"
"11","105701","170101"
"12","105701","170101"
"2","180801","120401"
"3","180801","120501"
"4","180801","120601"
"5","180801","120501"
"6","180801","120601"
"7","180801","120501"
"8","180801","120401"
"2","180901","121701"
"3","180901","121801"
"4","180901","121701"
"5","180901","121801"
"6","180901","121701"
"7","180901","121801"
"8","180901","121801"
"2","181001","124401"
"3","181001","124301"
"4","181001","124401"
"5","181001","124401"
"6","181001","124301"
"7","181001","124401"
"8","181001","124301"
"2","181101","128201"
"3","181101","128101"
"4","181101","128201"
"5","181101","128201"
"6","181101","128101"
"7","181101","128201"
"8","181101","128101"
