c4fc897fa5576aeeccf8a5f4d06c135244e7c7ba5d0f7e4c227deb71019013e5,2e700dec5de92cd69dc43b669838a7ad31c7d8d05fbcca41167b2a80d960ebd8,66c7138f96d646d497d5a55ad61d9edf184a72945344de416590f823dab41c5a,5d5fe6f82a405dc049d0d5ef32ee564879394fb232c74dcf97022e5db8c1bad0,1ac37022e447f146c546a598c9b3639b981e5def72050aa7f002b367bcb60ef6,e217e121172b21dff309bf5dc68f2232ce09bc19c7fcfae91fa440c84ed8a6d3,1210509bf8ffcb0b40933b8d11220c9aa7a62120ade2a25f01be669dc3af7944,3f6075d7077f819205cc91d3c16f68ea290e3fcf560a48d9452c1de7aa2c7a44,8fd955196f4d9cf46607e13f53909c4dcd5172cad4aa5bb1fec37b01f049beb7,7eb46c9e1d16006e40f1391f5fd8a6924630c5f1e5901cac809539e0b0d23d7d,76035a51b5b753849c3d85c20c32936d9f0a08c40c542abbfa7788d3d5270f3e
"pt","10011","2","1001","10011105","0","0","1","0","1","0"
"m","10015","2","1002","10015103","1","0","2","0","1","0"
"pt","10021","2","1003","10021108","0","0","3","0","1","5021700"
"pt","10027","3","1004","5027007","0","0","4","0","1","5027700"
"pt","10040","2","1005","10040105","0","0","5","0","1","5040700"
"pt","10046","1","1006","5046006","0","5046006","6","1","1","0"
"pt","10072","3","1007","5072006","0","5072006","7","3","1","0"
"pt","10080","3","1008","5080007","0","5080000","8","3","0","5080700"
"pt","0","0","1009","0","0","0","9","0","0","9004201"
"pt","10096","1","1010","5096007","0","5096007","10","3","1","5096700"
"pt","10126","2","1012","10126107","0","5126000","11","3","1","0"
"pt","10142","3","1013","5142007","0","5142000","12","1","1","5142700"
"pt","10156","3","1014","5156007","0","5156000","13","1","1","5156700"
