0a597a0d3be37b7ba198ecf3dda84c57b120d7623a1364a7eff29f0e702ce486,3abc72815ca115575d90451404e7d0223db49d30d8b92eca49677153727099df,c887f362320ec49480d4c3732288c32ba6d043e8a8dea100c59a7687e1c02401,8753522d9ecbed798a395755e7ec50337a7ce8a59af12b3de627b96c573b81f4,db43eec820f4cefb0edea41f11d74d972845ed8dab61ea914f14e3778c48d820,4cd6efd7bc260d6717c125c0e6b8a2ddc0587784fa33e07d633564cd95ce9b60,d3c04840245e21bfd40aece535eaa7105188d4648aa3c4478118d6ba6a180d11,5827e859b31ff42652cc2a091f12b95d09fb92db6b93389e9bbc2d6599bf49ba,455d9e7af397218ddc41a4f7b66231bbd4371fd57e55c82085fd50d650b5602e
"1","90001","10","0","10000","1","30000","12000","90043"
"2","90002","20","0","10000","2","30000","24000","90047"
"3","90002","20","0","10000","3","30000","24000","90047"
"4","90002","20","0","10000","4","30000","24000","90047"
"5","90002","20","0","10000","5","30000","24000","90047"
"6","90002","20","0","10000","6","30000","24000","90047"
"7","90002","20","0","10000","7","30000","24000","90047"
"8","90002","20","0","10000","8","30000","24000","90047"
"9","90002","20","0","10000","9","30000","24000","90047"
"10","90002","20","0","10000","10","30000","24000","90047"
"11","90003","40","90011","10000","11","30000","48000","90051"
"12","90003","40","90011","10000","12","30000","48000","90051"
"13","90003","40","90011","10000","13","30000","48000","90051"
"14","90003","40","90011","10000","14","30000","48000","90051"
"15","90003","40","90011","10000","15","30000","48000","90051"
"16","90003","40","90011","10000","16","30000","48000","90051"
"17","90003","40","90011","10000","17","30000","48000","90051"
"18","90003","40","90011","10000","18","30000","48000","90051"
"19","90003","40","90011","10000","19","30000","48000","90051"
"20","90003","40","90011","10000","20","30000","48000","90051"
"21","90004","60","90015","10000","21","30000","72000","90055"
"22","90004","60","90015","10000","22","30000","72000","90055"
"23","90004","60","90015","10000","23","30000","72000","90055"
"24","90004","60","90015","10000","24","30000","72000","90055"
"25","90004","60","90015","10000","25","30000","72000","90055"
"26","90004","60","90015","10000","26","30000","72000","90055"
"27","90004","60","90015","10000","27","30000","72000","90055"
"28","90004","60","90015","10000","28","30000","72000","90055"
"29","90004","60","90015","10000","29","30000","72000","90055"
"30","90004","60","90015","10000","30","30000","72000","90055"
"31","90005","80","90015","10000","31","30000","96000","90059"
"32","90005","80","90015","10000","32","30000","96000","90059"
"33","90005","80","90015","10000","33","30000","96000","90059"
"34","90005","80","90015","10000","34","30000","96000","90059"
"35","90005","80","90015","10000","35","30000","96000","90059"
"36","90005","80","90015","10000","36","30000","96000","90059"
"37","90005","80","90015","10000","37","30000","96000","90059"
"38","90005","80","90015","10000","38","30000","96000","90059"
"39","90005","80","90015","10000","39","30000","96000","90059"
"40","90005","80","90015","10000","40","30000","96000","90059"
"41","90005","120","90017","10000","41","30000","144000","90063"
"42","90005","120","90017","10000","42","30000","144000","90063"
"43","90005","120","90017","10000","43","30000","144000","90063"
"44","90005","120","90017","10000","44","30000","144000","90063"
"45","90005","120","90017","10000","45","30000","144000","90063"
"46","90005","120","90017","10000","46","30000","144000","90063"
"47","90005","120","90017","10000","47","30000","144000","90063"
"48","90005","120","90017","10000","48","30000","144000","90063"
"49","90005","120","90017","10000","49","30000","144000","90063"
"50","90005","120","90017","10000","50","30000","144000","90063"
"51","90006","150","90019","10000","51","30000","180000","90067"
"52","90006","150","90019","10000","52","30000","180000","90067"
"53","90006","150","90019","10000","53","30000","180000","90067"
"54","90006","150","90019","10000","54","30000","180000","90067"
"55","90006","150","90019","10000","55","30000","180000","90067"
"56","90006","150","90019","10000","56","30000","180000","90067"
"57","90006","150","90019","10000","57","30000","180000","90067"
"58","90006","150","90019","10000","58","30000","180000","90067"
"59","90006","150","90019","10000","59","30000","180000","90067"
"60","90006","150","90019","10000","60","30000","180000","90067"
"61","90007","180","90021","10000","61","30000","216000","90071"
"62","90007","180","90021","10000","62","30000","216000","90071"
"63","90007","180","90021","10000","63","30000","216000","90071"
"64","90007","180","90021","10000","64","30000","216000","90071"
"65","90007","180","90021","10000","65","30000","216000","90071"
"66","90007","180","90021","10000","66","30000","216000","90071"
"67","90007","180","90021","10000","67","30000","216000","90071"
"68","90007","180","90021","10000","68","30000","216000","90071"
"69","90007","180","90021","10000","69","30000","216000","90071"
"70","90007","180","90021","10000","70","30000","216000","90071"
